OA_Code,Latitude,Longitude,All people,"Female, All","Male, All","All people, 0 - 4","All people, 5 - 9","All people, 10 - 14","All people, 15","All people, 16 - 17","All people, 18 - 19","All people, 20 - 24","All people, 25 - 29","All people, 30 - 34","All people, 35 - 39","All people, 40 - 44","All people, 45 - 49","All people, 50 - 54","All people, 55 - 59","All people, 60 - 64","All people, 65 - 69","All people, 70 - 74","All people, 75 - 79","All people, 80 - 84","All people, 85 and over","Female, 0 - 4","Female, 5 - 9","Female, 10 - 14","Female, 15","Female, 16 - 17","Female, 18 - 19","Female, 20 - 24","Female, 25 - 29","Female, 30 - 34","Female, 35 - 39","Female, 40 - 44","Female, 45 - 49","Female, 50 - 54","Female, 55 - 59","Female, 60 - 64","Female, 65 - 69","Female, 70 - 74","Female, 75 - 79","Female, 80 - 84","Female, 85 and over"
S00135307,57.21753245,-2.214670898,144,70,74,6,1,16,3,3,3,4,1,7,14,7,8,9,16,10,8,15,6,4,1,4,-,9,1,-,3,2,1,4,8,2,5,7,2,6,3,6,2,3,1
S00135308,57.21356117,-2.274944788,65,27,40,10,2,2,2,1,-,-,-,4,8,4,3,6,11,5,3,-,3,3,1,1,-,1,-,1,-,-,-,3,4,1,-,4,5,3,1,-,2,1,-
S00135309,57.20797945,-2.093940583,156,75,81,2,-,8,1,-,2,10,3,8,8,5,6,17,17,19,17,8,12,4,6,1,-,-,-,1,2,6,2,4,5,3,6,9,9,9,7,4,6,4,4
S00135310,57.21110475,-2.189850876,153,85,68,7,10,6,1,4,5,17,8,8,13,10,8,22,13,5,4,8,6,4,2,3,6,8,1,4,4,6,3,5,5,5,5,11,7,5,2,2,4,4,1
S00135311,57.19734739,-2.167786936,151,72,80,14,10,11,2,2,-,6,13,10,9,14,19,10,8,12,7,2,2,2,-,5,6,3,-,1,-,-,6,4,6,9,9,4,4,8,4,1,2,2,-
S00135312,57.21250838,-2.188334985,187,102,85,14,19,21,2,6,5,9,6,15,15,25,16,9,7,9,4,1,2,1,-,7,9,13,1,2,3,6,4,7,8,16,10,4,4,5,2,2,2,-,-
S00135313,57.21223398,-2.185601947,181,104,77,6,5,10,6,4,-,8,10,2,9,4,12,13,8,6,12,21,15,13,15,3,2,6,3,-,-,3,4,1,5,1,8,7,3,4,9,16,9,9,12
S00135314,57.21260434,-2.190222808,173,85,88,5,17,15,-,3,5,10,6,17,5,17,25,20,10,9,5,4,2,-,-,3,6,10,-,-,2,-,5,8,3,11,13,5,4,6,1,-,1,-,-
S00135315,57.21245052,-2.184957372,108,55,55,7,6,5,3,1,2,5,8,11,4,12,6,6,7,5,6,6,9,4,2,5,4,3,-,1,-,2,5,3,4,4,1,2,5,3,3,5,4,1,2
S00135316,57.20089983,-2.190046689,130,61,69,6,5,7,1,2,-,4,3,13,8,5,10,12,8,9,1,10,6,14,10,3,4,3,1,2,-,3,-,5,3,2,6,3,4,3,1,5,3,2,6
S00135317,57.2109837,-2.180579552,156,69,86,5,4,11,2,1,5,7,8,9,10,10,9,16,11,4,10,15,11,7,3,2,2,5,-,-,1,3,4,3,4,2,5,9,5,2,4,6,8,2,2
S00135318,57.21075956,-2.186422274,85,47,41,4,2,5,3,2,4,2,2,5,9,13,3,6,3,9,4,7,1,-,1,1,2,3,1,-,1,2,1,7,8,4,3,4,2,5,4,4,1,2,-
S00135319,57.20927222,-2.183832333,141,80,59,9,8,9,2,2,1,4,8,11,12,8,7,5,11,4,2,14,8,11,10,6,4,5,1,2,-,3,6,6,3,4,1,4,6,1,-,11,3,8,9
S00135320,57.20962833,-2.186002708,127,65,62,14,3,11,4,-,-,1,6,8,8,8,5,11,15,11,11,9,3,2,-,3,2,5,1,-,-,1,1,9,9,4,1,5,7,7,4,6,-,3,-
S00135321,57.21035289,-2.181967049,84,47,37,5,3,3,1,4,-,2,3,10,5,5,7,5,1,3,10,10,5,2,-,4,3,2,-,-,-,2,1,6,4,1,4,2,1,3,6,4,1,2,-
S00135322,57.2090498,-2.17606742,151,86,68,1,11,18,1,2,2,4,9,9,9,17,5,13,10,14,12,8,5,1,2,1,6,12,1,2,-,1,6,4,5,7,4,6,7,8,6,4,1,-,2
S00135323,57.21018605,-2.179300958,108,62,50,-,2,8,-,-,4,6,3,6,5,8,3,9,5,11,13,11,7,5,1,-,1,6,-,-,3,6,2,6,1,6,4,2,2,6,4,7,6,-,-
S00135324,57.20989339,-2.182908382,60,30,31,4,-,2,1,2,3,5,2,4,2,4,1,7,5,2,3,5,5,1,-,-,-,2,-,1,2,2,2,1,1,3,-,4,2,2,1,4,2,-,-
S00135325,57.20945378,-2.188600829,77,39,37,4,4,4,2,3,3,2,4,3,5,3,6,5,10,4,5,5,4,3,-,-,2,1,2,1,1,1,2,1,3,2,3,3,5,5,2,2,4,1,-
S00135326,57.20943149,-2.179297295,84,48,36,-,4,6,1,1,-,-,1,8,3,6,5,3,8,4,7,5,6,11,7,-,2,3,1,1,-,-,-,6,1,4,2,3,5,3,4,4,2,5,7
S00135327,57.20887539,-2.18490636,95,48,47,1,12,2,1,2,3,10,1,3,9,7,5,6,7,1,6,6,8,6,3,1,6,1,1,2,-,3,1,1,6,4,-,4,4,1,2,4,2,3,2
S00135328,57.20906858,-2.181795181,117,62,52,1,4,4,2,-,3,4,6,6,8,6,10,5,12,13,15,10,6,2,2,-,2,1,1,-,-,-,4,5,5,2,7,-,7,7,11,4,5,1,2
S00135329,57.20859646,-2.179028381,123,60,63,5,9,8,-,2,1,5,8,4,12,12,8,7,11,6,11,10,2,4,1,-,5,3,-,1,1,2,2,3,7,8,2,4,4,3,5,5,-,2,1
S00135330,57.20784822,-2.187003502,105,53,56,3,5,2,-,1,4,5,5,12,3,4,4,7,11,8,8,14,4,6,2,-,2,2,-,1,-,1,4,6,1,1,3,1,6,5,4,9,4,4,-
S00135331,57.20886028,-2.176695564,66,33,31,2,3,6,2,-,-,1,5,5,2,7,5,3,5,2,2,5,8,3,2,1,1,4,2,-,-,-,1,3,2,3,3,2,4,1,1,5,5,1,-
S00135332,57.20791551,-2.184024222,93,43,50,3,5,8,1,-,-,6,4,2,6,8,6,4,11,11,5,-,5,4,-,-,4,1,-,-,-,1,1,2,3,4,1,2,6,6,1,-,3,4,-
S00135333,57.20756114,-2.174272568,104,52,50,8,4,8,-,4,3,3,6,6,9,11,4,4,6,6,7,4,4,1,-,5,1,5,-,2,1,-,3,5,6,4,3,1,4,4,7,2,3,1,-
S00135334,57.20799562,-2.178313668,74,39,35,5,6,4,-,-,-,1,5,6,3,4,2,1,5,4,9,9,4,1,1,4,2,2,-,-,-,-,2,5,2,1,2,-,2,3,6,5,3,1,-
S00135335,57.20775916,-2.180348592,123,66,59,3,8,11,2,4,3,6,7,5,2,11,8,14,12,6,4,5,6,2,1,1,3,4,-,4,4,2,4,2,3,6,6,7,4,5,3,4,5,-,1
S00135336,57.20743469,-2.187216601,78,42,36,3,5,4,1,1,1,7,4,7,4,5,4,9,5,3,1,-,2,1,2,3,3,5,1,1,-,2,2,3,2,3,3,5,3,1,1,-,2,2,1
S00135337,57.20737815,-2.176655366,142,74,68,4,4,2,4,-,3,6,3,6,12,6,10,14,12,15,13,19,9,4,4,-,1,1,1,-,1,4,2,4,5,5,2,7,8,10,9,8,4,2,-
S00135338,57.20685507,-2.184333445,145,75,70,8,8,2,-,-,3,7,7,15,8,6,9,5,7,10,18,10,8,2,7,4,-,1,-,-,2,5,1,9,3,2,4,1,7,6,12,6,3,2,2
S00135339,57.20631525,-2.190902187,140,82,62,6,10,16,1,2,1,5,8,8,9,9,1,6,9,5,4,9,10,12,13,6,5,11,1,-,1,6,5,3,8,3,1,3,6,4,1,3,4,6,7
S00135340,57.20477365,-2.176262213,129,69,60,5,12,6,1,6,4,4,5,4,3,10,12,7,11,6,7,9,8,11,-,4,5,2,-,2,3,3,-,1,3,4,6,1,7,4,4,6,2,6,-
S00135341,57.20714636,-2.181702955,94,46,48,8,10,6,2,-,-,1,5,9,5,3,4,4,7,7,6,4,4,9,4,9,3,4,-,-,-,1,4,4,2,1,2,2,2,4,3,3,1,3,-
S00135342,57.20656226,-2.187940504,90,45,45,5,1,3,1,-,1,4,3,4,1,1,5,11,11,4,11,8,1,8,2,1,1,1,-,-,1,2,1,3,1,1,2,7,7,1,7,2,-,5,2
S00135343,57.20487113,-2.10550256,172,88,88,19,19,9,1,1,3,8,22,22,19,14,9,14,4,3,3,3,-,-,-,5,10,1,-,1,-,6,15,11,7,9,4,10,2,-,1,2,-,-,-
S00135344,57.2053591,-2.187570232,118,61,57,1,2,5,1,8,5,4,2,5,11,6,10,8,10,11,13,6,4,3,8,2,1,1,-,6,2,4,2,3,4,2,6,6,7,1,4,2,4,2,3
S00135345,57.19914751,-2.096201927,165,91,78,10,9,11,4,3,4,10,18,19,7,10,14,18,15,7,5,2,-,-,-,5,4,8,2,4,1,6,9,9,5,6,5,13,9,1,2,2,-,-,-
S00135346,57.20514946,-2.183546979,136,69,67,4,6,6,4,2,-,3,4,6,7,8,7,3,9,6,10,8,22,10,8,2,1,4,-,-,-,1,2,2,4,4,3,3,5,1,5,7,14,4,4
S00135347,57.20416366,-2.102885361,91,47,44,8,5,6,1,2,1,1,9,11,11,8,5,5,6,6,4,2,2,-,-,6,3,2,-,1,-,-,6,4,6,5,2,2,1,4,-,1,2,-,-
S00135348,57.20370717,-2.186949436,130,66,64,1,9,11,2,2,3,9,3,4,5,5,6,12,7,4,5,6,17,5,9,-,5,2,-,1,4,5,-,2,3,2,2,6,8,4,1,3,11,3,6
S00135349,57.20358791,-2.188603984,127,62,63,-,4,13,3,3,1,3,8,6,7,8,9,13,6,11,8,5,8,5,4,-,-,7,-,2,1,-,4,3,2,4,5,8,4,4,5,1,5,3,2
S00135350,57.20388358,-2.10482112,131,66,62,14,6,6,5,2,3,6,16,23,19,3,8,3,10,2,-,1,-,-,-,6,3,4,3,-,-,1,9,10,11,-,5,1,2,1,-,1,-,-,-
S00135351,57.20188564,-2.09834411,224,111,113,29,25,21,1,1,1,5,15,32,32,26,20,8,3,3,1,4,-,-,-,15,11,10,-,1,-,3,10,14,18,17,6,3,1,1,1,1,-,-,-
S00135352,57.20312674,-2.184612764,161,86,75,5,8,8,1,-,2,5,8,7,8,7,13,14,8,6,5,21,15,8,5,3,1,6,1,1,-,1,3,4,5,4,4,12,5,4,2,14,7,5,3
