Scotland's Census 2022 - National Records of Scotland
Table UV111 - Household lifestage
All households
,"All households","HRP aged under 35: Total","HRP aged under 35: One person household","HRP aged under 35: Two or more person household – no dependent child(ren)","HRP aged under 35: Two or more person household – with dependent child(ren)","HRP aged 35 to 54: Total","HRP aged 35 to 54: One person household","HRP aged 35 to 54: Two or more person household – no dependent child(ren)","HRP aged 35 to 54: Two or more person household – with dependent child(ren)","HRP aged 55 to 64: Total","HRP aged 55 to 64: One person household","HRP aged 55 to 64: Two or more person household – no dependent child(ren)","HRP aged 55 to 64: Two or more person household – with dependent child(ren)","HRP aged 65 to 74: Total","HRP aged 65 to 74: One person household","HRP aged 65 to 74: Two or more person household – no dependent child(ren)","HRP aged 65 to 74: Two or more person household – with dependent child(ren)","HRP aged 75 and over: Total","HRP aged 75 and over: One person household","HRP aged 75 and over: Two or more person household – no dependent child(ren)","HRP aged 75 and over: Two or more person household – with dependent child(ren)"
"S00135307",62,6,4,1,-,19,-,5,12,19,8,9,2,10,1,8,-,8,3,5,-
"S00135308",33,1,1,-,-,12,2,5,7,11,2,7,1,2,-,2,-,6,1,3,-
"S00135309",71,7,6,1,-,19,7,10,5,24,5,17,4,11,4,7,-,10,4,6,-
"S00135310",65,10,2,5,4,29,3,8,13,14,6,3,1,5,-,5,-,7,6,1,-
"S00135311",64,12,7,4,1,32,2,10,17,13,-,9,3,5,2,3,-,1,1,-,-
"S00135312",64,11,3,4,6,41,8,8,25,10,1,7,2,4,-,4,-,2,1,-,-
"S00135313",64,5,2,1,2,22,3,8,11,10,2,6,2,12,5,6,1,15,6,9,-
"S00135314",77,17,7,8,3,39,9,8,22,11,5,8,1,5,2,3,-,2,1,1,-
"S00135315",52,12,2,5,8,15,4,3,8,6,3,3,-,6,2,2,-,12,9,6,-
"S00135316",63,8,2,2,4,22,10,4,8,9,7,5,-,7,6,1,-,18,6,9,-
"S00135317",70,9,3,2,3,27,3,13,8,11,3,8,-,11,3,7,1,16,5,10,1
"S00135318",42,4,1,1,4,17,5,5,7,10,6,5,-,6,2,4,-,3,2,1,-
"S00135319",73,8,3,1,4,21,6,6,10,11,5,4,1,9,4,4,2,25,18,7,-
"S00135320",59,7,2,1,6,17,-,4,11,19,9,10,-,11,5,6,-,5,2,3,-
