OA_Code,Latitude,Longitude,"All People, aged 3 and over","All People, 3 - 15","All People, 16 - 24","All People, 25 - 34","All People, 35 - 49","All People, 50 - 64","All People, 65 and over","Understands/Speaks/Reads/Writes Gaelic, Total","Understands/Speaks/Reads/Writes Gaelic, 3 - 15","Understands/Speaks/Reads/Writes Gaelic, 16 - 24","Understands/Speaks/Reads/Writes Gaelic, 25 - 34","Understands/Speaks/Reads/Writes Gaelic, 35 - 49","Understands/Speaks/Reads/Writes Gaelic, 50 - 64","Understands/Speaks/Reads/Writes Gaelic, 65 and over","No skills in Gaelic, Total","No skills in Gaelic, 3 - 15","No skills in Gaelic, 16 - 24","No skills in Gaelic, 25 - 34","No skills in Gaelic, 35 - 49","No skills in Gaelic, 50 - 64","No skills in Gaelic, 65 and over"
S00135307,57.21753245,-2.214670898,140,22,10,10,29,33,34,3,-,-,-,-,2,1,137,22,10,10,29,31,33
S00135308,57.21356117,-2.274944788,60,7,1,4,15,22,10,-,-,-,-,-,-,-,60,7,1,4,15,22,10
S00135309,57.20797945,-2.093940583,154,7,15,14,22,53,47,-,-,-,-,-,-,-,154,7,15,14,22,53,47
S00135310,57.21110475,-2.189850876,149,14,26,16,31,39,20,-,-,-,-,-,-,-,149,14,26,16,31,39,20
S00135311,57.19734739,-2.167786936,143,25,8,23,47,30,13,-,-,-,-,-,-,-,142,25,8,23,47,29,13
S00135312,57.21250838,-2.188334985,179,46,20,21,56,24,10,4,-,-,-,4,-,-,175,46,20,21,52,24,10
S00135313,57.21223398,-2.185601947,181,21,14,12,25,26,76,6,-,-,-,-,2,2,173,21,14,12,23,25,74
S00135314,57.21260434,-2.190222808,169,31,18,23,47,38,12,5,1,-,5,-,-,-,167,30,18,19,47,38,12
S00135315,57.21245052,-2.184957372,107,18,5,19,17,17,27,-,-,-,-,-,-,-,106,18,5,19,16,17,27
S00135316,57.20089983,-2.190046689,127,16,6,14,22,29,42,4,2,-,-,1,-,2,123,14,6,14,21,29,39
S00135317,57.2109837,-2.180579552,150,16,13,17,29,31,44,6,-,-,2,1,-,1,147,16,13,15,27,31,39
S00135318,57.21075956,-2.186422274,83,11,8,11,20,18,15,-,-,-,-,-,-,-,83,11,8,11,20,18,15
S00135319,57.20927222,-2.183832333,135,23,6,16,26,20,45,9,4,-,2,1,-,3,126,16,6,14,27,20,41
S00135320,57.20962833,-2.186002708,122,21,1,13,24,34,26,6,1,-,3,-,-,2,116,20,1,11,24,34,24
S00135321,57.21035289,-2.181967049,81,9,8,12,17,11,27,6,-,-,1,-,-,4,78,9,8,11,17,10,25
S00135322,57.2090498,-2.17606742,153,32,4,18,34,34,28,2,-,-,2,-,-,-,152,32,4,17,34,34,28
S00135323,57.21018605,-2.179300958,112,10,10,9,19,23,39,-,-,-,-,-,-,-,112,10,10,9,19,23,39
S00135324,57.20989339,-2.182908382,59,6,9,9,7,13,14,-,-,-,-,-,-,-,59,6,9,9,7,13,14
S00135325,57.20945378,-2.188600829,73,9,7,7,12,19,14,1,-,-,-,-,1,-,72,9,7,7,12,18,14
S00135326,57.20943149,-2.179297295,84,13,1,9,9,15,33,6,-,-,5,-,-,2,74,13,1,6,9,14,35
S00135327,57.20887539,-2.18490636,94,16,11,6,21,16,26,1,-,-,-,-,1,-,93,16,11,6,21,16,26
S00135328,57.20906858,-2.181795181,117,11,4,15,21,30,36,2,-,-,-,2,1,-,115,11,4,15,20,29,36
S00135329,57.20859646,-2.179028381,121,23,6,12,32,24,27,2,-,-,2,-,-,-,116,23,6,11,32,24,27
S00135330,57.20784822,-2.187003502,102,7,7,17,11,26,36,3,-,-,-,-,1,1,100,7,7,17,11,25,36
S00135331,57.20886028,-2.176695564,64,10,1,10,14,10,19,-,-,-,-,-,-,-,64,10,1,10,14,10,19
S00135332,57.20791551,-2.184024222,91,15,7,6,20,26,18,2,-,-,-,2,-,-,89,15,7,6,18,26,18
S00135333,57.20756114,-2.174272568,97,15,11,15,24,15,17,3,-,-,-,3,-,-,94,15,11,15,21,15,17
S00135334,57.20799562,-2.178313668,69,11,1,11,13,8,24,1,-,1,-,-,-,-,65,11,2,11,13,8,24
S00135335,57.20775916,-2.180348592,121,22,15,12,28,36,17,1,-,-,1,-,-,-,119,22,15,11,23,36,17
S00135336,57.20743469,-2.187216601,75,12,9,11,14,18,12,-,-,-,-,-,-,-,75,12,9,11,14,18,12
S00135337,57.20737815,-2.176655366,143,9,9,8,23,41,48,1,-,-,-,-,1,-,138,9,9,8,23,40,48
S00135338,57.20685507,-2.184333445,141,17,10,24,20,22,48,2,-,1,-,1,-,-,136,17,9,22,19,22,48
S00135339,57.20631525,-2.190902187,140,32,8,17,19,23,41,3,-,-,-,1,2,-,134,32,8,17,18,21,41
S00135340,57.20477365,-2.176262213,126,21,10,9,23,24,35,4,-,-,-,-,-,2,122,20,12,9,23,24,33
S00135341,57.20714636,-2.181702955,87,17,2,14,12,15,27,6,-,-,2,1,2,2,81,17,2,13,11,13,25
S00135342,57.20656226,-2.187940504,87,7,6,10,9,28,30,-,-,-,-,-,-,-,87,7,6,10,9,28,30
S00135343,57.20487113,-2.10550256,167,43,12,44,42,21,6,6,2,-,5,1,-,-,161,42,12,40,41,21,6
S00135344,57.2053591,-2.187570232,116,14,15,7,23,29,31,3,-,-,-,-,4,1,113,14,15,7,23,27,30
S00135345,57.19914751,-2.096201927,165,30,15,37,32,40,11,3,2,-,1,-,-,-,162,28,15,36,32,40,11
S00135346,57.20514946,-2.183546979,134,16,5,10,22,18,63,2,-,-,2,-,-,-,132,16,5,8,22,18,63
S00135347,57.20416366,-2.102885361,90,17,2,20,24,13,9,-,-,-,-,-,-,-,89,17,2,20,23,13,9
S00135348,57.20370717,-2.186949436,128,19,14,8,16,28,44,1,-,-,-,1,-,-,128,19,14,8,15,28,44
S00135349,57.20358791,-2.188603984,127,20,6,14,26,27,34,2,-,-,-,2,-,-,128,20,6,14,25,27,33
S00135350,57.20388358,-2.10482112,122,26,11,39,33,15,1,3,-,-,3,-,-,-,119,26,11,36,33,15,1
S00135351,57.20188564,-2.09834411,206,55,9,47,78,14,3,5,3,-,-,2,-,-,201,52,9,47,76,14,3
S00135352,57.20312674,-2.184612764,157,18,10,15,28,31,55,4,-,1,-,2,-,-,154,18,8,15,27,31,55
S00135353,57.20271854,-2.10149104,192,50,12,37,72,17,4,4,1,-,-,4,1,-,186,49,12,37,68,16,4
S00135354,57.20341173,-2.099622637,97,25,6,25,35,5,-,-,-,-,-,-,-,-,97,25,6,25,35,5,-
S00135355,57.2031507,-2.100283984,115,25,4,33,35,17,1,-,-,-,-,-,-,-,115,25,4,33,35,17,1
S00135356,57.20282959,-2.191082789,122,12,12,27,30,33,12,2,-,-,-,2,-,-,120,12,12,27,28,33,12
S00135357,57.20232941,-2.104965664,220,56,23,27,77,24,9,3,1,-,1,-,-,-,217,55,23,25,76,24,9
S00135358,57.20034385,-2.17711823,129,16,9,49,35,19,4,1,-,-,-,1,-,-,131,16,9,49,34,19,4
S00135359,57.20300334,-2.176733751,122,9,14,9,15,26,49,2,-,-,-,-,-,2,121,9,14,9,15,26,48
S00135360,57.2034295,-2.173905494,123,3,9,24,26,34,26,1,-,-,-,1,-,1,116,3,9,23,25,34,27
S00135361,57.20293795,-2.178504419,112,19,7,7,19,18,47,1,-,-,-,-,-,1,111,19,7,7,19,18,45
S00135362,57.2023108,-2.183582528,125,12,7,13,21,26,47,5,-,-,1,1,1,2,121,12,7,13,19,25,43
S00135363,57.20239715,-2.099007512,160,43,7,39,60,6,-,2,-,-,-,-,-,2,159,43,7,39,60,6,1
S00135364,57.20113892,-2.186357175,163,15,13,10,21,42,64,3,-,-,-,-,-,1,160,15,13,10,19,42,63
S00135365,57.20102183,-2.180431553,115,13,11,4,23,24,42,3,1,2,-,-,-,-,115,16,9,4,23,24,42
S00135366,57.18949571,-2.274980913,112,12,6,12,15,29,36,2,-,-,-,-,1,1,110,12,6,12,15,28,35
S00135367,57.20129824,-2.181856245,81,8,7,7,14,21,24,1,-,-,-,-,1,-,80,8,7,7,14,20,24
S00135368,57.20155088,-2.121547132,122,17,18,26,25,29,10,2,-,1,-,-,-,-,120,17,13,25,25,29,10
S00135369,57.20109633,-2.096819372,125,23,20,18,33,21,10,6,-,1,-,4,1,-,115,23,19,18,29,20,10
S00135370,57.20125016,-2.125882359,67,8,6,11,9,23,11,-,-,-,-,-,-,-,67,8,6,11,9,23,11
S00135371,57.20035336,-2.124389797,143,18,13,28,33,37,14,3,-,-,-,3,-,-,140,18,13,28,30,37,14
S00135372,57.20098527,-2.121214263,152,44,8,25,47,18,5,1,-,-,-,-,1,-,147,44,8,25,47,17,5
S00135373,57.20038465,-2.12897427,219,27,23,24,55,58,32,1,-,-,-,1,-,-,218,27,23,24,54,58,32
S00135374,57.20065339,-2.100343398,134,19,10,28,35,24,18,2,-,-,2,-,-,-,132,19,10,26,35,24,18
S00135375,57.1995019,-2.181681906,94,16,8,34,25,11,2,1,-,-,1,-,-,-,93,16,8,33,25,11,2
S00135376,57.19985567,-2.18547356,71,15,12,3,11,8,19,6,3,1,-,2,-,-,65,12,8,3,7,8,19
S00135377,57.2002608,-2.127103687,114,11,12,23,19,32,17,-,-,-,-,-,-,-,114,11,12,23,19,32,17
S00135378,57.2006026,-2.096387773,122,30,16,10,39,18,9,-,-,-,-,-,-,-,122,30,16,10,39,18,9
