Scotland's Census 2022 - National Records of Scotland
Table UV212 - Main language
All people aged 3 and over

,"All people aged 3 and over","English","Scots","Gaelic","Sign Language","Other language"
"S00135307",140,140,-,-,-,-
"S00135308",60,60,-,-,-,-
"S00135309",154,146,3,-,-,4
"S00135310",149,141,-,-,-,10
"S00135311",143,140,-,-,-,6
"S00135312",179,165,-,-,1,17
"S00135313",181,175,4,-,-,-
"S00135314",169,161,-,-,-,8
"S00135315",107,101,1,-,-,5
"S00135316",127,117,1,-,-,9
"S00135317",150,141,2,-,-,11
"S00135318",83,77,-,-,-,6
"S00135319",135,128,-,-,-,7
"S00135320",122,110,-,-,-,6
"S00135321",81,78,1,-,-,4
"S00135322",153,140,-,-,-,13
"S00135323",112,112,-,-,-,-
"S00135324",59,45,-,-,-,10
"S00135325",73,68,-,-,-,5
"S00135326",84,79,1,-,-,4
"S00135327",94,91,1,-,-,1
"S00135328",117,110,-,-,-,3
"S00135329",121,116,-,-,-,8
"S00135330",102,96,-,-,-,6
"S00135331",64,55,-,-,-,6
"S00135332",91,89,-,-,-,2
"S00135333",97,85,2,-,-,11
"S00135334",69,65,-,-,-,4
"S00135335",121,107,1,-,-,17
"S00135336",75,74,-,-,-,1
"S00135337",143,135,-,-,-,4
"S00135338",141,131,-,-,-,6
"S00135339",140,131,-,-,-,9
"S00135340",126,114,-,-,-,11
"S00135341",87,82,-,-,-,5
"S00135342",87,89,-,-,-,2
"S00135343",167,167,-,-,-,1
"S00135344",116,111,2,-,-,3
"S00135345",165,146,-,-,-,19
"S00135346",134,130,-,-,-,4
"S00135347",90,85,3,-,-,-
"S00135348",128,127,-,-,-,2
"S00135349",127,127,-,-,-,-
"S00135350",122,113,-,-,2,7
"S00135351",206,199,-,-,-,7
"S00135352",157,145,-,-,2,7
"S00135353",192,177,-,-,-,15
"S00135354",97,89,-,-,-,8
"S00135355",115,107,-,-,-,5
"S00135356",122,112,-,-,-,6
"S00135357",220,203,-,-,-,17
"S00135358",129,122,-,-,-,10
"S00135359",122,120,-,-,-,2
"S00135360",123,117,-,-,-,9
"S00135361",112,108,1,-,-,3
"S00135362",125,118,-,-,-,7
"S00135363",160,144,-,-,-,16
"S00135364",163,158,1,-,-,4
"S00135365",115,106,-,-,-,12
"S00135366",112,109,-,-,-,3
"S00135367",81,79,1,-,-,-
"S00135368",122,117,-,-,-,8
"S00135369",125,116,1,-,-,5
"S00135370",67,65,-,-,-,3
"S00135371",143,143,-,-,-,-
"S00135372",152,135,-,-,-,13
"S00135373",219,212,-,-,-,7
"S00135374",134,124,-,-,-,10
"S00135375",94,80,-,-,-,13
"S00135376",71,69,-,-,-,2
"S00135377",114,109,-,-,-,5
"S00135378",122,104,-,-,-,18
"S00135379",60,55,-,-,-,5
"S00135380",129,127,-,-,-,2
"S00135381",131,113,-,-,-,16
"S00135382",99,93,-,-,-,6
"S00135383",143,128,-,-,-,15
"S00135384",59,58,-,-,-,1
"S00135385",83,83,-,-,-,-
"S00135386",113,109,1,-,1,2
"S00135387",166,162,-,-,-,4
"S00135388",195,186,-,-,-,9
"S00135389",134,125,-,-,-,6
"S00135390",84,83,-,-,-,2
"S00135391",198,181,-,-,-,17
"S00135392",68,64,-,-,-,4
"S00135393",194,178,1,-,-,15
"S00135394",150,141,-,-,-,5
"S00135395",73,70,-,-,-,5
"S00135396",130,130,-,-,-,-
"S00135397",111,103,-,-,-,7
"S00135398",122,107,-,-,-,15
"S00135399",241,235,-,-,-,6
"S00135400",159,154,1,-,-,4
"S00135401",94,91,-,-,-,3
"S00135402",78,76,-,-,-,2
"S00135403",129,118,-,-,-,11
"S00135404",81,76,-,-,1,3
"S00135405",181,176,-,-,-,5
"S00135406",172,164,-,-,-,8
"S00135407",151,142,-,-,-,9
"S00135408",149,146,-,-,-,3
"S00135409",69,65,-,-,-,4
"S00135410",110,102,-,-,-,8
"S00135411",181,174,2,-,-,6
"S00135412",111,108,-,-,-,3
"S00135413",134,133,-,-,-,-
"S00135414",89,84,1,-,-,4
"S00135415",102,98,-,-,-,7
"S00135416",197,184,-,-,-,14
"S00135417",107,103,-,-,-,-
"S00135418",168,154,-,1,-,13
"S00135419",76,72,-,-,-,5
"S00135420",143,133,2,-,-,8
"S00135421",116,109,-,-,-,10
"S00135422",102,94,-,-,-,8
"S00135423",184,177,1,-,-,6
"S00135424",115,115,-,-,-,-
"S00135425",115,107,-,-,-,8
"S00135426",136,129,-,-,-,6
"S00135427",125,120,-,-,-,4
"S00135428",73,73,-,-,-,-
"S00135429",83,75,-,-,-,8
"S00135430",112,100,-,-,-,12
"S00135431",106,101,-,-,-,5
"S00135432",117,105,-,-,-,10
"S00135433",126,123,-,-,-,3
"S00135434",111,111,-,-,-,-
"S00135435",79,79,-,-,-,-
"S00135436",107,107,-,-,-,-
"S00135437",117,110,1,-,-,4
"S00135438",79,71,-,-,-,8
"S00135439",89,87,-,-,-,4
"S00135440",125,126,-,-,-,2
"S00135441",124,121,-,-,-,3
"S00135442",67,66,-,-,-,1
"S00135443",97,89,1,-,-,6
"S00135444",89,81,-,-,-,8
"S00135445",134,129,-,-,-,5
"S00135446",156,154,-,-,-,3
"S00135447",130,126,-,-,-,4
"S00135448",151,143,-,-,-,8
"S00135449",98,98,-,-,-,-
"S00135450",91,91,-,-,-,-
"S00135451",69,65,-,-,-,5
"S00135452",62,62,-,-,-,-
"S00135453",102,92,-,-,-,10
"S00135454",117,110,-,-,-,7
"S00135455",106,102,-,-,-,4
"S00135456",84,84,-,-,-,4
"S00135457",64,62,-,-,-,2
"S00135458",78,74,-,-,-,4
"S00135459",121,116,-,-,-,6
"S00135460",120,109,-,-,-,11
"S00135461",131,124,-,-,-,4
"S00135462",156,149,-,-,-,7
"S00135463",146,141,-,-,-,5
"S00135464",102,98,-,-,-,4
"S00135465",106,105,1,-,-,-
"S00135466",99,91,-,-,-,8
"S00135467",93,89,-,-,-,4
"S00135468",68,64,4,-,-,2
"S00135469",116,116,-,-,-,-
"S00135470",136,130,-,-,-,5
"S00135471",146,141,-,-,-,5
"S00135472",147,135,-,-,-,10
"S00135473",125,122,-,-,-,4
"S00135474",113,101,-,2,-,11
"S00135475",100,98,-,-,-,3
"S00135476",106,97,-,-,-,6
"S00135477",113,110,-,-,-,3
"S00135478",96,88,-,-,-,4
"S00135479",123,121,-,-,-,2
"S00135480",131,115,-,-,-,13
"S00135481",131,128,1,-,-,-
"S00135482",82,74,-,-,-,8
"S00135483",110,107,-,-,-,7
"S00135484",82,74,-,-,-,4
"S00135485",160,152,-,-,-,8
"S00135486",112,101,-,-,-,13
"S00135487",155,149,-,-,-,9
"S00135488",111,107,-,-,-,4
"S00135489",123,115,-,-,-,8
"S00135490",126,120,-,-,-,6
"S00135491",121,93,-,-,-,28
"S00135492",122,118,-,-,-,11
"S00135493",160,158,-,-,-,5
"S00135494",98,97,-,-,-,1
"S00135495",104,92,-,-,-,12
"S00135496",101,98,-,-,-,3
"S00135497",227,218,-,-,-,10
"S00135498",143,101,-,-,-,42
"S00135499",126,114,-,-,-,14
"S00135500",112,105,-,-,-,10
"S00135501",136,130,1,-,-,2
"S00135502",124,112,-,-,-,12
"S00135503",85,82,1,-,-,3
"S00135504",140,132,-,-,-,5
"S00135505",160,130,-,-,-,27
"S00135506",86,88,4,-,-,-
"S00135507",170,155,-,-,-,9
"S00135508",65,59,-,-,-,6
"S00135509",123,115,-,-,-,9
"S00135510",108,104,-,-,-,2
"S00135511",118,118,-,-,-,-
"S00135512",118,111,-,-,-,7
"S00135513",111,101,2,-,-,8
"S00135514",112,103,-,-,-,8
"S00135515",160,146,-,-,-,14
"S00135516",143,136,2,-,-,6
"S00135517",111,99,1,-,-,11
"S00135518",82,78,-,-,-,4
"S00135519",137,135,1,-,-,1
"S00135520",141,132,-,-,-,13
"S00135521",115,97,-,-,-,19
"S00135522",89,84,-,-,-,5
"S00135523",67,67,-,-,-,-
"S00135524",110,104,-,-,-,6
"S00135525",102,92,-,-,-,10
"S00135526",104,100,-,-,-,4
"S00135527",65,64,-,-,-,4
"S00135528",166,160,1,-,-,3
"S00135529",139,136,-,-,-,3
"S00135530",85,81,-,-,-,-
"S00135531",97,91,-,-,-,6
"S00135532",97,89,-,-,-,8
"S00135533",125,117,-,-,-,11
"S00135534",111,104,-,-,-,7
"S00135535",223,212,-,-,-,11
"S00135536",183,173,-,-,-,8
"S00135537",144,128,1,-,-,15
"S00135538",91,83,-,-,-,7
"S00135539",84,82,-,-,-,1
"S00135540",143,136,-,-,-,10
"S00135541",78,74,1,-,-,2
"S00135542",171,141,1,-,-,25
"S00135543",162,150,-,-,-,12
"S00135544",96,91,1,-,-,4
"S00135545",132,127,-,-,-,5
"S00135546",86,83,-,-,-,3
"S00135547",175,172,2,-,-,4
"S00135548",85,83,-,-,-,2
"S00135549",64,59,-,-,-,5
"S00135550",118,105,1,-,-,12
"S00135551",122,107,-,-,-,15
"S00135552",127,103,-,-,-,22
"S00135553",202,200,-,-,-,2
"S00135554",84,83,-,-,-,1
"S00135555",163,153,-,-,-,10
"S00135556",100,103,-,-,-,-
"S00135557",82,61,1,-,-,23
"S00135558",146,133,2,-,1,10
"S00135559",104,98,-,-,-,6
"S00135560",104,101,-,-,-,3
"S00135561",90,80,-,-,-,10
"S00135562",89,81,2,1,-,2
"S00135563",59,48,-,-,-,11
"S00135564",103,103,-,-,-,-
"S00135565",70,71,-,-,-,-
"S00135566",97,95,2,-,-,-
"S00135567",124,118,-,-,-,6
"S00135568",147,145,-,-,-,5
"S00135569",100,97,-,-,-,3
"S00135570",111,107,-,-,-,4
"S00135571",102,95,-,-,-,7
"S00135572",115,111,1,-,-,3
"S00135573",105,99,-,-,-,6
"S00135574",94,85,2,-,-,7
"S00135575",142,131,-,-,-,9
"S00135576",126,116,-,-,-,9
