OA_Code,Latitude,Longitude,All people in households,"Whole house or bungalow, Total","Whole house or bungalow, Detached","Whole house or bungalow, Semi-detached","Whole house or bungalow, Terraced (including end-terrace)","Flat, maisonette or apartment, Total","Flat, maisonette or apartment, Purpose-built block of flats or tenement","Flat, maisonette or apartment, Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment, In a commercial building",Caravan or other mobile or temporary structure
S00135307,57.21753245,-2.214670898,144,140,130,10,-,4,4,-,-,2
S00135308,57.21356117,-2.274944788,65,65,45,16,-,-,-,-,-,-
S00135309,57.20797945,-2.093940583,143,129,93,32,7,5,3,-,2,9
S00135310,57.21110475,-2.189850876,145,128,33,97,3,17,17,-,-,-
S00135311,57.19734739,-2.167786936,151,134,104,27,4,14,12,2,-,6
S00135312,57.21250838,-2.188334985,187,157,51,62,44,30,30,-,-,-
S00135313,57.21223398,-2.185601947,147,142,11,87,43,6,6,-,-,-
S00135314,57.21260434,-2.190222808,173,116,46,68,6,57,57,-,-,-
S00135315,57.21245052,-2.184957372,108,60,6,24,34,50,48,3,-,-
S00135316,57.20089983,-2.190046689,129,85,54,33,1,44,38,1,5,-
S00135317,57.2109837,-2.180579552,156,141,38,71,32,14,14,-,-,-
S00135318,57.21075956,-2.186422274,85,76,2,57,16,9,9,-,-,-
S00135319,57.20927222,-2.183832333,141,94,3,65,26,45,44,1,-,-
S00135320,57.20962833,-2.186002708,127,100,3,57,36,25,23,4,-,-
S00135321,57.21035289,-2.181967049,84,71,7,34,30,13,13,-,-,-
S00135322,57.2090498,-2.17606742,151,47,6,41,2,107,107,-,-,-
S00135323,57.21018605,-2.179300958,108,86,4,30,52,29,29,-,-,-
S00135324,57.20989339,-2.182908382,60,33,11,17,5,28,28,-,-,-
S00135325,57.20945378,-2.188600829,77,77,60,12,8,3,3,-,-,-
S00135326,57.20943149,-2.179297295,84,46,7,16,23,36,35,2,-,-
S00135327,57.20887539,-2.18490636,95,94,1,50,47,1,1,-,-,-
S00135328,57.20906858,-2.181795181,117,95,5,48,50,19,19,-,-,-
S00135329,57.20859646,-2.179028381,123,100,8,50,39,23,21,2,-,-
S00135330,57.20784822,-2.187003502,105,67,3,43,21,38,38,-,-,-
S00135331,57.20886028,-2.176695564,66,64,3,42,19,2,2,-,-,-
S00135332,57.20791551,-2.184024222,93,91,5,44,42,4,4,-,-,-
S00135333,57.20756114,-2.174272568,104,28,-,17,10,77,77,-,-,-
S00135334,57.20799562,-2.178313668,74,65,6,12,47,9,9,-,-,-
S00135335,57.20775916,-2.180348592,123,123,19,15,90,-,-,-,-,-
S00135336,57.20743469,-2.187216601,78,70,37,30,3,11,11,-,-,-
S00135337,57.20737815,-2.176655366,142,134,28,72,36,8,8,-,-,-
S00135338,57.20685507,-2.184333445,145,92,4,73,16,53,53,-,-,-
S00135339,57.20631525,-2.190902187,140,64,46,13,5,80,77,3,-,-
S00135340,57.20477365,-2.176262213,117,110,34,44,32,6,6,-,-,-
S00135341,57.20714636,-2.181702955,94,89,7,14,66,4,4,-,-,-
S00135342,57.20656226,-2.187940504,90,78,27,46,9,5,5,-,-,-
S00135343,57.20487113,-2.10550256,172,134,40,44,50,35,35,-,-,-
S00135344,57.2053591,-2.187570232,118,80,60,20,-,42,36,1,2,-
S00135345,57.19914751,-2.096201927,165,145,22,81,42,24,23,2,2,-
