OA_Code,Latitude,Longitude,All occupied Households,No Cars or Vans,One Car or Van,Two Cars or Vans,Three Cars or Vans,Four or More Cars or Vans
S00135307,57.21753245,-2.214670898,62,1,23,21,12,6
S00135308,57.21356117,-2.274944788,33,2,7,15,3,-
S00135309,57.20797945,-2.093940583,71,7,26,28,7,6
S00135310,57.21110475,-2.189850876,65,8,33,20,6,1
S00135311,57.19734739,-2.167786936,64,2,26,28,7,1
S00135312,57.21250838,-2.188334985,64,7,28,23,5,-
S00135313,57.21223398,-2.185601947,64,13,28,21,1,2
S00135314,57.21260434,-2.190222808,77,11,33,26,7,-
S00135315,57.21245052,-2.184957372,52,11,28,8,4,-
S00135316,57.20089983,-2.190046689,63,21,25,15,4,-
S00135317,57.2109837,-2.180579552,70,16,35,15,3,2
S00135318,57.21075956,-2.186422274,42,10,25,7,2,-
S00135319,57.20927222,-2.183832333,73,26,32,15,-,-
S00135320,57.20962833,-2.186002708,59,14,29,12,1,2
S00135321,57.21035289,-2.181967049,45,9,26,9,-,1
S00135322,57.2090498,-2.17606742,70,13,42,17,3,-
S00135323,57.21018605,-2.179300958,53,6,25,18,3,3
S00135324,57.20989339,-2.182908382,29,5,19,10,1,-
S00135325,57.20945378,-2.188600829,29,4,8,12,4,-
S00135326,57.20943149,-2.179297295,55,23,21,7,-,-
S00135327,57.20887539,-2.18490636,43,7,23,10,3,1
S00135328,57.20906858,-2.181795181,58,16,25,16,2,-
S00135329,57.20859646,-2.179028381,56,13,27,10,2,-
S00135330,57.20784822,-2.187003502,58,14,29,11,5,2
S00135331,57.20886028,-2.176695564,31,2,20,10,2,-
S00135332,57.20791551,-2.184024222,47,12,22,11,1,2
S00135333,57.20756114,-2.174272568,49,17,26,3,1,-
S00135334,57.20799562,-2.178313668,33,1,21,8,1,-
S00135335,57.20775916,-2.180348592,48,6,21,16,2,2
S00135336,57.20743469,-2.187216601,33,3,18,11,2,-
S00135337,57.20737815,-2.176655366,77,10,48,19,2,-
S00135338,57.20685507,-2.184333445,80,21,45,11,1,-
S00135339,57.20631525,-2.190902187,81,38,31,9,-,-
S00135340,57.20477365,-2.176262213,55,9,28,11,4,1
S00135341,57.20714636,-2.181702955,45,11,27,6,-,2
S00135342,57.20656226,-2.187940504,45,6,22,14,1,1
S00135343,57.20487113,-2.10550256,69,4,31,30,3,1
S00135344,57.2053591,-2.187570232,59,15,24,15,3,1
S00135345,57.19914751,-2.096201927,72,3,38,24,1,2
S00135346,57.20514946,-2.183546979,67,5,29,23,5,1
