Scotland's Census 2022 - National Records of Scotland
Table UV408 - Number of bedrooms
All occupied households
,"All occupied households","One bedroom","Two bedrooms","Three bedrooms","Four bedrooms","Five or more bedrooms"
"S00135307",62,-,11,25,21,5
"S00135308",33,1,5,12,3,4
"S00135309",71,8,13,28,13,4
"S00135310",65,2,21,37,6,-
"S00135311",64,6,22,21,13,5
"S00135312",64,-,16,44,9,2
"S00135313",64,9,17,35,2,1
"S00135314",77,-,33,34,10,-
"S00135315",52,10,2,38,1,-
"S00135316",63,4,28,21,6,3
"S00135317",70,6,19,37,1,3
"S00135318",42,-,18,17,4,-
"S00135319",73,21,12,35,3,1
"S00135320",59,11,29,17,-,2
"S00135321",45,9,13,21,2,-
"S00135322",70,7,7,56,2,1
"S00135323",53,4,8,37,3,1
"S00135324",29,4,4,22,-,1
"S00135325",29,1,5,16,11,-
"S00135326",55,24,5,19,1,-
"S00135327",43,9,10,24,-,-
"S00135328",58,9,6,38,-,2
"S00135329",56,4,8,40,-,-
"S00135330",58,6,28,24,2,1
"S00135331",31,7,8,16,-,-
"S00135332",47,9,16,20,-,-
"S00135333",49,20,3,23,3,-
"S00135334",33,-,8,21,3,2
"S00135335",48,1,2,42,4,1
"S00135336",33,-,15,13,2,1
"S00135337",77,6,40,35,-,-
"S00135338",80,9,45,23,3,-
"S00135339",81,28,28,17,6,2
"S00135340",55,6,15,17,14,1
"S00135341",45,1,24,19,1,-
"S00135342",45,4,11,25,4,-
"S00135343",69,9,15,24,18,3
"S00135344",59,15,12,19,8,4
"S00135345",72,1,28,38,5,-
"S00135346",67,-,22,29,12,-
"S00135347",41,5,9,17,8,2
"S00135348",56,-,2,36,11,5
"S00135349",61,4,12,37,5,3
"S00135350",55,9,13,20,12,-
"S00135351",77,2,2,35,34,4
"S00135352",73,-,8,49,10,3
"S00135353",80,3,9,35,26,1
"S00135354",41,-,2,33,3,1
"S00135355",49,3,10,22,14,-
"S00135356",73,-,65,5,2,-
"S00135357",72,1,13,1,15,41
"S00135358",70,2,46,21,2,-
"S00135359",54,-,6,29,15,4
"S00135360",76,15,43,11,2,2
"S00135361",51,1,4,33,10,5
"S00135362",62,2,17,25,12,1
