OA_Code,Latitude,Longitude,All people,Born in the UK,Arrived before 1941,Arrived 1941 - 1950,Arrived 1951 - 1960,Arrived 1961 - 1970,Arrived 1971 - 1980,Arrived 1981 - 1990,Arrived 1991 - 2000,Arrived 2001 - 2010,Arrived 2011 - 2013,Arrived 2014 - 2016,Arrived 2017 - 2019,Arrived 2020 - 2022
S00135307,57.21753245,-2.214670898,144,123,-,1,-,1,1,4,2,7,-,1,-,8
S00135308,57.21356117,-2.274944788,65,57,-,-,-,-,-,2,-,-,-,-,-,7
S00135309,57.20797945,-2.093940583,156,142,1,-,2,1,-,4,4,-,-,-,-,-
S00135310,57.21110475,-2.189850876,153,137,-,-,-,-,-,-,2,5,2,-,4,2
S00135311,57.19734739,-2.167786936,151,131,-,-,-,-,-,3,3,16,1,1,1,2
S00135312,57.21250838,-2.188334985,187,160,-,-,-,-,-,-,3,14,3,5,1,-
S00135313,57.21223398,-2.185601947,181,177,-,-,-,1,-,2,-,-,2,-,-,-
S00135314,57.21260434,-2.190222808,173,154,-,-,-,-,-,-,4,3,-,9,1,1
S00135315,57.21245052,-2.184957372,108,98,-,-,-,1,-,-,-,8,-,-,1,2
S00135316,57.20089983,-2.190046689,130,110,-,-,-,-,-,1,-,3,3,-,3,6
S00135317,57.2109837,-2.180579552,156,137,-,-,-,1,-,1,1,4,9,1,-,-
S00135318,57.21075956,-2.186422274,85,78,-,-,-,-,-,-,-,4,-,-,1,-
S00135319,57.20927222,-2.183832333,141,118,-,-,-,4,-,-,-,7,2,3,1,4
S00135320,57.20962833,-2.186002708,127,119,-,-,-,-,-,-,1,5,4,1,-,1
S00135321,57.21035289,-2.181967049,84,80,-,-,-,-,-,1,-,2,-,-,1,-
S00135322,57.2090498,-2.17606742,151,133,-,-,1,1,-,-,1,11,3,-,2,-
S00135323,57.21018605,-2.179300958,108,108,-,-,-,-,-,1,2,1,-,2,-,-
S00135324,57.20989339,-2.182908382,60,50,-,-,-,-,-,-,-,2,4,-,4,2
S00135325,57.20945378,-2.188600829,77,69,-,-,-,-,-,1,1,5,-,1,-,-
S00135326,57.20943149,-2.179297295,84,78,-,-,-,1,-,3,-,-,-,2,-,-
S00135327,57.20887539,-2.18490636,95,89,-,-,-,1,-,-,1,3,-,-,-,-
S00135328,57.20906858,-2.181795181,117,103,-,-,-,-,2,-,-,3,-,4,3,4
S00135329,57.20859646,-2.179028381,123,103,-,-,-,1,4,1,1,8,1,1,-,5
S00135330,57.20784822,-2.187003502,105,97,-,-,-,-,2,-,-,1,4,-,2,-
S00135331,57.20886028,-2.176695564,66,59,-,-,-,1,-,-,-,4,1,1,-,-
S00135332,57.20791551,-2.184024222,93,89,-,-,-,1,1,-,-,2,-,-,-,-
S00135333,57.20756114,-2.174272568,104,84,-,-,1,-,-,-,-,7,3,-,3,1
S00135334,57.20799562,-2.178313668,74,64,-,-,-,-,-,4,2,2,3,-,2,-
S00135335,57.20775916,-2.180348592,123,96,-,-,-,-,3,1,-,17,4,-,2,-
S00135336,57.20743469,-2.187216601,78,69,-,-,-,-,-,-,2,1,2,-,-,4
S00135337,57.20737815,-2.176655366,142,134,-,-,1,-,-,-,-,2,-,1,2,1
S00135338,57.20685507,-2.184333445,145,137,-,-,-,-,-,-,-,4,1,-,1,1
S00135339,57.20631525,-2.190902187,140,128,-,-,-,-,-,-,2,5,-,-,-,-
S00135340,57.20477365,-2.176262213,129,119,-,-,-,-,-,2,-,6,1,1,-,1
S00135341,57.20714636,-2.181702955,94,86,-,-,-,-,-,-,-,3,-,3,2,-
S00135342,57.20656226,-2.187940504,90,85,-,-,-,-,-,-,2,4,-,-,-,-
S00135343,57.20487113,-2.10550256,172,160,-,-,-,-,-,-,2,4,5,1,-,-
S00135344,57.2053591,-2.187570232,118,107,-,-,1,-,-,-,-,4,1,4,-,-
S00135345,57.19914751,-2.096201927,165,133,-,-,-,2,-,-,-,13,4,8,2,6
S00135346,57.20514946,-2.183546979,136,131,-,-,-,-,-,-,-,-,-,-,4,-
S00135347,57.20416366,-2.102885361,91,88,-,-,-,2,-,-,-,-,1,-,-,-
S00135348,57.20370717,-2.186949436,130,121,-,1,1,-,1,-,1,1,-,-,-,4
S00135349,57.20358791,-2.188603984,127,119,-,-,-,-,-,-,-,3,-,2,2,-
S00135350,57.20388358,-2.10482112,131,110,-,-,-,-,-,-,2,13,1,2,1,-
S00135351,57.20188564,-2.09834411,224,201,-,-,-,-,-,1,1,9,3,6,-,1
S00135352,57.20312674,-2.184612764,161,147,-,-,-,-,1,-,-,4,-,1,3,-
S00135353,57.20271854,-2.10149104,206,180,-,-,-,-,-,-,2,13,6,2,-,3
S00135354,57.20341173,-2.099622637,105,93,-,-,-,-,-,-,2,5,-,-,1,-
S00135355,57.2031507,-2.100283984,124,111,-,-,-,-,-,-,-,9,-,2,3,1
S00135356,57.20282959,-2.191082789,126,116,-,-,-,-,1,1,-,5,-,2,1,4
S00135357,57.20232941,-2.104965664,228,196,-,-,-,-,1,3,1,23,-,-,1,-
S00135358,57.20034385,-2.17711823,137,100,-,-,2,-,1,2,-,8,3,4,6,5
S00135359,57.20300334,-2.176733751,123,114,-,-,1,-,-,-,-,-,2,1,3,1
S00135360,57.2034295,-2.173905494,129,110,-,1,-,-,-,-,-,3,3,1,7,-
S00135361,57.20293795,-2.178504419,117,109,-,-,-,-,-,-,1,5,-,-,-,-
S00135362,57.2023108,-2.183582528,132,115,-,-,1,-,1,-,-,9,2,1,-,-
S00135363,57.20239715,-2.099007512,174,131,-,-,-,-,-,1,-,23,5,6,4,-
S00135364,57.20113892,-2.186357175,165,155,-,-,-,-,-,1,-,5,2,1,-,1
S00135365,57.20102183,-2.180431553,119,104,-,-,-,-,-,-,-,3,-,3,5,4
S00135366,57.18949571,-2.274980913,112,95,-,-,1,-,2,-,2,4,-,-,6,1
S00135367,57.20129824,-2.181856245,82,75,-,-,1,-,-,1,-,2,-,3,-,-
S00135368,57.20155088,-2.121547132,131,113,-,-,-,1,1,-,2,5,-,-,3,6
S00135369,57.20109633,-2.096819372,128,106,-,-,-,1,1,-,-,7,5,-,2,4
S00135370,57.20125016,-2.125882359,72,66,-,-,-,-,-,-,-,2,3,-,-,-
S00135371,57.20035336,-2.124389797,149,141,-,-,1,1,1,-,2,3,-,-,2,-
S00135372,57.20098527,-2.121214263,152,131,-,-,-,-,-,-,-,16,2,-,3,-
S00135373,57.20038465,-2.12897427,226,213,-,-,-,2,-,2,-,8,1,-,-,-
S00135374,57.20065339,-2.100343398,141,126,-,-,-,-,-,1,1,8,-,4,-,-
S00135375,57.1995019,-2.181681906,98,75,-,-,-,-,1,1,-,9,1,-,6,-
S00135376,57.19985567,-2.18547356,75,67,-,-,-,1,-,1,-,5,-,-,1,-
S00135377,57.2002608,-2.127103687,119,107,-,-,-,-,-,-,-,6,-,-,3,-
S00135378,57.2006026,-2.096387773,127,103,-,-,-,-,2,2,1,5,1,5,9,-
S00135379,57.19992386,-2.102708042,60,53,-,-,-,-,-,-,1,4,2,-,-,-
S00135380,57.20004768,-2.105041924,132,125,-,-,-,1,2,1,1,-,2,-,-,-
S00135381,57.20005842,-2.122866211,133,106,-,-,-,-,-,-,2,14,4,2,2,6
S00135382,57.20009183,-2.125415012,101,94,-,-,-,-,-,-,1,2,2,-,1,-
S00135383,57.19936983,-2.179827699,153,95,-,-,-,-,-,2,3,23,7,5,10,9
S00135384,57.19849027,-2.098119922,61,55,-,-,-,-,1,-,1,1,-,1,-,-
S00135385,57.19807339,-2.181840372,90,80,-,-,-,-,-,-,-,1,4,-,6,-
S00135386,57.19947642,-2.100604992,113,108,-,2,-,-,-,2,-,1,2,-,-,-
S00135387,57.19881829,-2.103515884,171,162,-,-,-,2,-,1,-,3,3,-,-,-
S00135388,57.19310185,-2.178341075,200,162,-,-,-,-,-,1,3,11,7,3,4,5
S00135389,57.19859498,-2.13097048,132,120,-,-,-,-,-,-,1,5,3,-,1,-
S00135390,57.19862073,-2.123291708,85,84,-,-,1,1,-,2,-,1,-,-,-,-
S00135391,57.19775695,-2.124728577,203,175,-,-,-,1,-,1,1,10,4,3,5,4
S00135392,57.19815982,-2.126086961,70,63,-,-,-,-,-,-,-,3,-,-,-,-
S00135393,57.19829765,-2.182056615,207,180,-,-,-,-,-,-,-,16,1,4,5,1
S00135394,57.19703995,-2.103179925,152,136,-,1,-,-,-,-,-,6,3,-,2,-
S00135395,57.19734625,-2.102105116,79,67,-,-,-,1,2,-,1,2,-,1,5,-
S00135396,57.19731061,-2.130783889,133,127,-,-,-,2,-,1,-,-,-,-,-,3
S00135397,57.1899883,-2.131932687,121,105,-,-,-,-,-,1,-,1,7,1,-,-
S00135398,57.1965936,-2.09972007,129,101,-,-,-,5,-,12,5,9,3,4,-,-
S00135399,57.19153523,-2.12119979,243,207,-,-,-,-,1,-,4,12,6,3,3,5
S00135400,57.17961507,-2.209538129,162,152,-,-,1,1,1,1,-,3,1,-,2,-
S00135401,57.1967276,-2.129937854,99,90,-,2,-,2,-,-,-,6,1,-,1,-
S00135402,57.19620493,-2.102697694,80,75,-,-,-,-,-,1,3,2,1,-,-,-
S00135403,57.19593605,-2.130944502,131,114,-,-,-,-,1,-,-,9,4,3,-,-
S00135404,57.19543162,-2.132266541,86,74,-,-,-,-,-,-,-,6,1,-,1,5
S00135405,57.19441126,-2.099068826,188,166,-,-,1,2,4,2,-,10,-,-,2,-
S00135406,57.1943644,-2.121672402,172,150,-,-,1,1,4,2,3,3,4,-,-,-
S00135407,57.1947352,-2.119075661,153,135,-,-,-,-,3,4,2,3,-,5,-,1
S00135408,57.19499626,-2.097663846,152,142,-,-,-,-,-,-,1,9,-,-,-,-
S00135409,57.19537391,-2.127268892,70,65,-,1,-,-,-,-,-,1,-,-,3,-
S00135410,57.19442937,-2.128572882,111,92,-,-,-,-,-,1,-,15,1,1,-,-
S00135411,57.19464343,-2.130062901,183,160,-,-,-,-,3,-,-,8,4,-,2,-
S00135412,57.1948369,-2.115998139,113,105,-,-,-,2,4,-,-,-,-,-,-,-
S00135413,57.19423875,-2.101368439,134,124,-,-,2,3,-,1,1,4,4,-,-,1
S00135414,57.19428455,-2.120646205,89,84,-,-,-,1,-,-,3,-,-,1,-,-
S00135415,57.19438685,-2.126223006,104,85,-,-,1,-,1,-,1,9,1,-,6,-
S00135416,57.19364423,-2.113743995,199,173,-,-,3,-,4,-,1,8,1,-,6,1
S00135417,57.19432681,-2.132179848,107,101,-,-,-,-,-,-,2,4,-,-,-,-
S00135418,57.19214253,-2.177029281,178,151,-,-,-,2,-,-,2,7,4,4,3,6
S00135419,57.19271604,-2.106890831,77,71,-,-,-,-,-,-,-,1,3,-,1,-
S00135420,57.1934796,-2.095773479,142,128,-,-,-,-,1,-,-,8,4,1,-,3
S00135421,57.19340529,-2.12860241,116,100,-,-,1,-,2,1,4,7,2,2,-,-
S00135422,57.19354601,-2.131498626,109,96,-,1,-,-,-,-,-,7,1,4,4,-
S00135423,57.19351622,-2.116192554,190,165,-,-,-,-,3,-,-,18,-,-,-,1
S00135424,57.19089403,-2.183194897,115,114,-,-,-,-,-,-,-,-,-,2,-,-
S00135425,57.19208494,-2.179626785,116,106,-,-,-,-,-,1,-,4,-,2,3,-
S00135426,57.19274317,-2.116752708,141,127,-,-,1,-,3,-,3,4,6,-,-,-
S00135427,57.19235674,-2.126182974,126,116,-,-,-,-,2,2,-,4,-,-,-,1
S00135428,57.19261503,-2.109438712,75,71,-,-,-,2,-,1,4,-,-,-,-,-
S00135429,57.19180363,-2.102271794,85,66,1,2,-,-,1,-,2,2,1,3,2,4
S00135430,57.19187949,-2.118156409,113,95,-,-,-,1,1,1,5,-,3,6,-,-
S00135431,57.19077223,-2.100250354,109,94,-,-,-,-,-,-,2,5,1,1,3,-
S00135432,57.19224373,-2.13126234,117,99,-,2,-,2,-,1,-,6,2,3,2,-
S00135433,57.19192681,-2.115575341,128,120,-,-,-,-,1,1,-,1,1,2,-,3
S00135434,57.19202069,-2.129788925,111,103,-,-,2,1,-,-,-,2,-,-,-,-
S00135435,57.19117857,-2.127568809,77,74,1,-,-,-,-,-,1,-,-,-,-,-
S00135436,57.19170847,-2.097704786,109,101,-,-,-,2,-,-,1,2,-,-,-,-
S00135437,57.18798413,-2.176529571,127,111,-,-,-,-,-,-,1,9,-,1,5,1
S00135438,57.18420372,-2.199539162,82,64,-,-,-,2,-,-,3,7,-,-,4,4
S00135439,57.19137486,-2.119825943,92,85,-,-,-,2,-,-,-,2,-,-,5,-
S00135440,57.18884814,-2.102395966,131,115,1,-,-,-,-,-,1,3,1,-,1,-
S00135441,57.19000292,-2.107197339,127,117,-,1,-,-,3,1,1,1,3,1,-,-
S00135442,57.19074936,-2.125614927,67,65,-,-,-,-,1,-,-,1,-,-,-,-
S00135443,57.19108688,-2.110625488,99,85,-,-,-,-,-,-,2,5,-,5,-,2
S00135444,57.19018507,-2.13274412,99,83,-,-,-,-,-,1,-,8,2,1,-,3
S00135445,57.18991775,-2.11214416,141,124,-,-,-,-,-,1,3,3,2,2,1,3
S00135446,57.19059744,-2.11545536,159,150,-,-,-,-,1,-,1,2,-,-,4,-
S00135447,57.19011029,-2.17850864,137,119,-,-,-,1,1,-,-,4,4,1,-,7
S00135448,57.18930448,-2.132989132,170,150,-,-,-,-,-,2,1,9,-,-,1,2
S00135449,57.19062527,-2.12394339,98,98,-,-,-,-,-,-,1,-,-,-,-,-
S00135450,57.18976085,-2.116726734,92,92,-,-,-,-,-,-,-,-,-,-,-,-
S00135451,57.18934646,-2.117982853,70,60,-,1,-,-,-,1,-,4,4,2,-,1
S00135452,57.19067095,-2.182167955,64,61,-,-,-,-,-,-,-,1,-,-,-,-
S00135453,57.18965211,-2.184743998,110,86,-,-,-,-,-,2,-,9,-,2,3,6
S00135454,57.18853152,-2.176929261,123,100,-,-,-,-,-,4,2,5,6,7,1,-
S00135455,57.18976664,-2.110340262,106,98,-,1,1,-,-,2,1,3,-,-,-,-
S00135456,57.18996084,-2.182478818,89,77,-,-,1,-,-,1,-,5,1,4,-,-
S00135457,57.19006487,-2.108289518,69,63,-,-,-,1,-,2,-,1,-,-,-,-
S00135458,57.18927394,-2.118677516,79,73,-,-,-,-,1,-,-,-,-,2,2,-
S00135459,57.18916263,-2.122333612,121,114,-,-,-,-,-,-,1,3,-,-,3,-
S00135460,57.18910725,-2.123839026,121,104,-,-,-,-,-,1,-,11,2,2,1,-
S00135461,57.18969155,-2.113946908,135,120,-,-,-,2,1,-,1,11,4,-,-,-
S00135462,57.1881767,-2.12909709,159,147,-,-,-,-,-,-,1,3,2,-,5,4
S00135463,57.18892418,-2.108120723,149,135,-,-,-,1,-,1,-,7,3,1,1,-
S00135464,57.18798772,-2.180318287,109,100,-,-,-,-,-,-,-,2,1,4,1,-
S00135465,57.18665674,-2.181354063,106,101,-,-,-,-,-,-,-,1,-,-,-,-
S00135466,57.18812003,-2.113396088,101,94,-,-,-,-,1,1,-,5,-,-,-,-
S00135467,57.18898059,-2.124748574,95,89,-,-,1,-,1,-,-,-,1,2,-,1
S00135468,57.188028,-2.206607789,69,62,-,-,-,-,-,-,-,3,1,-,-,3
S00135469,57.18772983,-2.107670528,121,115,-,-,-,-,-,-,-,-,-,-,-,-
S00135470,57.18797103,-2.128186423,137,125,-,-,-,-,2,2,2,3,4,-,-,-
S00135471,57.18782565,-2.120807095,154,142,-,-,-,-,1,-,-,9,3,-,-,-
