Scotland's Census 2022 - National Records of Scotland
Table UV801 - Year of arrival in UK
All people
,"All people","Born in the UK","Arrived before 1941","Arrived 1941 - 1950","Arrived 1951 - 1960","Arrived 1961 - 1970","Arrived 1971 - 1980","Arrived 1981 - 1990","Arrived 1991 - 2000","Arrived 2001 - 2010","Arrived 2011 - 2013","Arrived 2014 - 2016","Arrived 2017 - 2019","Arrived 2020 - 2022"
"S00135307",144,123,-,1,-,1,1,4,2,7,-,1,-,8
"S00135308",65,57,-,-,-,-,-,2,-,-,-,-,-,7
"S00135309",156,142,1,-,2,1,-,4,4,-,-,-,-,-
"S00135310",153,137,-,-,-,-,-,-,2,5,2,-,4,2
"S00135311",151,131,-,-,-,-,-,3,3,16,1,1,1,2
"S00135312",187,160,-,-,-,-,-,-,3,14,3,5,1,-
"S00135313",181,177,-,-,-,1,-,2,-,-,2,-,-,-
"S00135314",173,154,-,-,-,-,-,-,4,3,-,9,1,1
"S00135315",108,98,-,-,-,1,-,-,-,8,-,-,1,2
"S00135316",130,110,-,-,-,-,-,1,-,3,3,-,3,6
"S00135317",156,137,-,-,-,1,-,1,1,4,9,1,-,-
"S00135318",85,78,-,-,-,-,-,-,-,4,-,-,1,-
"S00135319",141,118,-,-,-,4,-,-,-,7,2,3,1,4
"S00135320",127,119,-,-,-,-,-,-,1,5,4,1,-,1
"S00135321",84,80,-,-,-,-,-,1,-,2,-,-,1,-
"S00135322",151,133,-,-,1,1,-,-,1,11,3,-,2,-
"S00135323",108,108,-,-,-,-,-,1,2,1,-,2,-,-
"S00135324",60,50,-,-,-,-,-,-,-,2,4,-,4,2
"S00135325",77,69,-,-,-,-,-,1,1,5,-,1,-,-
"S00135326",84,78,-,-,-,1,-,3,-,-,-,2,-,-
"S00135327",95,89,-,-,-,1,-,-,1,3,-,-,-,-
"S00135328",117,103,-,-,-,-,2,-,-,3,-,4,3,4
"S00135329",123,103,-,-,-,1,4,1,1,8,1,1,-,5
"S00135330",105,97,-,-,-,-,2,-,-,1,4,-,2,-
"S00135331",66,59,-,-,-,1,-,-,-,4,1,1,-,-
"S00135332",93,89,-,-,-,1,1,-,-,2,-,-,-,-
