OA_Code,Latitude,Longitude,All People (16+),UK Armed Forces veteran,Not a UK Armed Forces veteran
S00135307,57.21753245,-2.214670898,118,6,112
S00135308,57.21356117,-2.274944788,52,2,47
S00135309,57.20797945,-2.093940583,147,4,143
S00135310,57.21110475,-2.189850876,132,2,129
S00135311,57.19734739,-2.167786936,118,3,115
S00135312,57.21250838,-2.188334985,132,4,130
S00135313,57.21223398,-2.185601947,154,7,147
S00135314,57.21260434,-2.190222808,138,4,134
S00135315,57.21245052,-2.184957372,89,4,87
S00135316,57.20089983,-2.190046689,111,12,100
S00135317,57.2109837,-2.180579552,136,3,130
S00135318,57.21075956,-2.186422274,69,3,66
S00135319,57.20927222,-2.183832333,113,2,108
S00135320,57.20962833,-2.186002708,101,4,97
S00135321,57.21035289,-2.181967049,72,5,67
S00135322,57.2090498,-2.17606742,121,7,114
S00135323,57.21018605,-2.179300958,100,6,93
S00135324,57.20989339,-2.182908382,53,-,52
S00135325,57.20945378,-2.188600829,64,2,62
S00135326,57.20943149,-2.179297295,71,5,66
S00135327,57.20887539,-2.18490636,78,3,76
S00135328,57.20906858,-2.181795181,106,1,104
S00135329,57.20859646,-2.179028381,101,5,95
S00135330,57.20784822,-2.187003502,95,3,92
S00135331,57.20886028,-2.176695564,54,4,50
S00135332,57.20791551,-2.184024222,76,8,68
S00135333,57.20756114,-2.174272568,82,1,80
S00135334,57.20799562,-2.178313668,58,4,54
S00135335,57.20775916,-2.180348592,99,4,95
S00135336,57.20743469,-2.187216601,63,1,62
S00135337,57.20737815,-2.176655366,130,8,122
S00135338,57.20685507,-2.184333445,124,9,116
S00135339,57.20631525,-2.190902187,108,7,101
S00135340,57.20477365,-2.176262213,105,5,100
S00135341,57.20714636,-2.181702955,70,7,63
S00135342,57.20656226,-2.187940504,80,5,75
S00135343,57.20487113,-2.10550256,124,2,122
S00135344,57.2053591,-2.187570232,105,5,98
S00135345,57.19914751,-2.096201927,139,4,130
S00135346,57.20514946,-2.183546979,118,9,109
S00135347,57.20416366,-2.102885361,68,3,69
S00135348,57.20370717,-2.186949436,110,7,103
S00135349,57.20358791,-2.188603984,107,8,99
S00135350,57.20388358,-2.10482112,99,-,97
S00135351,57.20188564,-2.09834411,151,-,149
S00135352,57.20312674,-2.184612764,139,8,134
S00135353,57.20271854,-2.10149104,142,-,141
S00135354,57.20341173,-2.099622637,72,5,67
S00135355,57.2031507,-2.100283984,90,3,87
S00135356,57.20282959,-2.191082789,111,1,109
S00135357,57.20232941,-2.104965664,164,1,163
S00135358,57.20034385,-2.17711823,116,4,113
S00135359,57.20300334,-2.176733751,111,3,110
S00135360,57.2034295,-2.173905494,119,2,117
S00135361,57.20293795,-2.178504419,96,3,94
S00135362,57.2023108,-2.183582528,113,6,107
S00135363,57.20239715,-2.099007512,117,1,116
S00135364,57.20113892,-2.186357175,148,7,141
S00135365,57.20102183,-2.180431553,101,6,95
S00135366,57.18949571,-2.274980913,100,4,96
S00135367,57.20129824,-2.181856245,73,4,71
S00135368,57.20155088,-2.121547132,102,-,102
S00135369,57.20109633,-2.096819372,102,2,100
S00135370,57.20125016,-2.125882359,59,3,56
S00135371,57.20035336,-2.124389797,125,4,121
S00135372,57.20098527,-2.121214263,104,-,103
S00135373,57.20038465,-2.12897427,192,6,186
S00135374,57.20065339,-2.100343398,114,2,113
S00135375,57.1995019,-2.181681906,78,2,76
S00135376,57.19985567,-2.18547356,56,5,53
S00135377,57.2002608,-2.127103687,103,1,102
S00135378,57.2006026,-2.096387773,92,1,90
S00135379,57.19992386,-2.102708042,54,-,54
S00135380,57.20004768,-2.105041924,113,4,112
S00135381,57.20005842,-2.122866211,105,2,104
S00135382,57.20009183,-2.125415012,84,2,84
S00135383,57.19936983,-2.179827699,110,2,108
S00135384,57.19849027,-2.098119922,51,1,50
S00135385,57.19807339,-2.181840372,61,-,61
S00135386,57.19947642,-2.100604992,109,5,100
S00135387,57.19881829,-2.103515884,151,6,145
S00135388,57.19310185,-2.178341075,149,-,144
S00135389,57.19859498,-2.13097048,116,4,111
S00135390,57.19862073,-2.123291708,72,4,68
S00135391,57.19775695,-2.124728577,156,1,155
S00135392,57.19815982,-2.126086961,59,2,56
S00135393,57.19829765,-2.182056615,162,5,157
S00135394,57.19703995,-2.103179925,131,5,126
S00135395,57.19734625,-2.102105116,64,1,63
S00135396,57.19731061,-2.130783889,110,6,104
S00135397,57.1899883,-2.131932687,86,2,84
S00135398,57.1965936,-2.09972007,105,1,104
S00135399,57.19153523,-2.12119979,213,9,204
S00135400,57.17961507,-2.209538129,141,8,132
S00135401,57.1967276,-2.129937854,88,3,84
S00135402,57.19620493,-2.102697694,68,5,63
S00135403,57.19593605,-2.130944502,107,2,105
S00135404,57.19543162,-2.132266541,71,1,70
S00135405,57.19441126,-2.099068826,145,2,144
S00135406,57.1943644,-2.121672402,157,8,146
S00135407,57.1947352,-2.119075661,120,1,119
S00135408,57.19499626,-2.097663846,132,8,124
S00135409,57.19537391,-2.127268892,62,-,65
S00135410,57.19442937,-2.128572882,99,-,99
S00135411,57.19464343,-2.130062901,161,4,158
S00135412,57.1948369,-2.115998139,97,4,90
S00135413,57.19423875,-2.101368439,126,1,121
S00135414,57.19428455,-2.120646205,84,-,84
S00135415,57.19438685,-2.126223006,87,5,82
S00135416,57.19364423,-2.113743995,162,2,160
S00135417,57.19432681,-2.132179848,98,1,94
S00135418,57.19214253,-2.177029281,129,2,127
S00135419,57.19271604,-2.106890831,69,3,69
S00135420,57.1934796,-2.095773479,129,6,123
S00135421,57.19340529,-2.12860241,102,-,102
S00135422,57.19354601,-2.131498626,92,5,87
S00135423,57.19351622,-2.116192554,150,5,145
S00135424,57.19089403,-2.183194897,104,9,95
S00135425,57.19208494,-2.179626785,102,1,96
S00135426,57.19274317,-2.116752708,118,4,113
S00135427,57.19235674,-2.126182974,118,2,116
S00135428,57.19261503,-2.109438712,55,1,54
S00135429,57.19180363,-2.102271794,74,4,70
S00135430,57.19187949,-2.118156409,98,5,93
S00135431,57.19077223,-2.100250354,86,2,84
S00135432,57.19224373,-2.13126234,105,5,102
S00135433,57.19192681,-2.115575341,110,8,102
S00135434,57.19202069,-2.129788925,103,8,95
S00135435,57.19117857,-2.127568809,71,1,69
S00135436,57.19170847,-2.097704786,90,10,85
S00135437,57.18798413,-2.176529571,102,3,98
S00135438,57.18420372,-2.199539162,66,-,66
S00135439,57.19137486,-2.119825943,80,7,75
S00135440,57.18884814,-2.102395966,113,2,107
S00135441,57.19000292,-2.107197339,110,2,108
S00135442,57.19074936,-2.125614927,67,6,61
S00135443,57.19108688,-2.110625488,84,7,80
S00135444,57.19018507,-2.13274412,71,2,69
S00135445,57.18991775,-2.11214416,120,6,114
S00135446,57.19059744,-2.11545536,129,6,123
S00135447,57.19011029,-2.17850864,111,1,106
S00135448,57.18930448,-2.132989132,109,1,108
S00135449,57.19062527,-2.12394339,95,13,82
S00135450,57.18976085,-2.116726734,85,10,75
S00135451,57.18934646,-2.117982853,68,3,65
S00135452,57.19067095,-2.182167955,57,2,52
S00135453,57.18965211,-2.184743998,93,5,88
S00135454,57.18853152,-2.176929261,95,-,98
S00135455,57.18976664,-2.110340262,95,3,94
S00135456,57.18996084,-2.182478818,72,1,71
S00135457,57.19006487,-2.108289518,61,5,53
S00135458,57.18927394,-2.118677516,65,1,64
S00135459,57.18916263,-2.122333612,113,8,105
S00135460,57.18910725,-2.123839026,106,6,100
S00135461,57.18969155,-2.113946908,104,4,100
S00135462,57.1881767,-2.12909709,132,6,126
S00135463,57.18892418,-2.108120723,129,4,125
S00135464,57.18798772,-2.180318287,91,3,85
S00135465,57.18665674,-2.181354063,96,2,91
S00135466,57.18812003,-2.113396088,87,4,86
S00135467,57.18898059,-2.124748574,80,5,75
S00135468,57.188028,-2.206607789,68,-,68
S00135469,57.18772983,-2.107670528,113,4,110
S00135470,57.18797103,-2.128186423,112,4,108
S00135471,57.18782565,-2.120807095,124,2,122
S00135472,57.1881077,-2.117035856,130,11,115
S00135473,57.18763547,-2.112815548,103,-,102
S00135474,57.18810244,-2.131396526,89,3,86
S00135475,57.18736261,-2.116504079,81,5,76
S00135476,57.18739745,-2.107686103,90,3,93
S00135477,57.18677179,-2.205757024,94,-,92
S00135478,57.18287651,-2.110567811,91,8,79
S00135479,57.18691496,-2.124294909,111,-,111
S00135480,57.18369305,-2.13020632,109,4,106
S00135481,57.18611602,-2.114283294,114,6,108
S00135482,57.18634678,-2.11731152,66,1,65
S00135483,57.18619846,-2.112529915,100,6,94
S00135484,57.18562766,-2.127020249,74,5,70
S00135485,57.18504671,-2.114660479,142,5,131
S00135486,57.18631728,-2.129040961,88,2,86
S00135487,57.16014414,-2.251237615,144,3,138
S00135488,57.18634429,-2.119941974,93,1,91
S00135489,57.18455749,-2.202998561,100,1,100
S00135490,57.18619057,-2.100684594,117,2,115
S00135491,57.18474998,-2.176729186,112,4,108
S00135492,57.18526548,-2.120831809,111,3,108
S00135493,57.18470778,-2.204488264,127,5,122
S00135494,57.18495994,-2.100648152,87,3,85
S00135495,57.18495849,-2.102434809,82,-,80
S00135496,57.18524099,-2.118250976,87,3,84
S00135497,57.18468582,-2.125660481,185,6,175
S00135498,57.18465217,-2.176017368,117,-,117
S00135499,57.18463104,-2.117306071,110,4,108
S00135500,57.18191302,-2.193836411,82,1,81
S00135501,57.18475067,-2.1407149,121,5,114
S00135502,57.18426646,-2.175618502,114,4,109
S00135503,57.18448369,-2.100828826,77,4,73
S00135504,57.18348103,-2.143389951,137,5,132
S00135505,57.18106319,-2.11901505,122,1,124
S00135506,57.18409224,-2.134972047,74,1,77
S00135507,57.18310987,-2.088170191,132,3,130
S00135508,57.18419626,-2.180762992,61,6,55
S00135509,57.18382112,-2.136476439,102,3,99
S00135510,57.18364059,-2.14524334,100,6,94
S00135511,57.18387081,-2.132026641,116,1,110
S00135512,57.18404133,-2.113879848,110,4,106
S00135513,57.18243012,-2.184525945,97,8,85
S00135514,57.18347665,-2.181437717,96,2,97
S00135515,57.18340717,-2.0990393,143,4,138
S00135516,57.18358936,-2.20173601,108,1,110
S00135517,57.18357045,-2.178675569,101,4,92
