Scotland's Census 2022 - National Records of Scotland
Table UV104 - Marital and civil partnership status
All people aged 16 and over
,"All people aged 16 and over","Never married and never registered in a civil partnership","Married or in a registered civil partnership","Separated, but still legally married or still legally in a civil partnership","Divorced or civil partnership dissolved","Widowed or surviving civil partnership partner"
"S00135307",118,26,68,5,10,9
"S00135308",52,4,35,1,6,6
"S00135309",147,45,74,3,10,19
"S00135310",132,53,63,3,4,8
"S00135311",118,45,56,-,12,5
"S00135312",132,47,69,4,9,3
"S00135313",154,55,64,4,14,18
"S00135314",138,44,65,5,20,6
"S00135315",89,34,37,1,8,10
"S00135316",111,32,54,4,11,10
"S00135317",136,42,58,5,10,17
"S00135318",69,21,34,2,8,4
"S00135319",113,37,45,3,13,17
"S00135320",101,31,50,1,8,7
"S00135321",72,27,22,3,7,6
"S00135322",121,40,54,7,14,1
"S00135323",100,31,52,4,7,9
"S00135324",53,19,20,3,8,3
"S00135325",64,15,40,-,5,4
"S00135326",71,18,29,2,11,12
"S00135327",78,20,45,-,8,7
"S00135328",106,21,63,3,4,15
"S00135329",101,28,52,3,11,5
"S00135330",95,32,39,2,11,11
"S00135331",54,8,32,5,-,7
"S00135332",76,16,37,5,8,9
"S00135333",82,38,34,2,4,7
"S00135334",58,13,37,2,3,3
"S00135335",99,30,46,2,8,13
"S00135336",63,26,24,-,6,7
"S00135337",130,35,76,4,9,6
"S00135338",124,41,40,3,19,21
"S00135339",108,50,24,3,10,21
"S00135340",105,30,54,2,10,12
"S00135341",70,26,30,2,7,9
"S00135342",80,20,45,-,6,12
"S00135343",124,45,70,3,4,2
"S00135344",105,39,46,8,11,4
"S00135345",139,51,56,7,14,7
"S00135346",118,17,81,3,5,12
"S00135347",68,24,42,2,3,3
"S00135348",110,26,70,2,7,10
"S00135349",107,27,62,5,9,6
"S00135350",99,43,45,-,11,-
"S00135351",151,53,80,4,12,-
"S00135352",139,36,86,2,5,12
"S00135353",142,36,95,2,8,1
"S00135354",72,30,34,-,5,-
"S00135355",90,32,48,1,8,-
"S00135356",111,59,31,3,19,1
"S00135357",164,47,105,4,5,5
"S00135358",116,49,53,3,10,1
"S00135359",111,27,75,2,4,5
"S00135360",119,53,45,5,10,6
"S00135361",96,23,59,2,4,10
"S00135362",113,28,61,-,7,17
"S00135363",117,50,60,-,5,2
"S00135364",148,23,98,1,9,14
"S00135365",101,13,71,2,4,7
"S00135366",100,22,59,2,6,11
"S00135367",73,13,42,1,7,7
"S00135368",102,30,62,2,7,2
"S00135369",102,45,49,-,3,4
"S00135370",59,15,36,2,2,2
"S00135371",125,49,62,4,7,3
"S00135372",104,35,57,1,8,1
"S00135373",192,66,101,5,15,7
"S00135374",114,43,58,3,6,3
"S00135375",78,40,27,5,5,-
"S00135376",56,16,30,2,6,5
"S00135377",103,35,61,5,2,2
"S00135378",92,28,58,-,4,-
"S00135379",54,9,40,-,-,7
"S00135380",113,39,72,1,3,5
"S00135381",105,50,46,-,5,3
"S00135382",84,33,46,1,1,3
"S00135383",110,36,66,2,3,1
"S00135384",51,24,26,-,1,-
"S00135385",61,39,6,4,9,-
"S00135386",109,29,38,3,7,24
"S00135387",151,28,108,-,4,10
"S00135388",149,34,93,-,10,9
"S00135389",116,22,82,-,2,8
"S00135390",72,36,24,-,7,5
"S00135391",156,55,81,1,15,3
"S00135392",59,36,13,-,5,4
"S00135393",162,120,20,14,11,-
"S00135394",131,37,80,1,6,1
