Scotland's Census 2022 - National Records of Scotland
Table UV110 - Adult lifestage
All people aged 16 and over in households
,"All people aged 16 and over in households","Aged 16 to 24: Total","Aged 16 to 24: No dependent children in household","Aged 16 to 24: In household with dependent children","Aged 25 to 34: Total","Aged 25 to 34: No dependent children in household","Aged 25 to 34: Youngest dependent child in household aged 0 to 4","Aged 25 to 34: Youngest dependent child in household aged 5 to 10","Aged 25 to 34: Youngest dependent child in household aged 11 to 15","Aged 25 to 34: Youngest dependent child in household aged 16 to 18","Aged 35 to 54: Total","Aged 35 to 54: No dependent children in household","Aged 35 to 54: Youngest dependent child in household aged 0 to 4","Aged 35 to 54: Youngest dependent child in household aged 5 to 10","Aged 35 to 54: Youngest dependent child in household aged 11 to 15","Aged 35 to 54: Youngest dependent child in household aged 16 to 18","Aged 55 to 64: Total","Aged 55 to 64: One person household","Aged 55 to 64: Two or more person household: No dependent children","Aged 55 to 64: Dependent children in household","Aged 65 to 74: Total","Aged 65 to 74: One person household","Aged 65 to 74: Two or more person household: No dependent children","Aged 65 to 74: Dependent children in household","Aged 75 and over: Total","Aged 75 and over: One person household","Aged 75 and over: Two or more person household"
"S00135307",118,10,1,6,10,8,2,-,-,-,38,18,8,5,7,-,26,8,15,3,23,2,16,6,11,4,8
"S00135308",52,1,-,1,4,2,2,-,-,-,21,10,6,3,-,2,16,2,13,1,3,-,3,-,7,2,4
"S00135309",134,15,8,3,14,10,1,-,-,-,37,26,3,2,6,-,33,5,28,2,27,5,19,4,12,4,8
"S00135310",127,26,19,7,15,12,4,2,-,-,51,28,1,10,6,6,18,6,11,1,11,2,10,-,9,6,2
"S00135311",118,8,6,2,23,17,5,-,-,-,57,24,15,14,4,-,20,1,13,6,11,3,5,-,2,2,-
"S00135312",132,20,7,17,21,7,14,-,-,-,65,22,9,13,12,5,16,-,12,4,7,-,7,-,3,1,2
"S00135313",120,14,8,6,12,10,3,2,1,-,35,20,2,4,8,1,14,2,9,3,22,5,15,4,20,6,14
"S00135314",138,18,10,5,23,22,3,4,-,-,67,24,4,22,11,6,18,5,12,2,9,5,5,-,3,-,2
"S00135315",89,5,7,4,19,11,6,-,-,-,21,8,3,4,4,4,13,3,7,2,14,4,10,-,15,8,9
"S00135316",110,6,3,3,14,7,5,-,-,-,33,19,4,6,4,-,17,6,11,-,13,6,9,2,27,6,21
"S00135317",136,13,10,5,17,9,5,-,-,-,45,30,2,5,6,-,15,3,12,-,23,3,19,1,21,3,16
"S00135318",69,8,3,2,11,3,4,3,-,-,30,15,3,2,4,4,9,1,9,-,12,3,8,-,4,2,2
"S00135319",113,6,5,3,16,6,7,2,-,-,31,17,9,5,-,-,15,5,8,2,15,4,10,1,26,14,15
"S00135320",101,1,1,2,13,7,6,1,-,-,32,14,7,3,11,-,26,8,17,1,20,6,14,-,6,2,4
"S00135321",72,8,4,1,12,7,4,-,1,-,22,12,4,2,4,-,6,6,-,-,20,9,11,-,7,3,4
"S00135322",121,4,3,4,18,13,-,4,1,-,44,22,2,13,6,1,24,4,17,3,20,5,15,-,8,3,5
"S00135323",100,10,6,4,9,5,2,-,2,-,26,15,1,4,7,-,18,3,15,4,24,4,17,3,15,5,10
"S00135324",53,9,4,6,9,6,3,-,-,-,14,5,2,-,5,2,6,4,4,-,8,2,3,-,6,3,5
"S00135325",64,7,6,1,7,4,3,-,-,-,21,8,1,9,4,-,14,2,11,1,10,2,8,-,5,-,3
"S00135326",71,1,-,1,9,7,2,-,-,-,16,5,-,9,1,-,12,2,9,-,14,7,5,-,21,16,5
"S00135327",78,11,8,3,6,2,-,1,-,-,27,12,2,8,5,-,11,-,7,3,12,4,8,-,14,6,8
"S00135328",106,4,2,-,15,12,2,2,-,-,26,13,-,9,4,-,25,6,19,2,25,11,16,-,14,4,7
"S00135329",101,6,4,2,12,10,2,-,-,-,39,22,6,10,1,1,17,-,15,-,21,5,16,-,5,2,5
"S00135330",95,7,3,3,17,10,5,1,1,-,18,10,-,5,-,2,15,8,9,2,18,5,17,-,12,6,6
"S00135331",54,1,1,-,10,7,3,-,-,-,17,8,1,4,4,-,4,2,6,-,7,2,5,-,12,3,9
"S00135332",76,7,4,1,6,3,2,1,-,-,24,13,-,5,2,-,21,3,17,1,6,5,4,-,11,6,4
"S00135333",82,11,3,8,15,7,8,-,-,-,27,13,4,4,6,1,12,5,7,-,9,3,6,-,5,1,5
"S00135334",58,1,1,-,11,4,6,3,1,-,14,5,4,4,2,-,7,1,6,-,18,3,13,2,6,2,4
"S00135335",99,15,6,9,12,10,5,-,-,-,38,16,-,14,4,5,18,-,15,3,7,5,4,-,8,6,2
"S00135336",63,9,5,4,11,4,5,3,-,-,24,9,3,2,5,-,11,2,10,-,1,2,1,-,12,4,5
"S00135337",130,9,4,5,8,6,3,-,-,-,37,26,2,4,4,2,27,4,20,2,32,8,24,-,16,3,13
"S00135338",124,10,7,3,24,13,6,5,-,-,25,11,7,2,4,-,17,9,7,-,28,12,20,-,20,10,10
"S00135339",108,8,5,4,17,13,4,2,2,-,25,8,6,3,9,-,17,9,6,2,11,4,7,-,30,22,8
"S00135340",97,6,4,2,9,3,2,1,-,-,34,7,6,12,1,-,17,5,9,3,16,6,10,-,19,8,11
"S00135341",70,2,-,2,14,-,12,4,-,-,16,9,3,-,3,-,12,4,5,2,10,6,4,-,17,6,11
"S00135342",80,6,4,2,10,3,5,2,-,-,20,15,4,1,1,-,18,4,7,1,19,3,17,-,13,7,4
"S00135343",124,12,6,2,44,26,15,3,-,-,56,21,15,13,4,2,7,1,5,-,6,1,5,-,-,-,-
"S00135344",105,15,3,12,7,5,4,-,-,-,31,13,2,4,6,8,21,3,16,-,19,7,8,-,8,6,6
"S00135345",139,15,14,4,37,16,15,4,-,-,50,27,3,9,9,2,25,2,20,-,8,3,5,-,4,-,-
"S00135346",118,5,3,2,10,8,-,-,-,-,25,7,8,4,5,2,15,1,12,2,24,5,17,-,41,7,37
"S00135347",68,2,1,3,20,13,7,-,-,-,29,14,4,4,5,-,10,1,5,1,7,1,5,-,2,1,-
"S00135348",110,14,8,6,8,3,2,2,-,-,28,7,-,10,10,1,16,-,17,-,13,1,11,1,31,8,23
"S00135349",107,6,5,1,14,13,-,1,-,-,39,19,-,11,9,-,14,-,12,-,13,3,11,-,20,5,16
"S00135350",99,11,3,8,39,25,10,2,2,-,36,12,11,8,4,1,12,1,10,1,1,1,-,-,-,-,-
"S00135351",151,9,4,5,47,25,17,5,-,-,86,23,31,24,5,2,6,-,5,1,3,-,3,-,-,-,-
"S00135352",139,10,3,6,15,8,6,-,1,-,45,19,4,13,5,1,15,1,11,-,26,6,20,-,32,7,22
"S00135353",142,12,7,5,37,16,13,8,-,-,78,19,22,21,12,1,9,-,9,-,4,1,3,-,-,-,-
"S00135354",72,6,4,2,25,15,6,1,-,-,37,15,3,15,6,-,3,-,2,1,-,-,-,-,-,-,-
"S00135355",90,4,4,-,33,21,12,1,3,-,41,13,12,13,2,-,12,3,8,1,1,-,1,-,-,-,-
"S00135356",111,12,9,3,27,23,4,-,-,-,45,32,2,3,6,-,18,5,13,-,6,3,4,1,3,-,3
"S00135357",164,23,7,17,27,9,13,1,1,-,91,20,10,32,23,6,14,-,9,2,9,1,4,2,-,-,-
"S00135358",116,9,9,-,49,41,6,6,-,-,40,22,12,5,5,-,14,6,8,-,3,1,2,-,1,1,-
"S00135359",111,14,10,4,9,9,-,-,-,-,24,11,6,-,3,4,17,1,15,1,23,2,22,-,22,3,23
"S00135360",119,9,9,-,24,23,1,-,-,-,42,34,4,-,3,-,18,10,11,-,11,-,11,-,17,5,12
"S00135361",96,7,4,2,7,3,3,-,-,-,22,10,9,5,3,2,12,-,8,4,25,4,18,-,24,7,19
"S00135362",113,7,3,6,13,8,8,-,-,-,30,14,5,5,6,-,17,1,16,-,8,3,5,-,37,12,25
"S00135363",117,7,1,6,39,22,16,3,1,-,63,20,20,15,7,4,1,2,-,1,1,-,-,1,2,2,-
"S00135364",148,13,5,6,10,3,7,-,-,-,29,14,5,5,4,3,34,4,24,2,36,6,29,1,28,8,19
"S00135365",101,11,4,6,4,-,5,1,-,-,30,8,3,10,3,3,17,-,15,1,16,2,14,-,24,6,19
"S00135366",100,6,3,2,12,10,-,2,-,-,26,15,-,8,3,1,22,5,15,2,21,2,19,-,15,4,11
"S00135367",73,7,2,2,7,5,3,-,-,-,17,8,2,2,6,1,18,2,16,-,18,1,15,-,6,5,1
"S00135368",102,18,7,7,26,14,10,-,-,1,33,15,3,4,7,3,22,4,16,2,7,-,7,-,1,-,1
"S00135369",102,20,9,11,18,11,5,4,-,-,45,15,2,4,11,10,9,4,6,-,6,-,3,2,2,-,2
"S00135370",59,6,2,4,11,8,3,-,-,-,20,11,1,6,2,-,12,-,10,-,6,-,6,-,5,2,3
"S00135371",125,13,11,-,28,22,10,2,-,-,48,22,9,12,4,1,22,5,16,1,14,7,8,1,-,-,-
"S00135372",104,8,4,4,25,14,12,-,-,-,58,20,14,12,9,2,7,2,5,-,1,-,1,-,3,2,1
