Scotland's Census 2022 - National Records of Scotland
Table UV112 - Household composition - People
All people in households
,"All people in households","One person household: Total","One person household: Aged 66 and over","One person household: Aged under 66","One family household: Total","One family household: All aged 66 and over","One family household: Married or civil partnership couple: Total","One family household: Married or civil partnership couple: No children","One family household: Married or civil partnership couple: One dependent child","One family household: Married or civil partnership couple: Two or more dependent children","One family household: Married or civil partnership couple: All children non-dependent","One family household: Cohabiting couple: Total","One family household: Cohabiting couple: No children","One family household: Cohabiting couple: One dependent child","One family household: Cohabiting couple: Two or more dependent children","One family household: Cohabiting couple: All children non-dependent","One family household: Lone parent family: Total","One family household: Lone parent family: One dependent child","One family household: Lone parent family: Two or more dependent children","One family household: Lone parent family: All children non-dependent","Other household types: Total","Other household types: One dependent child","Other household types: Two or more dependent children","Other household types: All full-time students","Other household types: All aged 66 and over","Other household types: Other"
"S00135307",144,19,5,14,102,22,66,20,7,26,13,12,6,3,-,3,7,4,3,-,20,11,10,-,-,3
"S00135308",65,7,2,3,61,6,41,16,6,19,-,9,6,3,-,-,2,-,-,2,-,-,-,-,-,-
"S00135309",143,26,8,18,94,18,59,25,3,13,15,13,10,3,-,-,4,-,-,4,23,6,7,-,-,10
"S00135310",145,19,6,14,124,8,85,12,25,15,33,23,13,3,8,-,8,4,-,4,6,-,-,-,-,6
"S00135311",151,18,4,14,130,6,73,16,24,30,7,44,16,6,19,-,7,-,-,7,4,-,-,-,-,4
"S00135312",187,13,1,12,174,8,107,12,27,61,5,33,11,6,16,3,26,2,15,9,-,-,-,-,-,-
"S00135313",147,18,15,7,116,22,41,12,4,12,12,19,4,3,12,-,34,5,16,12,13,3,5,-,3,2
"S00135314",173,24,5,21,141,6,85,16,24,36,9,39,19,12,6,-,12,5,4,4,6,-,4,4,-,-
"S00135315",108,17,10,9,83,16,27,8,9,2,6,29,8,6,15,-,11,7,-,4,7,3,4,-,-,3
"S00135316",129,30,12,18,93,20,47,8,6,20,13,14,10,6,-,-,10,-,9,3,6,-,6,-,-,-
"S00135317",156,17,8,9,130,24,58,14,17,14,17,22,12,4,-,9,26,4,13,12,7,-,-,-,-,7
"S00135318",85,15,4,11,67,8,32,18,6,9,-,13,2,4,5,3,14,6,4,2,3,-,-,-,-,3
"S00135319",141,35,22,13,97,20,22,6,6,10,-,41,8,6,16,9,14,8,4,2,8,-,5,-,-,2
"S00135320",127,20,7,13,103,12,47,20,9,9,9,26,4,6,17,-,18,5,9,7,5,-,-,-,-,5
"S00135321",84,20,11,9,61,8,29,8,6,10,5,14,8,9,-,-,10,6,-,4,2,-,-,-,-,2
"S00135322",151,20,5,12,126,14,58,18,9,19,12,25,19,4,8,-,29,9,20,4,8,-,5,-,-,4
"S00135323",108,16,11,8,88,18,46,10,13,16,8,11,5,-,4,3,15,2,-,13,6,4,-,-,-,2
"S00135324",60,10,8,4,41,6,15,4,7,-,4,8,2,-,4,-,14,-,7,5,11,11,-,-,-,-
"S00135325",77,8,3,5,67,8,45,10,6,16,14,9,2,3,4,-,4,2,-,4,2,-,-,-,-,2
"S00135326",84,31,23,8,53,6,31,14,-,14,3,11,4,3,3,-,7,2,3,-,-,-,-,-,-,-
"S00135327",95,14,10,4,74,12,44,6,11,21,6,14,11,3,-,5,4,4,-,-,7,-,-,-,-,7
"S00135328",117,18,14,7,89,20,48,22,17,-,12,12,6,3,-,3,9,2,4,4,10,-,5,-,-,5
"S00135329",123,12,7,6,100,10,62,12,3,27,20,12,6,6,-,-,16,4,4,9,11,-,2,-,-,8
"S00135330",105,26,10,16,71,16,30,6,7,4,13,12,6,3,-,-,14,7,-,6,8,6,-,-,-,2
"S00135331",66,10,2,5,49,10,20,6,3,8,4,8,4,-,4,-,8,3,1,3,7,7,-,-,-,-
"S00135332",93,20,9,11,70,4,47,14,10,13,11,4,4,-,-,-,15,6,5,6,3,-,3,-,-,-
"S00135333",104,23,5,18,81,8,43,6,3,23,11,11,-,10,-,-,18,6,10,2,-,-,-,-,-,-
"S00135334",74,10,5,6,60,12,30,13,-,17,6,12,2,6,4,-,3,-,3,-,4,4,-,-,-,-
"S00135335",123,11,11,-,107,1,61,20,9,21,11,24,4,-,17,3,18,-,14,6,9,9,-,-,-,-
"S00135336",78,12,6,6,57,2,23,8,6,12,-,16,4,5,9,-,13,8,-,5,9,-,-,-,-,9
"S00135337",142,28,8,18,112,32,54,30,17,4,3,13,8,4,5,-,10,-,4,6,2,-,-,-,-,2
"S00135338",145,38,21,21,94,16,37,6,9,12,10,27,8,16,4,1,14,2,8,4,9,4,-,-,-,5
"S00135339",140,43,25,18,90,10,21,8,4,9,-,25,13,-,9,-,34,11,21,2,11,4,3,2,-,2
"S00135340",117,20,14,6,96,19,57,10,15,21,10,10,5,6,-,-,11,-,4,8,-,-,-,-,-,-
"S00135341",94,19,11,8,75,12,28,8,4,13,3,20,2,9,9,-,15,4,9,2,-,-,-,-,-,-
"S00135342",90,17,9,10,67,12,43,12,6,4,20,7,4,3,-,-,6,-,4,-,6,-,6,-,-,-
"S00135343",172,13,1,9,153,4,91,20,27,41,2,40,22,1,12,3,20,6,12,2,6,-,4,-,-,-
"S00135344",118,28,14,12,85,10,51,10,10,22,9,16,4,7,6,-,9,1,4,3,7,-,-,-,-,7
"S00135345",165,13,5,11,144,4,68,20,13,30,10,47,24,13,8,3,21,6,7,12,9,-,-,-,-,9
"S00135346",136,15,11,4,110,46,46,10,3,23,10,10,1,6,-,-,11,2,-,9,13,5,6,-,-,4
"S00135347",91,14,-,12,77,2,61,18,6,35,6,12,6,7,-,-,-,-,-,-,-,-,-,-,-,-
"S00135348",130,14,9,5,112,26,76,10,14,34,14,10,10,-,-,-,4,-,-,4,-,-,-,-,-,-
"S00135349",127,20,7,13,100,22,58,14,3,32,9,10,10,-,-,-,10,4,4,3,7,-,-,-,-,7
"S00135350",131,13,1,12,104,-,64,16,19,29,-,31,14,9,4,-,9,4,4,-,14,4,5,-,-,5
"S00135351",224,10,-,10,205,4,127,16,31,69,11,57,14,18,25,-,19,11,6,-,9,4,-,-,-,5
"S00135352",161,21,14,8,132,36,69,14,20,17,17,24,6,8,9,-,4,4,-,2,8,4,-,-,-,4
"S00135353",206,16,1,15,188,2,150,16,45,74,19,17,4,-,13,3,16,8,6,2,2,-,-,-,-,2
"S00135354",105,9,-,9,89,-,52,10,6,36,-,28,14,6,8,-,9,2,5,-,3,-,-,-,-,3
"S00135355",124,10,-,10,110,-,71,16,18,34,1,29,12,6,8,3,7,-,6,2,6,-,-,-,-,6
"S00135356",126,39,4,37,88,2,40,10,11,13,8,32,20,12,-,-,13,-,-,11,-,-,-,-,-,-
"S00135357",228,10,-,10,203,1,177,11,52,97,20,15,6,11,-,-,9,6,3,-,15,4,-,-,-,9
"S00135358",137,21,2,19,110,-,63,30,20,12,-,34,30,-,4,-,13,9,3,4,5,-,-,-,-,5
"S00135359",123,4,4,3,105,42,42,16,6,4,19,10,4,3,-,3,11,2,7,3,11,-,6,-,-,5
"S00135360",129,38,5,29,79,18,27,11,3,-,7,24,14,3,-,3,10,6,-,5,8,4,-,-,-,4
"S00135361",117,14,7,2,99,34,38,2,12,13,9,18,2,3,12,-,8,-,3,5,9,-,5,-,-,2
"S00135362",132,19,15,4,107,24,51,28,-,16,8,22,2,12,7,-,10,2,4,4,8,-,-,2,-,5
"S00135363",174,8,2,9,156,-,88,12,19,58,3,54,18,7,24,3,10,10,-,-,8,8,-,-,-,-
"S00135364",165,21,14,7,136,40,89,30,17,24,18,7,-,-,4,-,7,2,-,6,4,-,-,1,-,-
"S00135365",119,11,7,1,111,32,61,14,21,21,4,15,-,8,-,3,8,-,3,2,-,-,-,-,-,-
"S00135366",112,16,6,13,88,18,55,22,5,17,10,13,13,3,-,-,1,-,-,1,7,3,-,-,1,-
"S00135367",82,9,6,2,73,14,46,14,3,13,12,14,6,3,5,-,3,3,-,-,-,-,-,-,-,-
"S00135368",131,9,-,9,122,2,101,18,22,38,23,13,10,3,-,-,8,4,-,1,-,-,-,-,-,-
"S00135369",128,8,2,6,111,6,74,6,19,31,14,18,14,-,4,5,9,9,-,-,9,6,3,-,-,-
"S00135370",72,11,2,9,55,6,39,18,3,18,-,6,-,-,4,-,4,-,-,4,3,-,-,-,-,3
"S00135371",149,17,3,14,126,8,82,18,12,32,20,27,14,9,4,-,9,2,-,7,7,5,-,-,-,2
"S00135372",152,20,2,14,136,1,101,8,16,68,6,31,16,8,12,-,2,-,-,2,-,-,-,-,-,-
"S00135373",226,16,8,8,190,10,112,38,26,24,24,57,22,12,20,3,11,1,-,12,24,5,13,-,-,5
"S00135374",141,20,4,16,113,10,70,16,22,20,15,26,10,6,4,7,7,4,3,-,8,6,-,-,-,2
"S00135375",98,24,-,24,70,2,34,4,12,13,6,25,10,3,9,-,9,6,3,-,4,-,-,-,-,4
"S00135376",75,11,5,6,64,10,32,2,4,15,10,6,2,-,4,-,16,2,10,4,-,-,-,-,-,-
"S00135377",119,9,4,7,105,10,71,22,6,26,19,18,14,-,4,-,4,4,-,2,1,-,-,-,-,1
"S00135378",127,5,3,2,122,-,101,12,28,51,10,17,4,3,12,-,2,2,-,-,-,-,-,-,-,-
"S00135379",60,6,4,2,54,4,50,16,7,9,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00135380",132,7,3,4,124,8,95,24,23,24,23,12,8,-,-,9,9,-,-,9,-,-,-,-,-,-
"S00135381",133,12,4,6,96,3,59,14,23,26,-,35,23,15,-,-,-,-,-,-,25,9,5,6,-,6
