Scotland's Census 2022 - National Records of Scotland
Table UV114 - Household composition (alternative child and adult definitions) - People
All people in households
,"All people in households","One person household: Total","One person household: Person aged 66 and over","One person household: Person aged under 66","Other households: Total","Other households: No adults or one adult and one or more children","Other households: One adult aged 16 to 65 and one aged 66 and over and no children or two adults aged 66 and over and no children","Other households: Two adults and one or two children","Other households: Two adults aged 16 to 65 and no children","Other households: Two adults and three or more children","Other households: Three or more adults and one or more children","Other households: Three or more adults and no children"
"S00135307",144,19,5,14,128,7,20,10,24,17,28,22
"S00135308",65,7,2,3,61,-,8,18,22,7,-,2
"S00135309",143,26,8,18,117,-,28,14,34,-,18,23
"S00135310",145,19,6,14,128,2,10,30,32,9,4,43
"S00135311",151,18,4,14,134,-,5,57,34,16,4,17
"S00135312",187,13,1,12,174,14,8,58,26,11,34,22
"S00135313",147,18,15,7,133,9,26,31,22,5,13,23
"S00135314",173,24,5,21,145,8,6,64,42,-,8,21
"S00135315",108,17,10,9,93,4,20,26,16,15,-,12
"S00135316",129,30,12,18,99,3,20,32,17,-,10,16
"S00135317",156,17,8,9,138,8,32,16,32,11,14,25
"S00135318",85,15,4,11,70,10,10,22,18,-,-,10
"S00135319",141,35,22,13,104,10,22,20,16,15,10,9
"S00135320",127,20,7,13,108,6,22,38,18,10,-,13
"S00135321",84,20,11,9,64,6,16,13,13,5,5,10
"S00135322",151,20,5,12,134,19,22,23,28,16,5,19
"S00135323",108,16,11,8,96,2,30,17,16,-,17,14
"S00135324",60,10,8,4,49,4,6,11,10,-,8,12
"S00135325",77,8,3,5,69,2,14,29,10,-,4,14
"S00135326",84,31,23,8,53,7,8,11,16,5,5,3
"S00135327",95,14,10,4,81,4,14,25,12,5,2,14
"S00135328",117,18,14,7,98,5,24,12,32,-,13,17
"S00135329",123,12,7,6,111,10,16,22,22,8,8,29
"S00135330",105,26,10,16,79,6,26,12,12,-,4,17
"S00135331",66,10,2,5,56,5,12,18,8,-,4,9
"S00135332",93,20,9,11,73,12,8,10,24,5,8,11
"S00135333",104,23,5,18,81,4,8,23,11,15,3,17
"S00135334",74,10,5,6,64,3,16,22,8,5,4,6
"S00135335",123,11,11,-,112,7,8,26,26,5,16,24
"S00135336",78,12,6,6,66,2,4,27,12,-,9,9
"S00135337",142,28,8,18,114,4,38,16,40,-,9,4
"S00135338",145,38,21,21,103,5,20,37,16,-,9,16
"S00135339",140,43,25,18,97,36,19,15,18,10,-,4
"S00135340",117,20,14,6,96,4,16,30,16,5,4,17
"S00135341",94,19,11,8,75,13,18,17,6,13,8,3
"S00135342",90,17,9,10,73,-,16,17,10,-,6,20
"S00135343",172,13,1,9,159,18,5,76,44,-,5,8
"S00135344",118,28,14,12,90,1,12,15,14,6,8,34
"S00135345",165,13,5,11,153,15,4,49,46,-,10,29
"S00135346",136,15,11,4,121,-,54,31,12,6,4,14
"S00135347",91,14,-,12,77,-,6,24,20,5,16,6
"S00135348",130,14,9,5,112,-,38,27,12,5,17,17
"S00135349",127,20,7,13,107,7,26,30,20,-,2,19
"S00135350",131,13,1,12,114,6,-,55,34,-,14,9
"S00135351",224,10,-,10,214,14,4,109,34,25,9,23
"S00135352",161,21,14,8,138,-,40,40,20,5,17,21
"S00135353",206,16,1,15,190,10,3,113,22,15,8,22
"S00135354",105,9,-,9,92,6,-,55,24,-,4,3
"S00135355",124,10,-,10,114,8,-,56,26,5,5,10
"S00135356",126,39,4,37,88,-,6,29,34,5,-,11
"S00135357",228,10,-,10,218,9,1,100,14,10,42,44
"S00135358",137,21,2,19,115,9,4,37,62,-,-,3
"S00135359",123,4,4,3,116,5,42,11,24,-,6,28
"S00135360",129,38,5,29,87,6,21,3,35,-,4,17
"S00135361",117,14,7,2,105,-,36,32,8,5,11,15
"S00135362",132,19,15,4,113,2,32,24,20,7,12,13
"S00135363",174,8,2,9,164,10,-,53,30,32,27,9
"S00135364",165,21,14,7,144,-,48,34,30,-,4,28
"S00135365",119,11,7,1,111,3,32,36,20,-,10,14
"S00135366",112,16,6,13,93,-,30,19,24,5,-,13
"S00135367",82,9,6,2,73,-,21,10,16,5,9,15
"S00135368",131,9,-,9,122,4,4,13,28,24,19,30
"S00135369",128,8,2,6,119,8,6,29,20,5,14,37
"S00135370",72,11,2,9,59,-,8,11,22,5,8,3
"S00135371",149,17,3,14,133,-,8,53,43,-,10,23
"S00135372",152,20,2,14,136,-,4,47,24,40,12,9
"S00135373",226,16,8,8,210,-,14,62,60,-,20,51
"S00135374",141,20,4,16,121,7,12,51,26,-,4,21
"S00135375",98,24,-,24,74,9,2,27,14,5,4,9
"S00135376",75,11,5,6,64,12,10,4,8,11,5,14
"S00135377",119,9,4,7,108,-,12,26,34,-,10,26
"S00135378",127,5,3,2,122,2,8,45,8,10,25,22
"S00135379",60,6,4,2,54,-,4,7,16,5,-,26
"S00135380",132,7,3,4,124,-,18,28,18,5,4,49
"S00135381",133,12,4,6,121,-,3,50,36,6,15,12
"S00135382",101,11,3,6,96,2,12,31,20,-,10,17
"S00135383",153,8,1,12,141,-,-,45,24,28,14,24
"S00135384",61,6,-,6,54,6,-,16,12,-,4,17
"S00135385",90,30,-,30,61,30,-,26,4,-,-,-
"S00135386",113,55,32,22,58,-,20,18,12,-,-,8
"S00135387",171,15,10,4,156,2,40,31,34,4,12,32
"S00135388",200,20,6,12,180,8,18,56,26,26,34,12
"S00135389",132,14,9,4,118,-,38,26,16,-,14,22
"S00135390",85,17,1,16,72,-,2,34,16,5,-,15
"S00135391",203,19,2,17,184,12,4,73,32,8,14,44
"S00135392",70,20,4,16,50,-,2,19,20,-,-,7
"S00135393",207,84,-,82,121,54,6,25,22,-,10,6
"S00135394",152,12,4,7,141,-,26,17,36,16,14,32
"S00135395",79,3,-,3,77,2,14,22,12,6,-,21
"S00135396",133,30,7,25,102,5,20,22,16,6,20,12
"S00135397",121,4,-,4,117,-,4,69,26,7,12,3
"S00135398",129,11,-,10,114,4,10,42,16,-,2,39
"S00135399",113,20,2,18,93,4,-,46,20,10,11,3
"S00135400",162,18,3,14,144,4,22,37,52,5,-,30
"S00135401",99,11,2,10,88,3,12,18,23,-,9,21
"S00135402",80,35,3,30,48,2,6,15,12,5,-,3
"S00135403",131,21,7,14,110,-,12,22,26,19,9,24
"S00135404",86,21,5,16,63,4,-,19,14,6,4,19
"S00135405",188,21,10,11,167,20,25,46,20,5,28,28
"S00135406",172,9,5,4,163,-,28,27,46,-,8,50
"S00135407",153,9,7,5,141,4,20,47,20,10,10,29
"S00135408",152,29,18,11,123,-,28,24,22,5,21,19
"S00135409",70,15,5,8,57,2,15,12,16,-,4,9
"S00135410",111,26,6,20,86,2,6,17,34,-,13,13
"S00135411",183,40,6,33,143,-,5,39,57,4,9,24
"S00135412",113,13,6,7,100,3,38,26,8,-,7,18
"S00135413",134,8,5,3,129,2,50,16,20,6,9,26
"S00135414",89,9,5,4,80,3,24,-,10,-,13,30
"S00135415",104,9,6,1,95,-,13,22,9,10,10,34
"S00135416",199,17,12,4,179,4,30,42,30,11,24,39
"S00135417",107,37,4,33,70,5,4,11,34,5,-,10
"S00135418",178,11,2,9,167,-,10,102,30,7,4,9
"S00135419",77,43,3,40,34,-,4,8,18,-,4,-
"S00135420",142,24,14,11,122,4,44,32,26,-,6,12
"S00135421",116,16,5,14,97,3,12,27,30,-,8,18
"S00135422",109,33,7,26,76,-,6,38,20,-,4,6
"S00135423",190,11,8,3,179,-,26,48,22,15,27,37
"S00135424",115,29,15,14,86,7,22,13,18,-,14,15
"S00135425",116,33,17,16,87,2,14,17,16,10,-,24
"S00135426",141,5,2,3,136,6,30,26,28,5,14,27
"S00135427",126,24,17,5,102,4,50,7,14,-,6,22
"S00135428",75,2,1,1,73,3,4,31,19,5,-,12
"S00135429",85,9,7,2,75,-,24,17,12,5,-,21
"S00135430",113,9,4,5,104,-,33,15,10,10,10,23
"S00135431",109,13,7,6,97,8,6,18,24,10,17,13
"S00135432",117,19,10,7,100,-,40,26,22,5,-,7
"S00135433",128,18,9,8,112,9,26,25,17,-,9,21
"S00135434",111,22,21,4,86,-,44,7,18,-,4,12
"S00135435",77,15,12,2,61,-,25,8,14,-,4,7
"S00135436",109,11,6,6,95,2,24,20,26,5,10,11
"S00135437",127,21,2,19,106,7,8,49,32,10,-,2
"S00135438",82,17,9,8,66,8,10,15,16,-,13,3
"S00135439",92,20,13,6,69,-,20,11,16,11,-,14
