Scotland's Census 2022 - National Records of Scotland
Table UV202 - National Identity
All people

,"All people","Scottish identity only","British identity only","Scottish and British identities only","Scottish and any other identities","English identity only","Any other combination of UK identities (UK only)","Other identity only (1)","Other identity and at least one UK identity"
"S00135307",144,100,23,3,4,3,3,10,-
"S00135308",65,40,6,8,-,6,1,7,-
"S00135309",156,107,26,16,1,1,-,6,-
"S00135310",153,107,15,17,-,-,-,11,-
"S00135311",151,99,20,11,4,4,2,12,-
"S00135312",187,121,23,26,2,1,-,15,1
"S00135313",181,148,16,10,2,2,1,-,1
"S00135314",173,123,12,18,1,1,7,12,1
"S00135315",108,83,10,2,2,5,-,7,-
"S00135316",130,72,27,13,-,-,1,17,-
"S00135317",156,112,11,14,2,3,2,12,-
"S00135318",85,60,10,6,2,-,2,6,-
"S00135319",141,105,9,14,3,-,-,9,-
"S00135320",127,99,6,6,3,3,-,9,-
"S00135321",84,70,4,2,-,2,-,4,-
"S00135322",151,96,22,13,5,4,-,14,-
"S00135323",108,83,18,10,-,2,-,2,-
"S00135324",60,46,6,-,-,1,2,8,-
"S00135325",77,52,9,9,-,5,-,-,-
"S00135326",84,62,10,5,-,1,-,4,-
"S00135327",95,74,12,5,-,-,3,1,-
"S00135328",117,83,12,10,-,1,1,11,1
"S00135329",123,87,11,12,-,4,2,12,-
"S00135330",105,83,6,4,1,1,1,8,-
"S00135331",66,50,11,1,-,-,-,6,-
"S00135332",93,67,10,10,3,2,1,-,-
"S00135333",104,64,6,6,10,2,2,12,-
"S00135334",74,51,10,2,2,1,1,5,-
"S00135335",123,83,12,6,4,2,-,17,-
"S00135336",78,53,12,10,4,1,-,1,-
"S00135337",142,102,25,9,5,1,-,4,-
"S00135338",145,108,13,14,-,1,-,8,-
"S00135339",140,113,11,-,3,-,1,11,-
"S00135340",129,86,14,9,2,4,1,11,-
"S00135341",94,76,3,6,4,-,-,5,-
"S00135342",90,70,8,7,1,-,1,1,-
"S00135343",172,113,20,23,2,1,5,10,2
"S00135344",118,82,10,15,1,3,-,6,-
"S00135345",165,101,12,17,10,3,2,24,-
"S00135346",136,94,18,15,-,-,1,5,-
"S00135347",91,61,14,13,-,2,-,1,-
"S00135348",130,94,11,15,3,-,1,6,-
"S00135349",127,93,19,8,2,4,1,3,-
"S00135350",131,71,16,21,2,7,3,12,-
"S00135351",224,136,20,44,4,3,2,10,3
"S00135352",161,91,27,22,-,2,4,12,3
"S00135353",206,145,35,8,6,4,-,10,2
"S00135354",105,71,8,12,1,-,-,8,4
"S00135355",124,79,12,13,2,4,1,9,5
"S00135356",126,89,7,3,2,5,1,15,-
"S00135357",228,132,40,31,6,6,2,8,-
"S00135358",137,72,26,7,4,1,3,17,5
"S00135359",123,80,22,15,2,1,1,3,-
"S00135360",129,72,26,8,2,8,-,7,-
"S00135361",117,72,25,15,2,-,-,3,-
"S00135362",132,81,20,22,3,-,-,7,-
"S00135363",174,108,16,18,10,-,-,17,-
"S00135364",165,105,20,24,1,3,-,8,-
"S00135365",119,74,16,11,-,4,2,13,4
"S00135366",112,60,22,11,3,1,1,1,6
"S00135367",82,63,4,9,-,-,1,2,-
"S00135368",131,95,11,7,3,3,4,8,1
"S00135369",128,88,21,6,4,3,-,6,-
"S00135370",72,44,12,5,2,2,-,3,-
"S00135371",149,116,18,12,-,-,1,3,-
"S00135372",152,98,21,8,4,2,8,7,5
