Scotland's Census 2022 - National Records of Scotland
Table UV205 - Religion
All people

,"All people","Church of Scotland","Roman Catholic","Other Christian","Buddhist","Hindu","Jewish","Muslim","Sikh","Pagan","Other religion","No religion","Religion not stated"
"S00135307",144,41,2,2,-,-,-,-,-,-,-,82,17
"S00135308",65,16,-,3,-,-,-,-,-,1,-,44,1
"S00135309",156,32,5,11,-,3,-,6,-,-,1,87,11
"S00135310",153,48,4,8,-,-,-,8,-,-,-,84,1
"S00135311",151,28,10,7,-,2,-,-,-,-,-,88,15
"S00135312",187,30,4,1,-,-,-,7,-,1,-,137,9
"S00135313",181,61,1,9,-,-,-,-,-,-,-,95,16
"S00135314",173,28,7,8,-,-,-,-,-,-,-,119,5
"S00135315",108,13,11,5,-,-,-,1,-,-,-,74,6
"S00135316",130,33,7,5,1,4,-,-,-,-,1,72,7
"S00135317",156,51,15,5,-,4,-,4,-,-,1,74,4
"S00135318",85,12,6,3,-,-,-,-,-,-,-,52,8
"S00135319",141,31,7,4,-,1,-,-,-,-,1,89,7
"S00135320",127,19,4,3,-,-,-,-,-,1,-,92,5
"S00135321",84,11,4,-,1,-,-,-,-,-,1,65,3
"S00135322",151,30,24,4,-,-,-,-,-,1,-,90,2
"S00135323",108,43,1,5,-,-,-,-,-,-,2,56,6
"S00135324",60,10,10,-,-,-,-,-,-,-,-,33,8
"S00135325",77,13,4,2,1,4,-,-,-,-,-,49,6
"S00135326",84,19,3,4,-,-,-,10,-,-,-,41,1
"S00135327",95,31,5,2,-,-,-,-,-,-,-,54,6
"S00135328",117,26,8,2,-,-,-,2,-,1,-,62,11
"S00135329",123,22,5,3,-,5,-,-,-,4,-,77,4
"S00135330",105,29,7,4,-,-,-,-,-,-,-,59,6
"S00135331",66,16,3,-,-,-,-,-,-,-,-,46,-
"S00135332",93,29,1,1,-,-,-,-,-,-,1,51,9
"S00135333",104,11,12,5,-,-,-,9,-,-,-,59,6
"S00135334",74,19,6,2,-,4,-,-,-,-,-,47,1
"S00135335",123,17,11,9,-,-,-,-,-,-,-,86,1
"S00135336",78,9,1,12,-,-,-,4,-,-,-,49,3
"S00135337",142,31,8,6,-,-,-,3,-,-,-,92,2
"S00135338",145,39,6,3,-,1,-,-,-,-,-,87,7
"S00135339",140,35,18,4,1,-,-,-,-,-,-,81,1
"S00135340",129,37,8,7,-,-,1,-,3,-,-,63,9
"S00135341",94,28,6,-,-,-,-,1,-,-,-,47,14
