Scotland's Census 2022 - National Records of Scotland
Table UV206 - Passports held
All people

,"All people","Europe: Total","Europe: United Kingdom","Europe: Ireland","Europe: EU member countries","Europe: Rest of Europe","Africa","Middle East and Asia","Antarctica and Oceania","No Passport","The Americas and the Caribbean"
"S00135307",144,125,120,2,1,2,-,-,-,11,8
"S00135308",65,50,50,-,-,-,-,-,-,7,7
"S00135309",156,125,122,-,2,-,-,-,-,31,-
"S00135310",153,139,130,-,8,2,1,-,-,10,-
"S00135311",151,134,123,-,11,-,1,-,1,16,-
"S00135312",187,164,150,-,14,-,1,4,-,20,-
"S00135313",181,127,126,-,1,-,-,-,-,54,-
"S00135314",173,159,146,-,12,1,-,-,-,18,-
"S00135315",108,86,83,-,3,-,-,-,-,24,-
"S00135316",130,100,93,1,6,-,4,3,-,23,-
"S00135317",156,121,107,-,10,-,-,1,-,39,-
"S00135318",85,69,71,-,2,-,-,-,-,15,1
"S00135319",141,104,93,-,10,1,-,6,-,28,1
"S00135320",127,90,80,-,9,1,-,-,-,37,-
"S00135321",84,64,60,-,3,-,-,-,-,20,-
"S00135322",151,121,105,-,16,-,-,2,-,30,-
"S00135323",108,87,86,-,2,-,-,-,-,25,-
"S00135324",60,58,45,-,10,-,-,-,-,9,-
"S00135325",77,68,63,-,5,-,-,-,1,8,-
"S00135326",84,65,65,-,-,-,-,-,-,19,-
"S00135327",95,81,83,-,1,-,-,-,-,11,-
"S00135328",117,88,83,-,5,-,-,10,-,22,-
"S00135329",123,110,100,-,5,5,1,-,-,12,-
"S00135330",105,79,74,-,5,-,-,-,-,26,-
"S00135331",66,52,46,-,6,-,-,-,-,14,-
"S00135332",93,72,69,-,3,-,-,-,-,20,-
"S00135333",104,74,64,-,12,-,-,2,-,27,2
"S00135334",74,61,58,1,5,1,-,1,-,8,-
"S00135335",123,110,88,2,21,-,-,-,-,13,-
"S00135336",78,69,69,-,-,-,-,-,-,9,-
"S00135337",142,115,109,1,5,-,-,-,-,27,-
"S00135338",145,117,109,-,6,-,-,1,-,26,1
"S00135339",140,95,87,-,7,-,-,-,-,48,1
"S00135340",129,113,106,1,4,-,1,-,2,14,-
"S00135341",94,72,64,-,8,-,-,-,-,21,-
"S00135342",90,78,77,1,-,-,-,2,-,10,-
"S00135343",172,153,150,-,4,-,-,1,-,16,-
"S00135344",118,99,99,-,-,-,-,6,-,13,-
"S00135345",165,152,130,1,21,-,1,2,-,13,1
"S00135346",136,116,115,-,-,-,-,-,-,16,4
"S00135347",91,87,86,-,1,-,-,-,-,4,-
"S00135348",130,107,107,-,-,-,4,-,-,21,-
"S00135349",127,108,108,-,-,-,-,4,-,10,-
"S00135350",131,121,110,1,10,-,-,2,-,6,-
"S00135351",224,197,192,3,-,-,4,5,-,18,-
"S00135352",161,139,131,-,8,-,-,-,-,19,2
"S00135353",206,187,179,1,6,-,-,9,-,10,-
"S00135354",105,89,83,-,6,-,-,1,-,9,1
"S00135355",124,108,98,1,8,-,1,4,-,11,-
"S00135356",126,111,96,2,7,-,-,2,-,14,-
"S00135357",228,223,215,4,4,-,-,1,-,4,-
"S00135358",137,118,108,1,8,-,10,1,1,6,2
"S00135359",123,111,111,1,2,-,1,-,-,11,-
"S00135360",129,107,103,-,4,-,-,-,-,8,3
"S00135361",117,94,89,1,4,-,-,2,-,25,-
"S00135362",132,107,97,-,10,-,-,-,-,29,-
"S00135363",174,138,128,-,10,-,2,7,-,27,-
"S00135364",165,132,128,1,3,-,-,4,-,29,-
"S00135365",119,103,95,-,8,-,-,-,-,15,1
"S00135366",112,97,94,-,1,-,5,-,-,10,-
"S00135367",82,75,77,-,-,-,-,-,-,7,-
"S00135368",131,109,105,-,1,-,7,-,-,15,-
"S00135369",128,114,108,1,5,-,-,3,-,11,-
"S00135370",72,64,62,-,2,-,-,-,-,5,-
"S00135371",149,137,137,-,-,-,-,1,-,11,-
"S00135372",152,129,119,-,10,-,-,4,-,21,-
"S00135373",226,215,210,-,4,1,-,-,-,11,-
"S00135374",141,126,117,1,8,-,2,-,-,17,-
"S00135375",98,85,73,-,11,1,-,2,-,12,-
"S00135376",75,54,54,-,-,-,-,1,-,20,-
"S00135377",119,110,102,-,7,-,-,1,-,8,-
"S00135378",127,118,105,-,13,-,4,-,-,4,4
"S00135379",60,57,50,-,4,-,2,-,-,1,-
"S00135380",132,125,124,-,1,-,-,-,-,7,-
"S00135381",133,116,109,-,11,-,-,6,1,8,-
"S00135382",101,98,92,-,6,2,-,-,-,3,-
"S00135383",153,117,114,2,1,-,19,5,-,11,-
"S00135384",61,55,58,-,1,-,-,-,-,6,-
"S00135385",90,64,53,1,6,4,-,2,-,24,1
"S00135386",113,78,74,-,5,-,-,-,-,34,1
"S00135387",171,161,153,-,8,-,-,-,-,10,-
"S00135388",200,175,164,5,4,2,5,-,-,18,-
"S00135389",132,122,120,-,1,-,-,1,-,8,2
"S00135390",85,71,71,-,-,-,-,-,-,17,-
"S00135391",203,188,176,2,10,-,-,6,-,9,-
"S00135392",70,58,54,-,4,-,-,-,-,12,-
"S00135393",207,127,107,-,20,-,4,-,-,76,-
"S00135394",152,141,134,-,9,-,-,2,-,10,-
"S00135395",79,69,69,-,-,-,5,1,-,3,-
"S00135396",133,111,110,-,1,-,1,-,-,20,-
"S00135397",121,102,102,-,-,-,6,6,-,7,-
"S00135398",129,114,111,1,-,2,1,-,-,8,3
