Scotland's Census 2022 - National Records of Scotland
Table UV208b - Gaelic language skills (2) by age (6)
All people aged 3 and over

,"All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic"
,"All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over"
"S00135307",140,22,10,10,29,33,34,3,-,-,-,-,2,1,137,22,10,10,29,31,33
"S00135308",60,7,1,4,15,22,10,-,-,-,-,-,-,-,60,7,1,4,15,22,10
"S00135309",154,7,15,14,22,53,47,-,-,-,-,-,-,-,154,7,15,14,22,53,47
"S00135310",149,14,26,16,31,39,20,-,-,-,-,-,-,-,149,14,26,16,31,39,20
"S00135311",143,25,8,23,47,30,13,-,-,-,-,-,-,-,142,25,8,23,47,29,13
"S00135312",179,46,20,21,56,24,10,4,-,-,-,4,-,-,175,46,20,21,52,24,10
"S00135313",181,21,14,12,25,26,76,6,-,-,-,-,2,2,173,21,14,12,23,25,74
"S00135314",169,31,18,23,47,38,12,5,1,-,5,-,-,-,167,30,18,19,47,38,12
"S00135315",107,18,5,19,17,17,27,-,-,-,-,-,-,-,106,18,5,19,16,17,27
"S00135316",127,16,6,14,22,29,42,4,2,-,-,1,-,2,123,14,6,14,21,29,39
"S00135317",150,16,13,17,29,31,44,6,-,-,2,1,-,1,147,16,13,15,27,31,39
"S00135318",83,11,8,11,20,18,15,-,-,-,-,-,-,-,83,11,8,11,20,18,15
"S00135319",135,23,6,16,26,20,45,9,4,-,2,1,-,3,126,16,6,14,27,20,41
"S00135320",122,21,1,13,24,34,26,6,1,-,3,-,-,2,116,20,1,11,24,34,24
"S00135321",81,9,8,12,17,11,27,6,-,-,1,-,-,4,78,9,8,11,17,10,25
"S00135322",153,32,4,18,34,34,28,2,-,-,2,-,-,-,152,32,4,17,34,34,28
"S00135323",112,10,10,9,19,23,39,-,-,-,-,-,-,-,112,10,10,9,19,23,39
"S00135324",59,6,9,9,7,13,14,-,-,-,-,-,-,-,59,6,9,9,7,13,14
"S00135325",73,9,7,7,12,19,14,1,-,-,-,-,1,-,72,9,7,7,12,18,14
"S00135326",84,13,1,9,9,15,33,6,-,-,5,-,-,2,74,13,1,6,9,14,35
"S00135327",94,16,11,6,21,16,26,1,-,-,-,-,1,-,93,16,11,6,21,16,26
"S00135328",117,11,4,15,21,30,36,2,-,-,-,2,1,-,115,11,4,15,20,29,36
"S00135329",121,23,6,12,32,24,27,2,-,-,2,-,-,-,116,23,6,11,32,24,27
"S00135330",102,7,7,17,11,26,36,3,-,-,-,-,1,1,100,7,7,17,11,25,36
"S00135331",64,10,1,10,14,10,19,-,-,-,-,-,-,-,64,10,1,10,14,10,19
"S00135332",91,15,7,6,20,26,18,2,-,-,-,2,-,-,89,15,7,6,18,26,18
"S00135333",97,15,11,15,24,15,17,3,-,-,-,3,-,-,94,15,11,15,21,15,17
"S00135334",69,11,1,11,13,8,24,1,-,1,-,-,-,-,65,11,2,11,13,8,24
"S00135335",121,22,15,12,28,36,17,1,-,-,1,-,-,-,119,22,15,11,23,36,17
"S00135336",75,12,9,11,14,18,12,-,-,-,-,-,-,-,75,12,9,11,14,18,12
"S00135337",143,9,9,8,23,41,48,1,-,-,-,-,1,-,138,9,9,8,23,40,48
"S00135338",141,17,10,24,20,22,48,2,-,1,-,1,-,-,136,17,9,22,19,22,48
"S00135339",140,32,8,17,19,23,41,3,-,-,-,1,2,-,134,32,8,17,18,21,41
"S00135340",126,21,10,9,23,24,35,4,-,-,-,-,-,2,122,20,12,9,23,24,33
"S00135341",87,17,2,14,12,15,27,6,-,-,2,1,2,2,81,17,2,13,11,13,25
"S00135342",87,7,6,10,9,28,30,-,-,-,-,-,-,-,87,7,6,10,9,28,30
"S00135343",167,43,12,44,42,21,6,6,2,-,5,1,-,-,161,42,12,40,41,21,6
"S00135344",116,14,15,7,23,29,31,3,-,-,-,-,4,1,113,14,15,7,23,27,30
"S00135345",165,30,15,37,32,40,11,3,2,-,1,-,-,-,162,28,15,36,32,40,11
"S00135346",134,16,5,10,22,18,63,2,-,-,2,-,-,-,132,16,5,8,22,18,63
"S00135347",90,17,2,20,24,13,9,-,-,-,-,-,-,-,89,17,2,20,23,13,9
"S00135348",128,19,14,8,16,28,44,1,-,-,-,1,-,-,128,19,14,8,15,28,44
"S00135349",127,20,6,14,26,27,34,2,-,-,-,2,-,-,128,20,6,14,25,27,33
"S00135350",122,26,11,39,33,15,1,3,-,-,3,-,-,-,119,26,11,36,33,15,1
"S00135351",206,55,9,47,78,14,3,5,3,-,-,2,-,-,201,52,9,47,76,14,3
"S00135352",157,18,10,15,28,31,55,4,-,1,-,2,-,-,154,18,8,15,27,31,55
"S00135353",192,50,12,37,72,17,4,4,1,-,-,4,1,-,186,49,12,37,68,16,4
"S00135354",97,25,6,25,35,5,-,-,-,-,-,-,-,-,97,25,6,25,35,5,-
"S00135355",115,25,4,33,35,17,1,-,-,-,-,-,-,-,115,25,4,33,35,17,1
"S00135356",122,12,12,27,30,33,12,2,-,-,-,2,-,-,120,12,12,27,28,33,12
"S00135357",220,56,23,27,77,24,9,3,1,-,1,-,-,-,217,55,23,25,76,24,9
"S00135358",129,16,9,49,35,19,4,1,-,-,-,1,-,-,131,16,9,49,34,19,4
"S00135359",122,9,14,9,15,26,49,2,-,-,-,-,-,2,121,9,14,9,15,26,48
