Scotland's Census 2022 - National Records of Scotland
Table UV209 - Scots language skills
All people aged 3 and over

,"All people aged 3 and over","Understands but does not speak, read or write Scots","Speaks, reads and writes Scots","Speaks but does not read or write Scots","Speaks and reads but does not write Scots","Reads but does not speak or write Scots","Other combination of skills in Scots","No skills in Scots"
"S00135307",140,19,40,5,14,5,-,60
"S00135308",60,6,20,1,6,2,-,22
"S00135309",154,22,37,10,27,7,-,55
"S00135310",149,21,42,5,15,1,-,71
"S00135311",143,20,37,7,6,7,-,66
"S00135312",179,34,37,7,5,7,-,86
"S00135313",181,33,55,13,16,9,1,51
"S00135314",169,24,36,11,7,5,-,79
"S00135315",107,5,27,5,4,-,-,66
"S00135316",127,18,31,12,4,1,-,65
"S00135317",150,22,54,10,15,7,-,43
"S00135318",83,17,17,11,3,7,-,27
"S00135319",135,22,51,16,4,2,1,38
"S00135320",122,22,50,15,3,2,1,29
"S00135321",81,13,18,6,6,3,-,35
"S00135322",153,25,44,6,10,1,-,67
"S00135323",112,24,38,7,5,1,1,34
"S00135324",59,5,24,2,3,-,-,24
"S00135325",73,14,24,5,1,3,1,27
"S00135326",84,12,20,5,6,2,-,38
"S00135327",94,15,26,11,2,1,-,39
"S00135328",117,11,38,14,8,1,-,45
"S00135329",121,21,30,3,2,1,1,63
"S00135330",102,17,45,2,6,2,1,30
"S00135331",64,7,23,5,6,3,-,16
"S00135332",91,11,36,3,4,4,-,35
"S00135333",97,19,25,5,2,2,2,42
"S00135334",69,17,12,2,1,1,-,37
"S00135335",121,31,31,10,3,2,-,46
"S00135336",75,8,23,7,1,3,-,33
"S00135337",143,22,47,9,5,2,-,49
"S00135338",141,18,44,7,3,6,-,65
"S00135339",140,13,51,7,6,5,-,57
"S00135340",126,11,37,9,4,3,-,60
"S00135341",87,10,25,5,4,3,-,42
"S00135342",87,18,30,5,12,1,1,21
"S00135343",167,28,26,7,3,6,-,97
"S00135344",116,17,33,9,10,4,-,43
"S00135345",165,29,31,5,5,1,-,92
"S00135346",134,33,46,8,8,6,-,33
"S00135347",90,13,25,4,4,2,-,46
"S00135348",128,16,38,8,6,3,-,55
"S00135349",127,22,25,17,10,-,1,52
"S00135350",122,23,27,6,-,2,-,63
"S00135351",206,49,28,10,8,7,1,102
"S00135352",157,29,33,16,12,4,-,70
"S00135353",192,43,32,7,7,5,-,98
"S00135354",97,15,19,4,2,3,-,51
"S00135355",115,20,30,-,4,3,-,57
"S00135356",122,18,50,6,3,1,-,43
"S00135357",220,22,41,7,8,8,-,132
"S00135358",129,16,22,-,9,1,-,84
"S00135359",122,19,37,21,8,1,1,36
"S00135360",123,23,34,4,11,3,3,43
"S00135361",112,17,29,10,10,4,-,41
"S00135362",125,22,26,4,16,6,1,54
"S00135363",160,43,22,10,6,2,-,76
"S00135364",163,18,40,9,18,3,-,80
"S00135365",115,21,40,7,7,1,1,41
"S00135366",112,18,41,1,6,7,-,40
"S00135367",81,20,19,8,14,-,-,21
"S00135368",122,29,31,4,7,6,-,44
"S00135369",125,23,20,5,3,4,-,67
"S00135370",67,8,26,-,5,4,-,19
"S00135371",143,20,54,5,7,8,1,49
"S00135372",152,16,23,12,4,4,-,88
"S00135373",219,39,44,8,12,2,1,111
"S00135374",134,35,48,1,6,6,-,40
"S00135375",94,8,21,3,6,3,-,54
"S00135376",71,21,9,3,5,1,1,33
"S00135377",114,33,21,5,1,1,-,51
"S00135378",122,17,32,7,4,2,-,61
"S00135379",60,12,13,1,3,2,-,29
"S00135380",129,22,41,7,8,6,-,47
"S00135381",131,18,40,4,5,1,-,61
"S00135382",99,15,29,4,8,5,-,33
"S00135383",143,11,10,7,3,5,-,107
"S00135384",59,3,13,-,4,1,-,38
"S00135385",83,20,22,4,2,-,-,40
"S00135386",113,7,33,8,8,2,2,49
"S00135387",166,35,38,12,10,10,-,63
"S00135388",195,31,32,10,9,4,-,104
"S00135389",134,17,40,8,8,7,-,52
"S00135390",84,22,23,3,10,1,-,30
"S00135391",198,42,31,10,8,6,-,100
"S00135392",68,13,7,1,1,-,-,40
"S00135393",194,52,47,5,5,5,1,78
"S00135394",150,37,26,10,15,5,-,56
"S00135395",73,16,15,3,4,4,2,33
"S00135396",130,20,44,-,7,4,-,54
"S00135397",111,18,15,1,8,4,-,64
"S00135398",122,7,34,4,9,4,1,58
"S00135399",241,5,29,4,5,2,-,194
"S00135400",159,32,42,7,5,12,1,62
"S00135401",94,16,26,3,3,8,1,40
"S00135402",78,11,14,3,6,4,-,39
"S00135403",129,26,32,8,11,-,-,51
"S00135404",81,19,22,5,3,3,-,31
"S00135405",181,30,43,8,14,8,-,78
"S00135406",172,30,52,5,11,5,-,69
"S00135407",151,23,37,3,6,5,2,75
"S00135408",149,35,33,14,12,4,-,51
"S00135409",69,13,28,7,5,-,-,16
"S00135410",110,19,35,3,1,1,-,49
"S00135411",181,31,36,3,8,11,1,93
"S00135412",111,15,25,4,2,2,2,60
"S00135413",134,22,37,5,12,3,-,52
"S00135414",89,17,25,-,9,1,-,37
"S00135415",102,17,29,6,1,2,-,46
"S00135416",197,16,48,16,11,12,-,94
"S00135417",107,25,21,7,7,1,-,41
"S00135418",168,22,37,7,7,6,-,88
"S00135419",76,13,17,11,6,-,-,29
"S00135420",143,21,65,-,1,3,-,54
"S00135421",116,27,22,4,5,4,2,56
"S00135422",102,14,24,8,11,9,1,37
"S00135423",184,32,47,9,10,5,-,80
"S00135424",115,12,49,5,9,7,-,36
"S00135425",115,24,31,9,6,3,-,42
"S00135426",136,34,36,5,9,5,-,46
"S00135427",125,24,37,11,13,1,-,46
"S00135428",73,20,20,1,4,3,-,26
"S00135429",83,17,27,3,3,4,2,30
"S00135430",112,20,29,1,3,4,2,53
"S00135431",106,17,14,5,13,-,-,56
"S00135432",117,17,40,11,9,-,-,38
"S00135433",126,24,46,9,6,4,-,39
"S00135434",111,25,39,2,9,1,-,30
"S00135435",79,13,26,3,9,2,1,22
"S00135436",107,15,44,-,2,5,-,38
"S00135437",117,21,22,7,3,2,-,62
"S00135438",79,6,19,12,7,-,-,35
"S00135439",89,12,21,4,10,4,-,38
"S00135440",125,16,34,6,13,4,-,51
"S00135441",124,18,29,7,17,6,-,47
"S00135442",67,10,18,4,7,1,-,25
"S00135443",97,12,24,3,6,3,1,48
"S00135444",89,28,3,-,-,-,1,53
"S00135445",134,31,37,8,6,1,-,48
"S00135446",156,21,46,15,8,4,2,61
"S00135447",130,26,25,2,10,3,-,64
"S00135448",151,21,20,4,8,4,2,93
"S00135449",98,19,38,9,-,3,-,34
"S00135450",91,12,21,15,6,5,-,32
"S00135451",69,6,25,5,7,-,-,26
"S00135452",62,7,24,1,1,4,-,27
"S00135453",102,29,39,2,1,2,1,28
"S00135454",117,21,13,3,4,5,-,69
"S00135455",106,14,31,-,5,4,-,51
"S00135456",84,13,35,4,5,1,-,30
"S00135457",64,12,13,3,3,4,-,31
"S00135458",78,14,26,4,4,5,-,25
"S00135459",121,14,35,10,10,-,-,53
"S00135460",120,12,40,6,6,1,-,52
"S00135461",131,11,42,7,12,4,-,55
"S00135462",156,34,39,3,8,5,2,68
"S00135463",146,25,40,13,9,5,-,51
"S00135464",102,19,19,11,7,1,-,46
"S00135465",106,17,33,4,6,1,-,34
"S00135466",99,10,29,5,12,5,-,32
"S00135467",93,16,18,6,2,6,1,41
"S00135468",68,12,20,1,5,7,-,23
"S00135469",116,22,39,6,13,6,-,31
"S00135470",136,26,30,12,11,5,-,52
"S00135471",146,25,47,8,7,6,-,55
"S00135472",147,15,42,1,5,4,-,78
"S00135473",125,28,22,6,4,2,-,61
"S00135474",113,21,22,4,6,5,-,59
"S00135475",100,21,37,5,9,5,-,27
"S00135476",106,23,41,6,7,2,-,26
"S00135477",113,19,24,5,12,1,-,51
"S00135478",96,16,27,10,6,1,-,34
"S00135479",123,36,31,4,5,-,-,49
"S00135480",131,17,34,7,6,1,-,65
"S00135481",131,14,34,6,6,3,-,69
"S00135482",82,10,25,5,4,1,-,37
"S00135483",110,20,34,12,9,5,-,36
"S00135484",82,12,22,4,4,-,-,33
"S00135485",160,25,50,6,13,6,4,56
"S00135486",112,11,26,18,6,-,-,50
"S00135487",155,13,47,5,8,6,-,76
"S00135488",111,26,29,4,11,6,-,43
"S00135489",123,20,30,6,3,5,-,55
"S00135490",126,24,38,3,9,3,-,53
"S00135491",121,18,15,4,5,5,1,73
"S00135492",122,16,35,4,10,1,-,62
"S00135493",160,31,20,14,5,10,-,81
"S00135494",98,23,20,5,12,3,-,35
"S00135495",104,23,24,12,8,5,-,32
"S00135496",101,21,29,3,4,6,1,38
"S00135497",227,36,44,11,13,11,-,112
"S00135498",143,15,29,2,2,2,-,93
"S00135499",126,25,34,4,7,1,-,53
"S00135500",112,19,23,9,6,2,-,57
"S00135501",136,22,40,6,6,1,1,56
"S00135502",124,10,15,3,1,4,-,94
"S00135503",85,15,21,9,6,3,-,31
"S00135504",140,31,57,8,7,-,-,37
"S00135505",160,23,23,4,8,6,2,92
"S00135506",86,15,30,2,-,3,1,34
"S00135507",170,25,33,4,2,8,-,97
"S00135508",65,11,25,-,2,4,1,23
"S00135509",123,11,42,9,9,3,-,49
"S00135510",108,28,43,2,9,1,-,27
"S00135511",118,13,32,6,6,9,-,52
"S00135512",118,22,27,6,7,4,-,47
"S00135513",111,18,41,11,5,6,-,31
"S00135514",112,22,36,6,4,3,-,46
"S00135515",160,28,45,11,12,5,-,59
"S00135516",143,24,27,5,3,6,-,71
"S00135517",111,21,28,4,6,4,-,49
"S00135518",82,11,22,5,3,3,-,33
"S00135519",137,34,26,16,7,7,-,51
"S00135520",141,20,27,7,9,11,-,71
"S00135521",115,15,34,4,2,2,2,58
"S00135522",89,18,23,5,4,4,1,35
"S00135523",67,9,20,-,5,-,-,30
"S00135524",110,18,30,2,6,3,-,51
"S00135525",102,26,20,3,4,2,-,49
"S00135526",104,12,46,6,7,4,-,31
"S00135527",65,19,22,6,-,-,-,25
"S00135528",166,18,69,9,10,2,-,54
"S00135529",139,14,55,6,10,7,-,47
"S00135530",85,7,38,4,2,3,-,32
"S00135531",97,12,23,8,10,2,2,37
"S00135532",97,22,19,1,3,1,-,47
"S00135533",125,25,28,5,5,6,-,57
"S00135534",111,19,24,3,4,7,-,55
"S00135535",223,20,55,20,11,9,-,107
"S00135536",183,26,54,11,6,3,-,81
"S00135537",144,19,37,15,8,2,-,64
"S00135538",91,15,34,4,-,4,2,36
"S00135539",84,14,33,-,4,2,-,30
"S00135540",143,21,35,6,10,9,-,63
"S00135541",78,14,29,2,3,2,-,25
"S00135542",171,26,24,13,7,8,-,93
