Scotland's Census 2022 - National Records of Scotland
Table UV211 - British Sign Language (BSL) skills
All people aged 3 and over

,"All people aged 3 and over","BSL User","Not a BSL user"
"S00135307",140,1,141
"S00135308",60,3,57
"S00135309",154,8,148
"S00135310",149,2,147
"S00135311",143,9,134
"S00135312",179,7,168
"S00135313",181,2,177
"S00135314",169,2,167
"S00135315",107,3,104
"S00135316",127,5,122
"S00135317",150,1,147
"S00135318",83,1,82
"S00135319",135,3,133
"S00135320",122,3,119
"S00135321",81,3,78
"S00135322",153,2,153
"S00135323",112,5,107
"S00135324",59,1,62
"S00135325",73,1,72
"S00135326",84,3,77
"S00135327",94,1,93
"S00135328",117,6,111
"S00135329",121,2,116
"S00135330",102,3,99
"S00135331",64,3,61
"S00135332",91,-,88
"S00135333",97,1,96
"S00135334",69,-,69
"S00135335",121,2,119
"S00135336",75,3,75
"S00135337",143,6,134
"S00135338",141,4,137
"S00135339",140,6,134
"S00135340",126,7,119
"S00135341",87,1,86
"S00135342",87,2,85
"S00135343",167,5,162
"S00135344",116,-,115
"S00135345",165,4,161
"S00135346",134,4,130
"S00135347",90,-,90
"S00135348",128,4,127
"S00135349",127,4,123
"S00135350",122,9,113
"S00135351",206,1,205
"S00135352",157,3,155
"S00135353",192,2,190
"S00135354",97,2,96
"S00135355",115,3,108
"S00135356",122,7,115
"S00135357",220,5,215
"S00135358",129,1,131
"S00135359",122,3,119
"S00135360",123,4,119
"S00135361",112,1,111
"S00135362",125,9,113
"S00135363",160,-,159
"S00135364",163,-,163
"S00135365",115,5,113
"S00135366",112,5,108
"S00135367",81,-,81
"S00135368",122,3,118
"S00135369",125,6,119
"S00135370",67,-,67
"S00135371",143,2,141
"S00135372",152,2,144
"S00135373",219,6,213
"S00135374",134,1,133
"S00135375",94,1,93
"S00135376",71,-,71
"S00135377",114,4,110
"S00135378",122,1,121
"S00135379",60,-,60
"S00135380",129,2,126
"S00135381",131,6,123
"S00135382",99,1,98
"S00135383",143,13,131
"S00135384",59,-,59
"S00135385",83,2,81
"S00135386",113,2,111
"S00135387",166,4,162
"S00135388",195,10,185
"S00135389",134,4,127
"S00135390",84,5,81
"S00135391",198,3,193
"S00135392",68,4,66
"S00135393",194,7,187
"S00135394",150,1,145
"S00135395",73,1,75
"S00135396",130,-,130
"S00135397",111,4,107
"S00135398",122,-,122
"S00135399",241,-,241
"S00135400",159,3,156
"S00135401",94,3,87
"S00135402",78,3,75
"S00135403",129,5,124
"S00135404",81,3,78
"S00135405",181,5,178
"S00135406",172,6,166
"S00135407",151,2,152
"S00135408",149,5,144
"S00135409",69,-,69
"S00135410",110,2,108
"S00135411",181,3,181
"S00135412",111,4,107
"S00135413",134,2,132
"S00135414",89,2,87
"S00135415",102,4,100
"S00135416",197,2,195
"S00135417",107,5,100
"S00135418",168,10,158
"S00135419",76,2,74
"S00135420",143,4,139
"S00135421",116,5,111
"S00135422",102,-,101
"S00135423",184,4,182
"S00135424",115,3,112
"S00135425",115,6,105
"S00135426",136,1,135
"S00135427",125,4,121
"S00135428",73,-,72
"S00135429",83,-,83
"S00135430",112,-,111
"S00135431",106,1,108
"S00135432",117,5,111
"S00135433",126,2,126
"S00135434",111,-,107
"S00135435",79,-,79
"S00135436",107,-,107
"S00135437",117,9,108
"S00135438",79,7,72
"S00135439",89,-,89
"S00135440",125,1,127
"S00135441",124,1,123
"S00135442",67,-,67
"S00135443",97,-,97
"S00135444",89,-,89
"S00135445",134,2,132
"S00135446",156,4,155
"S00135447",130,7,123
"S00135448",151,3,148
