Scotland's Census 2022 - National Records of Scotland
Table UV301 - Provision of unpaid care
All people aged 3 and over
,"All people aged 3 and over","No","All unpaid carers","Yes, 1 to 19 hours a week","Yes, 20 to 34 hours a week","Yes, 35 to 49 hours a week","Yes, 50 or more hours a week"
"S00135307",140,123,17,7,-,1,7
"S00135308",60,56,4,4,-,-,-
"S00135309",154,140,14,8,3,-,3
"S00135310",149,138,11,10,-,1,2
"S00135311",143,129,13,10,1,1,1
"S00135312",179,154,23,8,1,6,8
"S00135313",181,166,12,2,1,2,5
"S00135314",169,162,7,7,1,-,3
"S00135315",107,97,10,3,2,2,3
"S00135316",127,110,17,11,1,4,3
"S00135317",150,128,23,10,3,-,11
"S00135318",83,69,14,7,1,-,5
"S00135319",135,118,17,8,-,-,5
"S00135320",122,105,17,9,1,3,4
"S00135321",81,69,13,10,1,2,1
"S00135322",153,124,29,13,5,3,9
"S00135323",112,97,13,8,1,1,5
"S00135324",59,55,7,1,-,-,1
"S00135325",73,64,10,5,-,1,2
"S00135326",84,75,9,4,2,1,3
"S00135327",94,87,7,4,-,1,2
"S00135328",117,105,12,6,-,1,4
"S00135329",121,104,17,5,3,1,5
"S00135330",102,87,15,9,3,2,4
"S00135331",64,53,11,5,3,2,2
"S00135332",91,81,9,3,1,1,5
"S00135333",97,85,9,4,2,-,3
"S00135334",69,64,5,3,-,1,1
"S00135335",121,105,15,12,2,2,-
"S00135336",75,64,11,9,-,2,-
"S00135337",143,114,21,15,-,2,5
"S00135338",141,123,18,10,-,-,6
"S00135339",140,133,7,5,1,1,-
"S00135340",126,118,8,5,2,-,1
"S00135341",87,80,7,4,-,-,4
"S00135342",87,80,7,6,-,1,-
"S00135343",167,155,12,4,5,2,1
"S00135344",116,106,10,7,-,-,3
"S00135345",165,156,9,-,-,-,7
"S00135346",134,121,13,9,-,2,2
"S00135347",90,80,12,4,-,1,4
"S00135348",128,112,17,13,2,-,2
"S00135349",127,117,10,5,1,1,4
"S00135350",122,112,10,8,-,-,4
"S00135351",206,195,11,6,1,-,4
"S00135352",157,143,18,8,4,1,5
"S00135353",192,181,11,7,1,1,1
"S00135354",97,86,11,5,1,-,-
"S00135355",115,108,7,4,-,1,-
"S00135356",122,113,12,3,-,-,5
"S00135357",220,209,11,6,1,-,-
"S00135358",129,120,15,9,-,2,-
"S00135359",122,113,10,6,-,-,3
"S00135360",123,111,12,9,2,-,-
"S00135361",112,104,8,5,4,-,2
"S00135362",125,113,12,6,2,1,3
"S00135363",160,157,3,2,-,-,-
"S00135364",163,142,21,17,-,-,7
"S00135365",115,101,17,14,-,-,3
"S00135366",112,103,9,6,1,-,4
"S00135367",81,69,12,9,1,1,1
"S00135368",122,114,8,6,1,1,-
"S00135369",125,113,12,6,-,-,2
"S00135370",67,67,4,2,2,1,2
"S00135371",143,128,15,9,-,-,6
"S00135372",152,139,9,6,1,-,1
"S00135373",219,200,15,15,-,-,-
"S00135374",134,126,8,7,-,-,-
"S00135375",94,88,6,4,-,-,2
"S00135376",71,70,4,3,-,-,1
"S00135377",114,110,4,3,-,1,-
"S00135378",122,118,4,4,-,-,-
"S00135379",60,52,4,4,-,-,-
"S00135380",129,121,8,5,-,-,1
"S00135381",131,127,2,2,-,-,-
"S00135382",99,94,6,4,-,1,-
"S00135383",143,139,3,2,-,-,2
"S00135384",59,54,8,-,1,2,-
"S00135385",83,78,5,1,1,-,3
"S00135386",113,106,10,-,-,3,6
"S00135387",166,150,16,11,2,-,3
"S00135388",195,179,17,9,1,-,4
"S00135389",134,121,13,9,-,1,4
"S00135390",84,70,14,8,-,-,6
"S00135391",198,183,16,7,1,-,7
"S00135392",68,62,6,2,-,2,-
"S00135393",194,181,12,6,-,3,3
"S00135394",150,137,9,8,-,-,1
"S00135395",73,65,14,9,1,-,1
"S00135396",130,119,12,7,2,1,2
"S00135397",111,104,10,7,1,2,1
"S00135398",122,117,3,-,-,-,-
"S00135399",241,240,1,1,-,-,-
"S00135400",159,147,9,8,-,3,2
"S00135401",94,87,7,2,4,2,1
"S00135402",78,70,7,8,-,-,2
"S00135403",129,122,5,2,-,2,-
"S00135404",81,77,6,6,-,-,-
"S00135405",181,163,18,11,3,1,4
"S00135406",172,151,21,12,3,3,4
"S00135407",151,142,11,5,-,-,3
"S00135408",149,134,15,5,5,-,4
"S00135409",69,57,12,7,2,-,3
"S00135410",110,101,12,9,-,2,1
"S00135411",181,166,15,11,-,1,5
"S00135412",111,104,9,4,1,1,-
"S00135413",134,115,19,10,-,2,6
"S00135414",89,73,16,12,1,4,1
"S00135415",102,94,8,6,-,2,2
"S00135416",197,175,22,17,1,4,4
"S00135417",107,95,10,6,2,1,-
"S00135418",168,158,9,3,2,1,3
"S00135419",76,65,11,10,-,1,-
"S00135420",143,126,17,8,1,1,6
"S00135421",116,104,12,10,-,3,-
"S00135422",102,99,3,4,2,-,-
"S00135423",184,165,19,11,4,1,3
"S00135424",115,108,7,5,1,1,-
"S00135425",115,107,10,3,2,2,3
"S00135426",136,122,14,8,1,-,3
"S00135427",125,108,17,9,1,2,5
"S00135428",73,66,4,5,1,1,-
"S00135429",83,79,6,6,-,-,-
"S00135430",112,105,8,6,2,-,1
"S00135431",106,101,5,4,1,-,-
"S00135432",117,102,13,9,2,-,2
"S00135433",126,112,14,13,2,1,1
"S00135434",111,97,11,8,-,-,2
"S00135435",79,63,9,8,3,3,1
"S00135436",107,95,12,9,-,1,-
"S00135437",117,101,16,10,2,-,3
"S00135438",79,69,10,8,-,-,1
"S00135439",89,81,8,5,-,2,1
"S00135440",125,110,18,14,1,-,5
"S00135441",124,110,14,11,2,-,2
"S00135442",67,55,9,6,-,-,5
"S00135443",97,86,13,12,-,1,-
"S00135444",89,88,1,-,1,-,-
"S00135445",134,111,23,17,1,2,3
"S00135446",156,141,16,14,-,-,2
"S00135447",130,123,10,5,-,1,1
"S00135448",151,143,5,3,1,-,1
"S00135449",98,87,13,4,1,-,8
"S00135450",91,72,16,8,1,-,5
"S00135451",69,59,10,9,-,1,-
"S00135452",62,56,6,4,1,-,1
"S00135453",102,89,16,10,2,-,-
"S00135454",117,110,8,8,-,-,-
"S00135455",106,94,12,7,-,1,1
"S00135456",84,76,9,4,1,-,5
"S00135457",64,57,7,3,-,1,-
"S00135458",78,70,12,8,-,2,1
"S00135459",121,116,4,2,-,2,1
"S00135460",120,104,16,11,1,3,4
"S00135461",131,120,14,8,2,-,1
"S00135462",156,143,13,7,2,-,5
"S00135463",146,138,8,6,1,-,1
"S00135464",102,93,10,2,-,-,2
"S00135465",106,99,7,6,2,-,-
"S00135466",99,85,14,9,1,-,4
"S00135467",93,75,18,11,1,1,5
"S00135468",68,64,4,4,-,-,-
"S00135469",116,102,14,7,2,-,7
"S00135470",136,124,11,9,1,-,1
"S00135471",146,133,13,12,1,2,1
"S00135472",147,134,13,9,1,1,2
"S00135473",125,112,10,10,1,1,2
"S00135474",113,104,9,3,1,-,6
"S00135475",100,95,3,3,1,-,-
"S00135476",106,97,7,3,1,-,2
"S00135477",113,106,7,3,2,-,3
"S00135478",96,85,11,5,-,1,3
"S00135479",123,108,15,11,1,2,-
"S00135480",131,114,14,10,1,1,2
"S00135481",131,113,18,9,-,-,7
"S00135482",82,72,10,5,-,-,3
"S00135483",110,101,13,10,-,1,2
"S00135484",82,69,9,5,2,1,2
"S00135485",160,144,16,5,1,-,7
"S00135486",112,100,13,3,1,6,5
"S00135487",155,136,15,9,2,2,7
"S00135488",111,98,13,4,4,-,5
"S00135489",123,114,8,4,4,1,-
"S00135490",126,107,22,16,1,-,5
"S00135491",121,117,4,4,-,-,-
"S00135492",122,118,8,5,-,-,2
"S00135493",160,149,12,8,1,1,2
"S00135494",98,82,16,11,1,1,4
"S00135495",104,94,10,6,3,-,2
"S00135496",101,103,2,2,-,-,-
"S00135497",227,209,18,11,3,2,2
"S00135498",143,139,4,2,-,-,3
"S00135499",126,110,16,8,1,2,4
"S00135500",112,108,3,3,-,-,-
"S00135501",136,126,8,7,-,-,-
"S00135502",124,118,6,3,-,3,-
"S00135503",85,78,7,6,-,1,-
"S00135504",140,126,14,4,-,-,8
"S00135505",160,144,13,8,2,1,3
"S00135506",86,82,7,5,1,-,1
"S00135507",170,156,12,9,2,-,2
"S00135508",65,56,9,4,1,-,3
"S00135509",123,119,3,1,-,2,1
"S00135510",108,93,16,10,3,-,3
"S00135511",118,111,7,4,-,-,3
"S00135512",118,104,14,11,-,-,1
"S00135513",111,103,12,6,-,2,4
"S00135514",112,96,18,5,2,2,6
"S00135515",160,147,9,6,-,2,5
"S00135516",143,131,11,7,-,-,4
"S00135517",111,105,6,5,-,1,-
"S00135518",82,73,9,7,-,-,2
"S00135519",137,110,27,15,4,1,7
"S00135520",141,132,9,9,-,-,-
"S00135521",115,109,7,3,-,2,3
"S00135522",89,84,6,6,-,-,-
"S00135523",67,61,6,4,2,-,1
"S00135524",110,100,10,6,-,-,4
"S00135525",102,95,4,5,-,-,-
"S00135526",104,95,7,6,-,-,3
"S00135527",65,62,6,1,1,-,4
"S00135528",166,144,22,8,2,-,14
"S00135529",139,122,17,11,3,-,3
"S00135530",85,78,7,2,5,1,1
"S00135531",97,88,11,5,-,1,1
"S00135532",97,91,6,3,-,-,3
"S00135533",125,109,15,15,-,-,2
"S00135534",111,103,8,4,2,1,1
"S00135535",223,208,19,12,4,-,1
"S00135536",183,166,15,8,-,5,1
"S00135537",144,124,20,16,1,-,3
"S00135538",91,77,13,5,1,4,5
"S00135539",84,70,14,5,1,3,3
"S00135540",143,122,21,13,-,2,6
"S00135541",78,74,4,2,-,-,1
"S00135542",171,164,7,3,-,3,2
"S00135543",162,153,7,4,2,-,2
"S00135544",96,88,8,4,-,-,4
"S00135545",132,121,11,4,-,2,4
"S00135546",86,78,8,4,3,1,2
"S00135547",175,158,21,14,2,4,1
"S00135548",85,74,11,6,-,1,2
"S00135549",64,59,5,3,-,1,-
"S00135550",118,110,6,-,2,-,3
"S00135551",122,101,21,11,1,2,4
"S00135552",127,118,7,4,-,-,3
"S00135553",202,185,14,9,-,3,1
"S00135554",84,79,5,2,-,-,3
"S00135555",163,144,19,13,-,-,6
"S00135556",100,92,8,4,-,-,2
"S00135557",82,79,7,1,-,4,1
"S00135558",146,129,17,8,2,-,7
"S00135559",104,100,2,2,-,-,-
"S00135560",104,96,8,2,2,-,4
"S00135561",90,87,3,-,-,-,3
"S00135562",89,83,6,2,2,-,1
"S00135563",59,60,1,1,-,-,-
"S00135564",103,95,8,6,-,-,-
"S00135565",70,67,3,3,-,-,-
"S00135566",97,89,9,4,1,-,2
"S00135567",124,110,14,10,1,-,1
"S00135568",147,136,15,11,1,2,4
"S00135569",100,83,17,5,1,6,4
"S00135570",111,98,12,6,2,1,4
"S00135571",102,97,4,4,-,-,3
"S00135572",115,105,9,6,3,1,1
"S00135573",105,95,8,4,1,2,-
"S00135574",94,86,8,3,2,2,2
"S00135575",142,130,14,9,2,-,2
"S00135576",126,105,21,9,2,2,8
"S00135577",123,122,1,-,-,-,1
"S00135578",117,100,17,10,1,1,3
"S00135579",83,71,11,9,-,-,2
"S00135580",135,126,10,6,2,-,2
"S00135581",127,119,8,3,-,2,3
"S00135582",82,76,3,5,-,1,-
"S00135583",130,120,11,9,-,-,2
"S00135584",116,106,7,3,-,2,1
"S00135585",105,102,2,1,1,-,-
"S00135586",118,107,11,5,2,-,4
"S00135587",72,63,12,8,-,-,1
"S00135588",85,79,6,4,-,1,1
"S00135589",82,74,8,4,-,-,4
"S00135590",80,71,9,7,-,-,3
"S00135591",80,72,8,5,-,-,1
"S00135592",103,98,2,2,-,-,-
"S00135593",85,73,10,8,-,-,2
"S00135594",94,84,10,7,2,-,-
"S00135595",144,131,13,4,-,2,7
"S00135596",204,196,8,5,-,-,3
"S00135597",133,114,19,6,4,2,8
"S00135598",89,78,8,7,2,-,-
"S00135599",123,114,5,1,-,2,-
"S00135600",60,54,6,1,-,1,3
"S00135601",128,122,6,3,-,2,1
"S00135602",124,119,5,4,1,-,-
"S00135603",80,68,12,11,-,-,-
"S00135604",83,78,5,2,2,-,2
"S00135605",82,63,15,13,2,1,-
"S00135606",270,262,8,5,-,1,1
"S00135607",1711,1660,55,43,-,5,3
"S00135608",95,87,8,-,1,1,6
"S00135609",108,98,11,4,1,1,-
"S00135610",156,146,10,3,-,5,2
"S00135611",87,71,13,7,3,2,4
"S00135612",149,139,10,4,1,2,5
"S00135613",114,105,9,4,1,2,2
"S00135614",110,90,20,11,3,1,5
"S00135615",153,153,4,2,1,-,-
"S00135616",72,63,5,2,2,1,-
"S00135617",105,90,11,12,-,1,1
"S00135618",74,66,6,2,-,-,3
"S00135619",63,59,4,4,-,-,-
"S00135620",122,110,8,7,4,1,2
"S00135621",129,113,16,7,4,3,3
"S00135622",89,87,2,1,-,-,1
"S00135623",128,113,15,9,-,4,3
"S00135624",90,80,10,5,1,1,3
"S00135625",129,124,5,4,1,-,-
"S00135626",58,58,1,1,-,-,-
