Scotland's Census 2022 - National Records of Scotland
Table UV303b - Disability by age (6)
All people
,"All people","All people","All people","All people","All people","All people","All people","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited"
,"Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over"
"S00135307",144,26,10,10,29,33,34,9,3,-,-,-,1,5,26,4,3,3,1,4,12,109,19,8,7,26,30,19
"S00135308",65,13,1,4,15,22,10,2,-,-,-,-,-,2,4,1,-,-,1,1,5,55,12,1,4,14,21,4
"S00135309",156,9,15,14,22,53,47,13,-,1,-,-,5,7,31,-,2,-,4,13,11,112,8,8,14,18,35,29
"S00135310",153,21,26,16,31,39,20,5,-,-,-,1,3,2,11,-,1,-,2,4,3,137,21,25,15,26,32,17
"S00135311",151,34,8,23,47,30,13,2,-,-,-,-,2,1,10,-,-,-,3,5,3,138,34,8,23,45,22,8
"S00135312",187,55,20,21,56,24,10,11,1,2,-,2,5,2,29,9,2,-,8,5,4,149,45,16,20,47,17,4
"S00135313",181,27,14,12,25,26,76,43,1,-,1,-,4,37,23,-,-,-,-,2,19,117,25,14,11,25,21,21
"S00135314",173,35,18,23,47,38,12,3,1,-,1,-,-,-,11,-,1,1,4,2,4,158,34,17,21,43,35,8
"S00135315",108,21,5,19,17,17,27,11,1,-,-,1,3,2,17,-,2,2,1,1,6,83,22,8,17,14,8,19
"S00135316",130,19,6,14,22,29,42,16,-,-,-,2,2,16,20,-,-,1,2,6,9,94,17,6,14,22,21,16
"S00135317",156,22,13,17,29,31,44,15,-,-,-,1,4,9,16,1,2,-,-,4,9,124,21,10,17,27,23,26
"S00135318",85,16,8,11,20,18,15,5,-,1,-,-,-,3,11,-,2,-,3,5,5,69,15,3,11,18,11,8
"S00135319",141,27,6,16,26,20,45,23,-,-,-,1,5,17,22,1,1,1,3,-,15,94,26,5,15,25,16,15
"S00135320",127,26,1,13,24,34,26,12,-,-,-,1,4,7,16,2,-,1,4,2,8,99,27,2,9,21,28,11
"S00135321",84,12,8,12,17,11,27,14,-,-,1,5,-,5,8,-,-,-,1,1,7,64,12,8,11,11,10,15
"S00135322",151,33,4,18,34,34,28,18,1,-,-,3,7,6,19,3,1,1,3,4,9,114,28,6,20,25,26,13
"S00135323",108,12,10,9,19,23,39,11,1,-,-,1,4,5,16,-,1,1,1,3,7,85,8,8,8,17,17,24
"S00135324",60,8,9,9,7,13,14,2,-,-,-,-,-,2,13,1,-,1,2,4,3,46,7,9,8,5,7,10
"S00135325",77,13,7,7,12,19,14,4,1,-,-,-,3,-,11,2,-,-,-,2,5,63,10,7,7,12,14,9
"S00135326",84,13,1,9,9,15,33,17,-,-,-,1,2,17,14,-,-,-,-,5,11,54,13,1,9,12,10,9
"S00135327",95,17,11,6,21,16,26,7,-,-,-,-,2,5,11,-,-,-,3,-,7,77,17,11,6,13,14,14
"S00135328",117,11,4,15,21,30,36,13,2,-,-,2,8,4,19,-,2,1,4,1,11,85,10,1,14,12,24,21
"S00135329",123,26,6,12,32,24,27,18,-,-,2,3,5,8,17,-,1,2,2,4,7,88,26,5,8,27,14,12
"S00135330",105,10,7,17,11,26,36,15,-,-,-,2,5,9,17,-,-,1,-,4,7,73,6,7,15,6,17,16
"S00135331",66,12,1,10,14,10,19,8,-,1,-,2,3,6,9,-,-,-,-,4,5,45,7,-,10,15,6,8
"S00135332",93,15,7,6,20,26,18,13,1,-,-,4,7,3,13,1,1,1,3,1,3,67,15,6,5,13,22,8
"S00135333",104,22,11,15,24,15,17,11,1,-,-,2,3,2,17,-,-,3,3,4,4,76,21,9,12,18,7,9
"S00135334",74,16,1,11,13,8,24,-,-,-,-,1,-,1,10,1,-,1,1,-,5,65,15,1,10,11,6,18
"S00135335",123,24,15,12,28,36,17,6,1,-,-,-,4,2,11,-,-,2,3,2,4,106,22,15,10,22,26,12
"S00135336",78,15,9,11,14,18,12,7,-,1,-,2,-,2,8,1,-,1,-,1,3,64,14,8,7,11,15,6
"S00135337",142,14,9,8,23,41,48,18,-,1,-,-,7,9,23,2,-,-,1,8,10,101,10,8,8,23,26,28
"S00135338",145,21,10,24,20,22,48,16,1,-,1,-,1,13,24,-,-,5,1,4,15,105,19,10,18,18,17,23
