Scotland's Census 2022 - National Records of Scotland
Table UV304 - Long-term health conditions
All people
,"All people","Deaf or partially hearing impaired","Blind or partially vision impaired","Full/partial loss of voice or difficulty speaking","Has one or more of learning disability, learning difficulty or developmental disorder","Physical disability","Mental health condition","Long-term illness, disease or condition"
"S00135307",144,16,-,-,11,12,10,20
"S00135308",65,4,1,-,-,2,4,6
"S00135309",156,22,5,-,6,17,16,50
"S00135310",153,7,2,-,6,6,7,21
"S00135311",151,7,4,-,4,4,5,20
"S00135312",187,5,1,1,17,6,21,29
"S00135313",181,19,4,4,15,34,31,55
"S00135314",173,8,1,-,3,3,19,25
"S00135315",108,10,1,1,3,10,17,25
"S00135316",130,7,1,-,3,17,11,30
"S00135317",156,19,4,-,10,12,16,36
"S00135318",85,5,4,-,4,3,7,15
"S00135319",141,19,5,-,3,15,11,32
"S00135320",127,18,4,-,5,12,12,27
"S00135321",84,9,-,1,3,9,11,18
"S00135322",151,13,4,-,11,17,22,39
"S00135323",108,12,2,1,9,10,8,30
"S00135324",60,5,4,-,2,6,2,9
"S00135325",77,5,4,-,2,3,-,19
"S00135326",84,14,2,-,3,18,4,19
"S00135327",95,8,5,-,4,8,4,21
"S00135328",117,16,5,-,6,14,12,29
"S00135329",123,9,9,-,2,12,16,31
"S00135330",105,13,4,2,3,15,8,30
"S00135331",66,2,3,-,5,6,9,19
"S00135332",93,4,1,-,10,7,12,24
"S00135333",104,7,3,-,5,10,19,22
"S00135334",74,3,1,-,6,1,4,14
"S00135335",123,4,6,-,5,5,17,17
"S00135336",78,3,1,1,7,2,8,8
"S00135337",142,10,3,-,7,17,17,50
"S00135338",145,10,2,-,9,24,16,38
"S00135339",140,12,4,2,6,26,18,43
"S00135340",129,13,6,-,2,9,12,24
"S00135341",94,17,2,-,4,10,11,16
"S00135342",90,9,3,-,2,3,7,16
"S00135343",172,4,2,2,6,3,12,13
"S00135344",118,14,6,-,9,11,9,23
"S00135345",165,6,2,-,4,6,18,27
"S00135346",136,17,2,-,2,8,4,27
"S00135347",91,2,-,2,5,3,8,16
"S00135348",130,11,6,-,4,6,9,31
"S00135349",127,9,1,-,7,10,8,32
"S00135350",131,4,4,3,4,6,14,12
"S00135351",224,3,1,-,8,1,13,27
"S00135352",161,18,5,1,6,11,10,32
"S00135353",206,3,1,1,9,1,9,17
"S00135354",105,2,-,1,6,2,7,12
"S00135355",124,1,2,-,2,4,6,12
"S00135356",126,6,2,-,2,4,15,13
"S00135357",228,5,2,-,5,2,16,15
"S00135358",137,1,2,-,4,4,9,13
"S00135359",123,22,2,-,7,7,8,27
"S00135360",129,17,5,-,6,6,10,21
"S00135361",117,9,4,1,2,15,8,27
"S00135362",132,15,4,-,4,10,9,21
"S00135363",174,2,-,-,8,1,10,17
"S00135364",165,18,6,1,7,13,9,41
"S00135365",119,14,7,-,2,12,6,28
"S00135366",112,10,5,-,4,7,8,27
"S00135367",82,7,4,-,5,7,2,19
"S00135368",131,7,-,-,2,8,11,18
"S00135369",128,5,-,-,5,4,7,24
"S00135370",72,3,2,2,2,4,3,13
"S00135371",149,2,4,-,-,2,21,25
"S00135372",152,2,2,-,8,2,15,19
"S00135373",226,9,4,-,8,3,18,23
"S00135374",141,4,2,-,3,7,17,18
"S00135375",98,2,-,-,6,-,8,14
"S00135376",75,4,-,-,1,5,4,15
"S00135377",119,9,2,-,3,2,7,14
"S00135378",127,4,-,-,-,3,5,10
"S00135379",60,1,2,-,1,4,3,15
"S00135380",132,8,1,-,2,8,15,38
"S00135381",133,1,-,-,3,-,4,12
"S00135382",101,7,-,-,1,3,7,17
"S00135383",153,4,-,-,5,-,5,15
"S00135384",61,1,-,-,3,2,-,6
"S00135385",90,1,-,2,16,6,21,8
"S00135386",113,20,8,4,21,33,27,47
"S00135387",171,8,4,1,2,8,11,35
"S00135388",200,12,6,-,9,9,11,29
"S00135389",132,8,5,-,3,7,4,32
"S00135390",85,6,1,1,3,5,10,15
"S00135391",203,9,2,-,4,10,11,29
"S00135392",70,4,4,1,3,5,14,10
"S00135393",207,4,2,-,13,17,55,36
"S00135394",152,6,4,-,1,4,15,27
"S00135395",79,3,1,-,4,3,5,12
"S00135396",133,5,3,-,8,11,9,27
"S00135397",121,5,-,-,4,7,11,13
"S00135398",129,5,-,-,4,2,7,14
"S00135399",243,16,13,6,11,67,70,75
"S00135400",162,9,-,-,7,11,18,34
"S00135401",99,1,-,-,5,4,10,21
"S00135402",80,5,1,-,2,3,10,10
"S00135403",131,4,2,-,9,4,11,26
"S00135404",86,10,2,-,2,2,12,11
"S00135405",188,14,2,-,6,16,16,34
"S00135406",172,15,1,-,4,12,9,44
"S00135407",153,8,4,-,7,2,10,25
"S00135408",152,18,1,-,7,21,17,37
"S00135409",70,8,2,-,1,4,9,23
