Scotland's Census 2022 - National Records of Scotland
Table UV401 - Accommodation type - People
All people in households
,"All people in households","Whole house or bungalow: Total","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure"
"S00135307",144,140,130,10,-,4,4,-,-,2
"S00135308",65,65,45,16,-,-,-,-,-,-
"S00135309",143,129,93,32,7,5,3,-,2,9
"S00135310",145,128,33,97,3,17,17,-,-,-
"S00135311",151,134,104,27,4,14,12,2,-,6
"S00135312",187,157,51,62,44,30,30,-,-,-
"S00135313",147,142,11,87,43,6,6,-,-,-
"S00135314",173,116,46,68,6,57,57,-,-,-
"S00135315",108,60,6,24,34,50,48,3,-,-
"S00135316",129,85,54,33,1,44,38,1,5,-
"S00135317",156,141,38,71,32,14,14,-,-,-
"S00135318",85,76,2,57,16,9,9,-,-,-
"S00135319",141,94,3,65,26,45,44,1,-,-
"S00135320",127,100,3,57,36,25,23,4,-,-
"S00135321",84,71,7,34,30,13,13,-,-,-
"S00135322",151,47,6,41,2,107,107,-,-,-
"S00135323",108,86,4,30,52,29,29,-,-,-
"S00135324",60,33,11,17,5,28,28,-,-,-
"S00135325",77,77,60,12,8,3,3,-,-,-
"S00135326",84,46,7,16,23,36,35,2,-,-
"S00135327",95,94,1,50,47,1,1,-,-,-
"S00135328",117,95,5,48,50,19,19,-,-,-
"S00135329",123,100,8,50,39,23,21,2,-,-
"S00135330",105,67,3,43,21,38,38,-,-,-
"S00135331",66,64,3,42,19,2,2,-,-,-
"S00135332",93,91,5,44,42,4,4,-,-,-
"S00135333",104,28,-,17,10,77,77,-,-,-
"S00135334",74,65,6,12,47,9,9,-,-,-
"S00135335",123,123,19,15,90,-,-,-,-,-
"S00135336",78,70,37,30,3,11,11,-,-,-
"S00135337",142,134,28,72,36,8,8,-,-,-
"S00135338",145,92,4,73,16,53,53,-,-,-
"S00135339",140,64,46,13,5,80,77,3,-,-
"S00135340",117,110,34,44,32,6,6,-,-,-
"S00135341",94,89,7,14,66,4,4,-,-,-
"S00135342",90,78,27,46,9,5,5,-,-,-
"S00135343",172,134,40,44,50,35,35,-,-,-
"S00135344",118,80,60,20,-,42,36,1,2,-
"S00135345",165,145,22,81,42,24,23,2,2,-
"S00135346",136,133,30,103,-,3,3,-,-,-
"S00135347",91,73,31,15,29,16,14,2,-,-
"S00135348",130,123,28,89,6,7,7,-,-,-
"S00135349",127,113,57,54,-,18,12,6,-,-
"S00135350",131,96,31,50,15,36,36,-,-,-
"S00135351",224,218,123,52,43,7,7,-,-,-
"S00135352",161,155,52,84,19,6,4,2,-,-
"S00135353",206,186,74,55,62,15,18,1,-,-
"S00135354",105,101,22,34,45,1,1,-,-,-
"S00135355",124,112,11,61,40,12,12,-,-,-
"S00135356",126,18,11,5,1,112,104,-,4,-
"S00135357",228,203,182,17,4,25,25,-,-,-
"S00135358",137,88,3,25,60,48,47,-,1,-
"S00135359",123,120,61,57,-,3,3,-,-,-
"S00135360",129,41,19,21,3,82,83,4,-,-
"S00135361",117,117,66,47,4,-,-,-,-,-
