Scotland's Census 2022 - National Records of Scotland
Table UV403 - Household tenure - People
All people in households
,"All people in households","Owned: Total","Owned: Owned outright","Owned: Owned with a mortgage or loan","Owned: Shared ownership (part owned and part rented)","Owned: Shared Equity (e.g. LIFT or Help-to-Buy)","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented: Total","Private rented: Private landlord or letting agency","Private rented: Other","Lives Rent Free"
"S00135307",144,114,68,46,-,-,-,30,30,-,-
"S00135308",65,42,16,26,-,-,2,19,19,-,-
"S00135309",143,117,65,53,-,-,8,14,14,-,4
"S00135310",145,129,57,72,-,-,6,14,14,-,-
"S00135311",151,91,21,70,-,-,4,52,52,-,5
"S00135312",187,109,30,79,-,-,58,20,20,-,-
"S00135313",147,109,52,57,-,-,29,7,7,-,2
"S00135314",173,136,51,85,-,-,4,34,34,-,-
"S00135315",108,64,37,24,-,3,37,7,7,-,4
"S00135316",129,98,51,47,-,-,1,27,21,6,3
"S00135317",156,110,61,49,-,-,32,13,13,-,-
"S00135318",85,65,20,45,-,-,20,1,1,-,-
"S00135319",141,79,33,41,-,5,47,12,12,-,-
"S00135320",127,87,38,43,-,2,34,9,9,-,-
"S00135321",84,60,21,39,-,-,10,15,15,-,-
"S00135322",151,85,32,53,-,-,48,20,20,-,1
"S00135323",108,100,58,45,-,-,7,2,2,-,-
"S00135324",60,41,20,21,-,-,13,7,7,-,-
"S00135325",77,64,25,35,-,-,4,13,13,-,-
"S00135326",84,47,20,27,-,-,31,6,6,-,-
"S00135327",95,79,35,42,-,2,16,-,-,-,-
"S00135328",117,94,44,44,-,3,17,8,8,-,1
"S00135329",123,96,45,47,-,3,15,12,10,8,-
"S00135330",105,71,45,26,-,-,20,13,13,-,-
"S00135331",66,52,23,29,-,-,13,4,4,-,-
"S00135332",93,64,35,22,2,-,27,2,2,-,-
"S00135333",104,38,18,20,-,-,49,16,16,-,1
"S00135334",74,56,37,18,-,2,11,7,7,-,-
"S00135335",123,107,35,64,-,5,11,3,3,-,2
"S00135336",78,63,13,47,-,-,8,10,10,-,-
"S00135337",142,102,51,50,-,-,30,8,8,-,-
"S00135338",145,84,44,40,-,-,32,28,28,-,1
"S00135339",140,65,32,30,-,-,55,25,23,2,-
"S00135340",117,92,45,47,-,-,15,7,6,1,2
"S00135341",94,65,34,34,-,-,20,11,11,-,2
"S00135342",90,74,45,29,-,-,12,1,1,-,-
"S00135343",172,144,14,128,-,1,19,6,2,1,3
"S00135344",118,94,47,47,-,-,7,13,9,4,2
"S00135345",165,123,39,84,-,-,9,28,30,2,3
"S00135346",136,130,86,44,-,-,-,8,8,-,-
"S00135347",91,89,19,62,-,8,-,-,-,-,-
"S00135348",130,125,77,47,-,1,-,4,4,-,1
"S00135349",127,111,56,53,1,1,-,11,11,-,1
"S00135350",131,119,7,110,-,4,9,4,4,-,-
"S00135351",224,212,13,183,-,16,5,7,7,-,-
"S00135352",161,150,88,62,-,-,-,11,11,-,-
"S00135353",206,198,15,171,-,9,4,7,7,-,-
"S00135354",105,99,9,82,-,8,-,1,1,-,2
"S00135355",124,114,6,105,-,2,-,10,10,-,-
"S00135356",126,79,18,37,20,5,35,10,10,-,1
"S00135357",228,227,28,190,-,11,-,-,-,-,-
"S00135358",137,85,9,66,-,9,4,42,42,-,4
"S00135359",123,121,70,48,-,-,3,2,2,-,-
"S00135360",129,102,37,59,-,-,3,21,21,-,3
"S00135361",117,111,66,44,1,-,4,2,2,-,-
"S00135362",132,120,71,53,-,-,7,7,7,-,-
"S00135363",174,154,2,133,-,21,11,6,6,-,-
"S00135364",165,151,94,53,-,6,7,5,5,-,-
"S00135365",119,98,58,41,-,-,11,9,9,-,1
"S00135366",112,95,64,31,-,-,1,16,16,-,-
"S00135367",82,75,44,26,-,1,-,7,7,-,-
"S00135368",131,117,28,88,-,1,-,14,14,-,-
"S00135369",128,119,26,93,-,-,-,7,7,-,-
"S00135370",72,61,25,39,-,-,-,4,4,-,-
"S00135371",149,139,41,84,12,2,2,9,9,-,-
"S00135372",152,97,18,77,-,1,5,50,43,5,-
"S00135373",226,220,97,124,-,3,-,2,2,-,4
"S00135374",141,127,34,93,-,-,-,13,11,-,2
"S00135375",98,60,11,49,-,-,-,33,33,-,3
"S00135376",75,48,29,20,-,-,26,-,-,-,-
"S00135377",119,110,48,60,-,-,-,12,12,-,-
"S00135378",127,110,23,87,-,-,4,11,11,-,2
"S00135379",60,60,32,24,2,-,-,-,-,-,-
"S00135380",132,129,69,60,-,-,-,3,3,-,-
"S00135381",133,110,15,86,-,8,-,23,20,2,-
"S00135382",101,94,38,56,-,-,-,6,6,-,1
"S00135383",153,126,6,116,-,-,1,29,29,-,-
"S00135384",61,55,21,35,-,-,-,6,6,-,2
"S00135385",90,9,-,9,-,-,72,4,4,-,2
"S00135386",113,51,22,28,1,-,54,8,8,-,-
"S00135387",171,169,108,61,-,-,-,2,2,-,-
"S00135388",200,172,47,121,-,2,4,24,24,-,-
"S00135389",132,125,72,53,-,-,2,5,5,-,-
"S00135390",85,74,10,57,7,-,-,15,15,-,-
"S00135391",203,179,55,112,5,6,6,18,18,-,-
"S00135392",70,57,13,39,5,-,1,10,10,-,-
"S00135393",207,3,-,3,-,-,197,6,6,-,2
"S00135394",152,145,71,70,-,4,2,5,4,1,-
"S00135395",79,71,48,22,-,-,2,6,6,-,-
"S00135396",133,124,58,63,-,-,-,6,6,-,1
"S00135397",121,115,9,106,-,-,1,6,4,1,-
"S00135398",129,115,39,75,-,-,4,6,6,-,-
"S00135399",113,78,8,70,-,-,8,29,29,-,-
"S00135400",162,118,62,52,3,-,8,32,32,-,4
"S00135401",99,98,44,54,-,-,-,2,2,-,-
"S00135402",80,65,24,41,-,-,5,15,8,2,-
"S00135403",131,121,37,76,-,6,-,8,8,-,4
"S00135404",86,81,27,53,1,-,-,2,2,-,1
"S00135405",188,165,57,108,-,-,7,9,7,2,5
"S00135406",172,166,95,68,-,-,-,4,4,-,1
"S00135407",153,147,52,95,-,-,3,5,5,-,-
"S00135408",152,98,48,48,-,2,37,20,20,-,-
"S00135409",70,64,41,20,1,-,-,6,6,-,-
"S00135410",111,100,38,62,-,-,1,10,9,1,-
"S00135411",183,151,46,98,4,4,-,30,30,-,-
"S00135412",113,108,69,38,-,2,5,-,-,-,-
"S00135413",134,130,76,54,-,-,2,5,5,-,-
"S00135414",89,85,62,23,-,-,4,-,-,-,-
"S00135415",104,92,37,55,-,-,-,12,12,-,-
"S00135416",199,186,84,95,-,7,-,13,13,-,-
"S00135417",107,94,25,63,5,3,-,10,6,2,2
"S00135418",178,166,42,124,-,-,3,10,10,-,-
"S00135419",77,54,23,31,-,-,2,21,21,-,-
"S00135420",142,130,62,66,-,2,9,3,3,-,1
"S00135421",116,107,38,67,-,2,-,8,6,3,-
"S00135422",109,96,34,58,4,-,-,13,13,-,-
"S00135423",190,183,73,110,-,-,4,4,4,-,-
"S00135424",115,92,55,41,-,-,13,10,10,-,-
"S00135425",116,68,31,36,-,1,31,13,13,-,-
"S00135426",141,129,55,74,-,-,7,5,5,-,-
"S00135427",126,121,107,14,-,-,4,-,-,-,-
"S00135428",75,75,27,48,-,-,-,-,-,-,-
"S00135429",85,72,48,24,-,-,-,12,12,-,-
"S00135430",113,107,59,48,-,-,-,6,6,-,-
"S00135431",109,85,49,36,-,-,-,24,24,-,-
"S00135432",117,106,71,32,-,3,1,11,11,-,-
"S00135433",128,118,82,36,-,-,4,5,5,-,4
"S00135434",111,104,88,16,-,-,2,2,2,-,-
"S00135435",77,77,55,17,-,-,-,-,-,-,-
"S00135436",109,107,44,63,-,-,-,2,2,-,-
"S00135437",127,91,25,69,-,-,19,15,14,3,-
"S00135438",82,71,25,46,-,-,4,4,4,-,4
"S00135439",92,85,55,28,-,-,-,3,3,-,-
"S00135440",131,116,66,46,1,1,2,10,10,-,3
"S00135441",127,123,51,72,-,-,-,2,2,-,2
"S00135442",67,40,31,9,-,-,21,4,3,1,2
"S00135443",99,88,34,54,-,-,-,11,11,-,-
"S00135444",99,91,2,89,-,-,-,8,7,1,-
"S00135445",141,133,74,59,-,-,-,4,4,-,-
"S00135446",159,146,83,65,-,-,1,12,12,-,-
"S00135447",137,115,27,91,-,-,7,16,16,-,-
"S00135448",170,158,17,140,-,1,4,8,8,-,-
"S00135449",98,31,17,12,-,2,65,-,-,-,-
"S00135450",92,89,64,23,-,2,-,3,3,-,-
"S00135451",70,64,46,17,-,-,1,4,4,-,-
"S00135452",64,48,22,26,-,-,7,6,6,-,-
"S00135453",110,64,10,23,28,6,24,18,18,-,1
"S00135454",123,102,16,85,-,1,8,11,11,-,4
"S00135455",106,99,48,52,-,-,-,9,9,-,-
"S00135456",89,71,25,47,-,2,5,10,10,-,-
"S00135457",69,60,35,26,-,-,-,6,6,-,-
"S00135458",79,68,22,46,-,-,-,9,9,-,2
"S00135459",121,84,43,40,1,-,23,10,10,-,4
"S00135460",121,108,55,49,-,4,2,11,11,-,-
"S00135461",135,130,52,68,-,9,-,3,3,-,-
"S00135462",159,146,89,53,-,-,-,17,17,-,-
"S00135463",149,133,60,73,-,-,-,16,18,1,-
"S00135464",109,79,23,56,-,-,10,15,15,-,2
"S00135465",106,74,37,37,-,-,22,11,11,-,3
"S00135466",101,96,50,46,-,-,-,3,3,-,1
"S00135467",95,77,31,49,-,-,14,8,8,-,-
"S00135468",69,61,14,43,-,6,4,4,4,-,-
"S00135469",121,113,86,27,-,-,-,3,3,-,2
"S00135470",137,129,66,64,-,-,2,4,4,-,-
"S00135471",154,103,25,81,-,-,34,13,12,-,4
"S00135472",148,129,63,61,-,2,17,4,4,-,1
"S00135473",128,124,52,72,-,-,3,1,1,-,-
"S00135474",122,117,23,90,-,7,3,3,3,-,-
"S00135475",102,88,33,55,-,-,7,8,8,-,-
"S00135476",108,102,50,50,-,2,-,6,6,-,-
"S00135477",120,117,15,103,-,-,-,2,2,-,1
"S00135478",95,32,14,24,-,-,62,4,4,-,-
"S00135479",125,125,71,54,-,-,-,-,-,-,-
"S00135480",132,114,47,67,-,-,-,16,15,1,-
"S00135481",132,128,81,46,-,-,-,4,4,-,-
"S00135482",83,67,28,27,-,15,12,4,4,-,-
"S00135483",118,99,63,42,-,-,-,15,15,-,1
"S00135484",82,77,44,33,-,-,-,1,1,-,4
"S00135485",163,147,77,68,-,-,5,11,11,-,1
"S00135486",115,104,62,42,-,-,-,14,8,7,-
"S00135487",160,144,88,57,-,3,-,9,9,-,4
"S00135488",118,99,35,64,-,-,7,5,5,-,-
"S00135489",144,36,2,21,-,13,87,21,21,-,-
"S00135490",131,128,63,64,-,-,-,3,3,-,1
"S00135491",130,33,5,28,-,-,-,100,100,-,-
"S00135492",130,107,59,48,-,-,17,5,4,1,-
"S00135493",166,100,11,71,4,14,37,33,33,-,-
"S00135494",98,96,62,34,-,-,-,3,3,-,-
"S00135495",110,97,45,51,-,3,4,9,9,-,-
"S00135496",105,104,52,52,-,-,1,-,-,-,-
"S00135497",236,227,109,118,-,-,-,9,9,-,-
"S00135498",150,4,2,4,-,-,-,141,141,-,-
"S00135499",129,114,60,51,-,-,-,15,11,-,3
"S00135500",120,114,2,113,-,-,4,5,5,-,-
"S00135501",136,133,82,48,-,-,-,4,2,2,2
"S00135502",133,6,-,6,-,-,5,122,122,-,-
"S00135503",86,72,46,26,-,-,-,6,6,-,7
"S00135504",141,129,106,18,5,-,-,11,11,-,1
"S00135505",167,150,29,118,-,1,6,11,11,-,-
"S00135506",90,77,26,46,3,-,-,15,15,-,-
"S00135507",183,171,61,110,-,-,-,11,11,-,-
"S00135508",67,45,19,25,-,1,7,15,15,-,-
"S00135509",125,121,67,56,-,-,-,4,4,-,-
"S00135510",111,89,45,40,-,3,3,16,15,-,4
"S00135511",120,100,44,57,-,-,-,20,20,-,-
"S00135512",120,113,60,53,-,-,-,10,10,-,-
"S00135513",111,71,37,31,-,6,34,9,9,-,-
"S00135514",113,69,36,34,-,1,29,10,10,-,2
"S00135515",167,159,88,71,-,-,-,-,-,-,6
"S00135516",152,68,3,45,-,20,45,36,36,-,3
"S00135517",113,79,22,55,-,2,8,30,23,4,2
"S00135518",83,77,35,40,-,-,-,5,5,-,1
"S00135519",143,139,81,58,-,-,-,4,4,-,-
"S00135520",145,114,40,66,-,-,14,16,15,2,5
"S00135521",118,39,12,27,-,-,22,55,55,-,4
"S00135522",92,79,39,42,-,2,-,9,9,-,-
"S00135523",71,62,50,12,-,-,1,2,2,-,1
"S00135524",111,92,48,44,-,-,2,14,14,-,3
"S00135525",117,109,4,105,-,-,-,6,6,-,-
"S00135526",106,85,39,46,-,-,14,5,5,-,2
"S00135527",72,45,25,19,-,5,20,5,5,-,-
"S00135528",165,111,69,42,-,3,40,14,14,-,-
"S00135529",139,125,87,35,-,-,1,6,6,-,7
"S00135530",87,64,34,28,-,2,19,4,4,-,-
"S00135531",99,72,40,32,-,-,9,16,15,-,-
"S00135532",103,88,10,78,-,-,4,11,11,-,-
"S00135533",131,103,45,58,-,-,4,23,23,-,-
"S00135534",112,104,29,75,-,-,-,6,6,-,1
"S00135535",139,122,23,99,-,-,2,15,15,-,-
"S00135536",191,148,11,133,-,4,35,5,5,-,2
"S00135537",146,134,79,47,1,5,-,10,10,-,3
"S00135538",91,85,62,23,-,-,4,1,1,-,-
"S00135539",84,33,12,21,-,-,46,3,-,2,2
"S00135540",143,139,67,69,-,-,3,-,-,-,-
"S00135541",78,78,57,20,-,-,-,-,-,-,-
"S00135542",182,96,2,88,-,6,76,8,8,-,2
"S00135543",180,161,5,149,-,7,3,16,16,-,-
"S00135544",99,64,40,23,-,-,23,9,9,-,2
"S00135545",132,117,56,64,-,-,-,15,15,-,-
"S00135546",88,54,23,31,-,-,31,2,2,-,1
"S00135547",188,175,54,116,-,8,7,6,6,-,1
"S00135548",88,53,21,32,-,-,22,17,17,-,-
"S00135549",64,34,14,20,-,-,24,4,4,-,-
"S00135550",123,63,31,26,-,3,54,8,7,1,1
"S00135551",127,100,34,63,-,-,16,11,11,-,-
"S00135552",133,73,8,55,-,10,51,9,8,-,-
"S00135553",207,195,95,100,-,-,2,7,7,-,2
"S00135554",86,60,34,26,-,-,20,6,6,-,-
"S00135555",166,160,85,75,-,-,-,5,5,-,1
"S00135556",101,72,32,39,-,1,-,32,32,-,-
"S00135557",91,64,36,28,-,-,13,13,13,-,1
"S00135558",150,104,53,51,-,-,40,4,4,-,-
"S00135559",102,70,23,47,-,-,6,23,22,2,3
"S00135560",107,94,52,42,-,-,1,10,10,-,1
"S00135561",94,27,18,6,-,4,58,7,7,-,2
"S00135562",92,62,21,38,-,-,23,11,11,-,-
"S00135563",61,3,3,-,-,-,54,4,1,3,-
"S00135564",104,103,62,35,-,2,-,3,3,-,3
"S00135565",71,71,32,37,2,-,-,-,-,-,-
"S00135566",100,86,55,27,-,4,5,7,2,2,-
"S00135567",126,87,34,51,2,-,30,10,7,3,1
"S00135568",155,114,52,62,-,2,29,12,12,-,1
"S00135569",104,42,23,21,-,-,51,7,7,-,4
"S00135570",111,105,88,18,-,-,2,3,3,-,1
"S00135571",106,59,28,30,1,-,35,14,14,-,-
"S00135572",122,110,49,59,-,-,5,4,5,1,3
