Scotland's Census 2022 - National Records of Scotland
Table UV501 - Highest level of qualification
All people aged 16 and over
,"All people aged 16 and over","No qualifications","Lower school qualifications","Upper school qualifications","Apprenticeship qualifications","Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs","Degree level qualifications or above"
"S00135307",118,13,24,12,10,15,44
"S00135308",52,7,8,2,8,5,24
"S00135309",147,27,21,8,15,10,64
"S00135310",132,11,39,17,15,23,31
"S00135311",118,12,17,9,9,18,52
"S00135312",132,13,32,16,8,22,38
"S00135313",154,45,38,10,18,18,27
"S00135314",138,5,36,15,14,22,46
"S00135315",89,21,20,10,9,11,19
"S00135316",111,20,22,11,18,10,27
"S00135317",136,20,40,11,15,21,26
"S00135318",69,10,16,6,8,11,17
"S00135319",113,37,20,17,12,8,20
"S00135320",101,24,28,5,8,10,26
"S00135321",72,19,20,9,5,11,9
"S00135322",121,21,22,11,10,22,37
"S00135323",100,25,24,11,14,8,18
"S00135324",53,11,17,1,5,4,12
"S00135325",64,5,10,9,6,9,25
"S00135326",71,22,9,9,5,6,17
"S00135327",78,19,18,8,1,12,20
"S00135328",106,31,28,6,4,19,21
"S00135329",101,11,33,10,13,14,22
"S00135330",95,16,27,7,13,15,17
"S00135331",54,13,14,3,5,7,12
"S00135332",76,14,19,4,8,10,17
"S00135333",82,13,24,8,4,14,15
"S00135334",58,11,10,8,6,11,13
"S00135335",99,5,27,15,12,21,23
"S00135336",63,13,15,8,4,10,13
"S00135337",130,31,29,12,20,16,22
"S00135338",124,37,21,10,18,18,24
"S00135339",108,25,21,5,12,12,33
"S00135340",105,10,26,15,6,24,25
"S00135341",70,19,17,9,7,5,13
"S00135342",80,16,14,11,8,6,25
"S00135343",124,5,20,11,10,24,50
"S00135344",105,13,25,12,10,9,34
"S00135345",139,10,19,14,15,16,58
"S00135346",118,14,26,13,13,16,36
"S00135347",68,11,12,10,7,13,24
"S00135348",110,6,18,10,16,11,44
"S00135349",107,9,23,9,14,21,36
"S00135350",99,6,19,10,5,12,47
"S00135351",151,-,21,12,12,23,77
"S00135352",139,11,37,12,14,25,40
"S00135353",142,3,25,12,13,24,65
"S00135354",72,4,15,4,7,9,38
"S00135355",90,-,14,6,4,13,53
"S00135356",111,6,27,19,17,20,22
"S00135357",164,8,27,21,14,17,77
"S00135358",116,1,15,9,6,16,69
"S00135359",111,13,21,6,12,23,38
"S00135360",119,12,17,11,14,14,49
"S00135361",96,16,19,17,5,11,33
"S00135362",113,21,18,10,18,14,32
"S00135363",117,1,22,12,8,25,51
"S00135364",148,26,37,12,10,16,40
"S00135365",101,16,25,6,15,11,32
"S00135366",100,11,18,13,8,11,41
"S00135367",73,5,15,15,12,8,14
"S00135368",102,8,24,12,6,21,29
"S00135369",102,7,18,7,11,14,45
"S00135370",59,4,12,6,8,12,18
"S00135371",125,1,34,18,14,17,37
"S00135372",104,4,23,7,10,23,36
"S00135373",192,5,36,22,19,30,80
"S00135374",114,9,22,14,9,19,38
"S00135375",78,1,7,7,7,14,42
"S00135376",56,5,12,3,3,10,17
"S00135377",103,8,17,10,12,15,41
"S00135378",92,3,19,16,7,16,28
"S00135379",54,1,15,7,4,10,19
"S00135380",113,10,20,12,19,13,38
"S00135381",105,6,16,11,16,17,36
"S00135382",84,4,26,5,9,13,27
"S00135383",110,2,15,8,2,22,61
"S00135384",51,3,15,9,4,5,19
"S00135385",61,10,19,2,4,14,12
"S00135386",109,48,21,4,7,9,17
"S00135387",151,18,30,27,18,22,40
"S00135388",149,11,22,9,9,21,74
"S00135389",116,17,19,14,17,16,39
"S00135390",72,5,13,9,7,10,25
"S00135391",156,10,31,16,14,21,64
"S00135392",59,6,15,8,2,12,19
"S00135393",162,24,60,16,15,19,24
"S00135394",131,12,23,22,14,18,40
"S00135395",64,8,10,6,17,9,18
"S00135396",110,13,23,10,21,16,27
"S00135397",86,3,15,8,5,12,43
"S00135398",105,10,27,12,11,14,33
"S00135399",213,118,13,9,4,10,59
"S00135400",141,11,24,15,15,18,58
"S00135401",88,12,15,10,12,10,28
"S00135402",68,4,13,6,10,10,25
"S00135403",107,6,15,15,8,21,42
"S00135404",71,5,17,6,8,9,30
"S00135405",145,22,19,14,14,16,60
"S00135406",157,29,31,24,18,13,44
"S00135407",120,11,35,21,12,12,36
"S00135408",132,27,44,7,17,13,24
"S00135409",62,7,13,7,4,8,26
"S00135410",99,10,16,12,5,18,33
"S00135411",161,10,28,25,18,28,52
"S00135412",97,15,18,16,11,8,32
"S00135413",126,18,14,28,10,9,48
"S00135414",84,10,17,13,-,12,30
"S00135415",87,5,23,12,12,10,28
"S00135416",162,17,32,21,18,21,55
"S00135417",98,13,12,14,9,20,27
"S00135418",129,8,16,10,6,25,64
"S00135419",69,6,8,14,11,14,19
"S00135420",129,25,28,7,21,15,36
"S00135421",102,17,17,22,6,13,32
"S00135422",92,11,16,7,13,19,28
"S00135423",150,8,26,20,13,16,67
"S00135424",104,24,24,2,18,10,15
"S00135425",102,24,29,5,8,11,24
"S00135426",118,9,24,11,16,20,36
"S00135427",118,28,21,15,15,14,19
"S00135428",55,4,10,9,6,8,15
"S00135429",74,5,11,7,6,7,34
"S00135430",98,20,9,8,16,13,34
"S00135431",86,1,15,8,8,13,36
"S00135432",105,12,17,8,22,15,30
"S00135433",110,17,24,12,12,6,38
"S00135434",103,24,28,5,18,7,22
"S00135435",71,9,13,10,9,8,24
"S00135436",90,7,8,10,12,18,38
"S00135437",102,8,16,4,9,18,43
"S00135438",66,12,13,10,7,7,17
"S00135439",80,9,8,12,7,11,29
"S00135440",113,17,23,9,6,16,40
"S00135441",110,6,25,11,16,18,31
"S00135442",67,32,12,5,8,4,8
"S00135443",84,11,18,14,9,11,24
"S00135444",71,1,9,7,2,15,38
"S00135445",120,9,21,8,30,12,36
"S00135446",129,19,25,15,19,14,37
"S00135447",111,10,12,7,10,23,45
"S00135448",109,4,18,11,11,19,49
"S00135449",95,30,22,7,18,7,11
"S00135450",85,13,17,9,13,15,22
"S00135451",68,10,17,8,10,7,16
"S00135452",57,9,19,5,4,8,12
"S00135453",93,13,19,10,10,20,23
"S00135454",95,5,12,5,8,14,49
"S00135455",95,8,21,9,13,12,32
"S00135456",72,13,23,6,12,7,9
"S00135457",61,9,17,7,8,8,12
"S00135458",65,5,10,5,6,11,23
"S00135459",113,29,31,7,16,6,24
"S00135460",106,26,27,7,9,13,21
"S00135461",104,4,24,16,15,19,26
"S00135462",132,18,31,19,17,14,35
"S00135463",129,16,27,11,19,16,37
"S00135464",91,8,17,8,12,18,30
"S00135465",96,25,21,6,9,10,25
"S00135466",87,11,15,17,10,7,27
"S00135467",80,13,14,9,15,11,19
"S00135468",68,-,10,5,6,15,31
"S00135469",113,19,26,12,10,11,31
"S00135470",112,9,25,16,9,13,42
"S00135471",124,19,32,17,7,19,33
"S00135472",130,21,27,9,16,13,36
"S00135473",103,10,27,12,13,10,33
"S00135474",89,8,27,3,1,10,38
"S00135475",81,11,20,13,5,9,24
"S00135476",90,11,21,12,19,12,20
"S00135477",94,3,14,6,7,9,57
"S00135478",91,35,22,1,11,8,9
"S00135479",111,5,14,18,18,17,45
"S00135480",109,20,24,12,6,7,38
"S00135481",114,15,23,8,15,23,30
"S00135482",66,13,16,1,10,7,21
"S00135483",100,11,15,18,10,16,30
"S00135484",74,9,12,7,8,9,29
