Scotland's Census 2022 - National Records of Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table UV601 - Economic activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All people aged 16 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All people aged 16 and over,Economically Active (excluding full time students) - Total,Economically Active (excluding full-time students) - Employee - Total,Economically Active (excluding full-time students) - Employee - Part-time,Economically Active (excluding full-time students) - Employee - Full-time,Economically Active (excluding full-time students) - Self-employed with employees - Total,Economically Active (excluding full-time students) - Self-employed with employees - Part-time,Economically Active (excluding full-time students) - Self-employed with employees - Full-time,Economically Active (excluding full-time students) - Self-employed without employees - Total,Economically Active (excluding full-time students) - Self-employed without employees - Part-time,Economically Active (excluding full-time students) - Self-employed without employees - Full-time,Economically Active (excluding full-time students) - Unemployed - Available for work,Economically Active full-time students - Total,Economically Active full-time students - Employee - Total,Economically Active full-time students - Employee - Part-time,Economically Active full-time students - Employee - Full-time,Economically Active full-time students - Self-employed with employees - Total,Economically Active full-time students - Self-employed with employees - Part-time,Economically Active full-time students - Self-employed with employees - Full-time,Economically Active full-time students - Self-employed without employees - Total,Economically Active full-time students - Self-employed without employees - Part-time,Economically Active full-time students - Self-employed without employees - Full-time,Economically Active full-time students - Unemployed - Available for work,Economically Inactive - Total,Economically inactive - Retired,Economically inactive - Student,Economically inactive - Looking after home/ family,Economically inactive - Long term sick or disabled,Economically inactive - Other
S00135307,118,70,54,5,48,6,1,5,9,3,3,-,5,4,4,-,-,-,-,-,-,-,1,40,30,1,2,1,2
S00135308,52,40,32,7,24,1,-,1,3,1,5,-,1,-,-,-,-,-,-,-,-,-,1,11,10,-,1,-,-
S00135309,147,78,65,9,56,5,-,5,8,3,5,-,3,1,1,-,-,-,-,1,-,1,1,66,46,5,7,4,4
S00135310,132,96,90,24,66,2,-,2,3,2,3,-,10,7,7,-,-,-,-,-,-,-,2,27,19,3,3,2,1
S00135311,118,98,79,15,68,-,-,-,17,5,12,3,-,-,-,-,-,-,-,-,-,-,-,20,10,4,-,2,-
S00135312,132,86,78,21,58,2,-,2,5,-,5,-,6,6,6,-,-,-,-,-,-,-,-,40,9,8,14,5,2
S00135313,154,59,55,10,45,-,-,-,3,1,2,-,3,3,2,1,-,-,-,-,-,-,-,92,71,6,8,5,4
S00135314,138,99,91,18,73,1,1,-,8,3,5,2,9,9,7,2,-,-,-,-,-,-,-,27,12,5,5,1,3
S00135315,89,52,44,13,32,1,-,1,3,1,2,6,2,1,1,-,-,-,-,1,1,-,-,35,24,-,4,5,2
S00135316,111,63,54,15,39,3,1,2,3,1,2,3,-,-,-,-,-,-,-,-,-,-,-,47,36,3,3,2,3
S00135317,136,75,61,9,52,-,-,-,4,4,-,8,1,1,1,-,-,-,-,-,-,-,-,58,39,3,5,4,2
S00135318,69,44,40,7,33,-,-,-,3,-,2,-,-,-,-,-,-,-,-,-,-,-,-,25,17,3,2,-,1
S00135319,113,56,49,13,38,-,-,-,3,-,3,2,2,-,-,-,-,-,-,-,-,-,2,54,44,1,5,4,-
S00135320,101,59,49,16,33,-,-,-,4,2,2,5,-,-,-,-,-,-,-,-,-,-,-,38,30,4,4,1,5
S00135321,72,41,38,8,30,-,-,-,5,-,5,-,1,1,1,-,-,-,-,-,-,-,-,29,26,-,1,3,-
S00135322,121,71,68,16,52,-,-,-,4,4,1,-,5,3,1,2,-,-,-,4,1,1,2,44,25,3,5,4,4
S00135323,100,50,47,2,45,-,-,-,1,-,1,4,3,3,3,-,-,-,-,-,-,-,-,47,35,2,5,4,1
S00135324,53,31,29,7,22,-,-,-,1,1,-,-,2,2,2,-,-,-,-,-,-,-,-,19,11,2,2,3,1
S00135325,64,46,36,11,33,2,-,2,4,2,2,-,1,1,1,-,-,-,-,-,-,-,-,20,13,1,-,-,2
S00135326,71,32,27,5,22,-,-,-,1,-,1,4,-,-,-,-,-,-,-,-,-,-,-,39,34,1,2,5,1
S00135327,78,48,43,11,34,1,1,-,2,2,-,-,1,1,1,-,-,-,-,-,-,-,-,29,26,-,1,2,-
S00135328,106,53,46,12,34,-,-,-,5,1,-,6,3,3,1,2,-,-,-,-,-,-,-,50,43,-,1,5,2
S00135329,101,60,57,12,43,-,-,-,4,-,3,1,3,2,2,-,-,-,-,-,-,-,1,38,31,-,2,3,-
S00135330,95,47,41,9,28,2,-,2,6,-,-,2,3,3,3,-,-,-,-,-,-,-,-,45,31,2,3,7,2
S00135331,54,27,26,3,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,19,-,-,7,-
S00135332,76,38,38,8,30,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,35,22,3,4,6,4
S00135333,82,47,41,12,29,-,-,-,2,-,2,4,3,2,1,1,-,-,-,-,-,-,-,32,16,5,4,7,-
S00135334,58,39,37,10,27,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,19,13,-,1,-,1
S00135335,99,66,61,9,48,-,-,-,4,1,2,1,8,7,7,-,-,-,-,-,-,-,3,25,20,2,1,-,2
S00135336,63,35,33,3,30,1,-,1,3,2,2,1,1,1,1,-,-,-,-,-,-,-,-,24,13,3,4,3,1
S00135337,130,67,60,14,46,-,-,-,5,-,3,2,2,2,1,1,-,-,-,-,-,-,-,61,48,2,3,8,1
S00135338,124,67,58,12,46,3,1,1,5,3,3,5,5,2,2,-,-,-,-,-,-,-,1,51,35,5,5,5,-
S00135339,108,53,43,6,37,1,-,1,1,-,1,3,1,1,2,1,-,-,-,-,-,-,-,56,41,2,2,8,1
S00135340,105,57,47,7,40,2,-,2,5,2,3,1,8,5,5,-,-,-,-,3,3,-,2,40,33,5,1,1,-
S00135341,70,39,33,14,23,2,-,2,4,-,1,1,3,2,1,1,-,-,-,1,1,-,-,28,23,-,1,1,2
S00135342,80,46,43,11,32,-,-,-,5,1,2,-,3,4,4,-,-,-,-,-,-,-,1,31,30,-,1,-,-
S00135343,124,111,101,19,82,1,1,-,7,4,5,1,3,3,3,-,-,-,-,-,-,-,-,11,7,1,1,-,-
S00135344,105,57,48,13,38,3,-,3,5,-,3,1,1,1,1,-,-,-,-,-,-,-,-,45,32,7,2,2,2
S00135345,139,107,90,16,73,1,-,1,14,3,11,-,5,4,2,2,-,-,-,1,1,-,-,23,14,2,6,-,1
S00135346,118,48,45,7,38,-,-,-,3,-,2,-,2,4,4,-,-,-,-,-,-,-,-,67,64,-,3,-,-
S00135347,68,58,50,11,42,2,-,1,2,2,-,-,2,2,-,2,-,-,-,-,-,-,-,13,8,3,1,-,-
S00135348,110,49,44,10,31,-,-,-,2,-,2,2,5,7,7,-,-,-,-,-,-,-,1,51,47,5,1,4,-
S00135349,107,65,56,12,40,4,-,4,7,1,5,2,3,1,2,1,-,-,-,-,-,-,1,39,30,2,-,1,3
S00135350,99,83,75,13,62,1,-,1,5,-,4,2,2,2,2,-,-,-,-,-,-,-,-,14,2,4,4,3,2
S00135351,151,136,125,30,95,4,4,-,7,2,5,4,3,3,3,-,-,-,-,-,-,-,-,10,3,-,5,-,2
S00135352,139,77,68,19,50,-,-,-,8,1,7,-,2,2,-,2,-,-,-,-,-,-,1,60,54,2,-,4,1
S00135353,142,124,107,17,91,4,1,4,11,3,6,-,6,6,5,1,-,-,-,-,-,-,-,8,6,3,3,-,2
S00135354,72,68,62,9,53,1,-,1,5,1,4,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00135355,90,81,74,15,59,1,-,1,7,1,8,-,-,-,-,-,-,-,-,-,-,-,-,8,6,-,-,1,-
S00135356,111,91,77,10,67,-,-,-,10,3,7,3,5,3,-,2,-,-,-,-,-,-,1,15,5,4,3,2,1
S00135357,164,128,100,28,69,4,-,4,19,5,14,5,10,10,10,-,-,-,-,-,-,-,1,26,9,7,5,-,1
S00135358,116,103,92,16,76,1,-,1,6,2,4,3,5,4,3,1,-,-,-,-,-,-,1,8,2,-,4,-,2
S00135359,111,52,47,13,34,-,-,-,4,-,4,1,7,2,1,1,1,-,1,-,-,-,4,54,50,1,2,-,1
S00135360,119,89,85,10,75,1,1,-,2,1,1,-,2,2,1,1,-,-,-,-,-,-,-,28,28,-,-,-,-
S00135361,96,46,38,11,27,1,-,1,5,2,3,2,4,4,4,-,-,-,-,-,-,-,-,48,41,1,1,1,1
S00135362,113,54,48,11,38,-,-,-,1,1,3,1,5,4,3,1,-,-,-,1,-,1,-,54,53,2,3,-,-
S00135363,117,101,90,17,73,2,2,1,6,1,5,3,1,1,1,-,-,-,-,-,-,-,-,15,-,7,6,2,-
S00135364,148,58,48,17,37,1,-,1,6,2,4,3,7,7,7,-,-,-,-,-,-,-,2,83,69,3,6,2,2
S00135365,101,47,37,10,27,2,1,1,7,4,3,1,4,3,3,-,-,-,-,-,-,-,1,48,42,5,2,1,-
S00135366,100,55,38,5,33,3,-,3,14,5,9,-,2,2,2,-,-,-,-,-,-,-,-,43,33,-,6,2,5
S00135367,73,39,35,4,27,2,-,2,5,2,3,1,2,-,-,-,-,-,-,-,-,-,1,33,25,3,2,1,2
S00135368,102,77,63,15,48,4,1,1,10,5,5,2,7,4,4,-,-,-,-,-,-,-,3,18,9,3,7,2,1
S00135369,102,73,70,11,59,2,-,2,-,-,-,1,4,3,3,-,-,-,-,-,-,-,1,25,10,8,5,-,1
S00135370,59,40,36,8,28,-,-,-,2,-,2,4,3,3,2,1,-,-,-,-,-,-,-,16,12,3,2,-,-
S00135371,125,98,94,24,69,-,-,-,3,-,3,-,3,3,3,-,-,-,-,-,-,-,-,25,13,-,4,1,5
S00135372,104,84,80,15,65,-,-,-,1,1,2,1,4,4,4,-,-,-,-,-,-,-,-,18,5,4,6,1,2
S00135373,192,139,119,29,90,2,-,2,11,5,9,4,4,4,4,-,-,-,-,-,-,-,-,49,40,1,3,2,2
S00135374,114,95,82,14,68,1,-,1,8,5,5,2,1,1,1,-,-,-,-,-,-,-,-,15,15,1,2,1,-
