Scotland's Census 2022 - National Records of Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table UV602 - Economic activity of Household Reference Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Household Reference Persons aged 16 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Household Reference Persons aged 16 and over,Economically Active (full-time students) - Total,Economically Active (full-time students) - Employee - Total,Economically Active (full-time students) - Employee - Part-time,Economically Active (full-time students) - Employee - Full-time,Economically Active (full-time students) - Self-employed with employees - Total,Economically Active (full-time students) - Self-employed with employees - Part-time,Economically Active (full-time students) - Self-employed with employees - Full-time,Economically Active (full-time students) - Self-employed without employees - Total,Economically Active (full-time students) - Self-employed without employees - Part-time,Economically Active (full-time students) - Self-employed without employees - Full-time,Economically Active (full-time students) - Unemployed - Available for work,Economically Active Full-time student - Total,Economically Active Full-time student - Employee - Total,Economically Active Full-time student - Employee - Part-time,Economically Active full-time student - Employee - Full-time,Economically Active Full-time student - Self-employed with employees - Total,Economically Active Full-time student - Self-employed with employees - Part-time,Economically Active Full-time student - Self-employed with employees - Full-time,Economically Active Full-time student - Self-employed without employees - Total,Economically Active Full-time student - Self-employed without employees - Part-time,Economically Active Full-time student - Self-employed without employees - Full-time,Economically Active Full-time student - Unemployed - Available for work,Economically inactive - Total,Economically inactive - Retired,Economically inactive - Student,Economically inactive - Looking after home/ family,Economically inactive - Long term sick or disabled,Economically inactive - Other
S00135307,63,44,31,1,30,5,1,4,8,2,3,-,-,-,-,-,-,-,-,-,-,-,-,22,17,-,-,-,2
S00135308,29,24,18,2,16,1,-,1,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-
S00135309,71,48,40,3,37,4,-,4,4,1,3,-,1,-,-,-,-,-,-,1,-,1,-,22,24,-,-,1,-
S00135310,65,52,46,6,40,2,-,2,3,2,2,1,-,-,-,-,-,-,-,-,-,-,-,13,12,-,-,2,-
S00135311,64,56,45,2,47,-,-,-,8,-,8,-,-,-,-,-,-,-,-,-,-,-,-,8,7,1,-,-,-
S00135312,67,53,47,9,41,2,-,2,3,-,3,-,1,1,1,-,-,-,-,-,-,-,-,13,6,-,1,3,-
S00135313,64,32,30,2,27,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,32,28,2,4,1,-
S00135314,77,63,60,5,55,1,1,-,1,-,1,-,3,3,2,1,-,-,-,-,-,-,-,11,8,-,1,-,1
S00135315,52,31,27,5,22,1,-,1,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,21,18,-,-,5,-
S00135316,66,41,35,6,27,1,-,1,1,-,1,3,-,-,-,-,-,-,-,-,-,-,-,26,24,-,-,2,1
S00135317,70,40,35,4,31,-,-,-,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,30,25,-,4,3,-
S00135318,42,28,31,2,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,11,-,2,1,-
S00135319,73,34,30,5,25,-,-,-,2,-,2,2,1,-,-,-,-,-,-,-,-,-,1,38,36,-,3,4,-
S00135320,59,35,31,8,23,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,24,16,2,2,1,3
S00135321,45,25,23,3,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,19,-,1,-,-
S00135322,71,46,44,8,36,-,-,-,2,1,1,-,3,2,-,2,-,-,-,1,-,1,-,21,16,-,-,4,-
S00135323,53,28,27,1,26,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,22,23,-,-,-,-
S00135324,29,17,15,-,14,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,12,8,1,1,-,1
S00135325,33,26,19,2,17,1,-,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,11,8,1,-,-,2
S00135326,51,21,19,3,16,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,30,26,-,1,-,1
S00135327,43,27,28,3,22,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,16,-,-,-,-
S00135328,55,29,27,5,22,-,-,-,2,1,1,-,2,2,-,2,-,-,-,-,-,-,-,32,21,-,-,5,-
S00135329,52,31,29,3,26,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,21,19,-,-,1,-
S00135330,58,31,28,4,24,-,-,-,2,1,2,2,-,-,-,-,-,-,-,-,-,-,-,27,19,-,2,4,-
S00135331,31,17,17,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,16,-,-,2,-
S00135332,47,26,24,3,21,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,21,14,-,1,6,1
S00135333,49,32,28,7,20,-,-,-,1,-,1,3,1,1,-,1,-,-,-,-,-,-,-,16,11,-,2,3,-
S00135334,33,23,22,5,17,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,10,9,-,-,-,1
S00135335,48,34,30,2,28,-,-,-,4,1,2,-,-,-,-,-,-,-,-,-,-,-,-,14,13,2,-,-,-
S00135336,34,20,17,-,17,1,-,1,3,2,2,-,1,1,1,-,-,-,-,-,-,-,-,12,8,-,2,2,-
S00135337,81,43,37,5,35,-,-,-,5,-,3,2,2,2,1,1,-,-,-,-,-,-,-,32,28,-,1,2,-
S00135338,80,50,41,6,33,3,1,1,4,4,3,3,1,-,-,-,-,-,-,-,-,-,1,29,24,1,2,2,-
S00135339,81,36,31,4,27,-,-,-,1,-,1,3,1,1,-,1,-,-,-,-,-,-,-,44,33,-,2,7,1
S00135340,55,29,24,-,24,2,-,2,2,-,2,1,-,-,-,-,-,-,-,-,-,-,-,26,21,-,1,1,-
S00135341,44,28,25,6,19,2,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,17,15,-,1,1,-
S00135342,44,25,19,6,17,-,-,-,2,-,2,-,1,1,1,-,-,-,-,-,-,-,-,18,18,-,-,-,-
S00135343,69,65,62,8,50,-,-,-,4,-,4,1,-,-,-,-,-,-,-,-,-,-,-,4,2,-,-,-,-
S00135344,62,37,29,6,25,2,-,2,5,-,3,1,-,-,-,-,-,-,-,-,-,-,-,22,20,1,-,1,-
S00135345,72,59,52,1,46,-,-,-,7,-,7,-,1,-,-,-,-,-,-,1,1,-,-,12,8,-,2,-,1
S00135346,63,25,23,1,22,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,38,37,-,1,-,-
S00135347,41,37,34,1,31,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-
S00135348,56,27,24,3,22,-,-,-,2,-,2,-,1,1,1,-,-,-,-,-,-,-,-,28,28,-,-,-,-
