Scotland's Census 2022 - National Records of Scotland
Table UV605 - Industry
All people aged 16 and over in employment the week before the census
,"All people aged 16 and over in employment the week before the census","Agriculture; Forestry; Fishing","Mining and Quarrying","Manufacturing","Electricity, Gas, Steam and Air Conditioning Supply","Water Supply; Sewage; Waste Management and Remediation activities","Construction","Wholesale and Retail trade; Repair of Motor Vehicles and Motorcycles","Transport and Storage","Accommodation and Food Service Activities","Information and Communication","Financial and Insurance Activities","Real Estate Activities","Professional Scientific and Technical Activities","Administrative and Support Service Activities","Public Administration and Defence; Compulsory Social Security","Education","Human Health and Social Work Activities","Arts, Entertainment and Recreation","Other Service Activities","Activities of Household as Employers; Undifferentiated Goods - and Services - Producing Activities of Households for Own Use","Activities of Extra-Territorial Organisations and Bodies"
"S00135307",73,11,4,5,1,-,4,8,3,5,4,2,1,5,1,8,4,9,-,2,-,-
"S00135308",40,4,-,5,-,-,4,3,-,4,-,2,-,3,3,-,2,8,1,1,-,-
"S00135309",80,-,9,3,-,1,5,7,2,5,3,1,-,12,2,7,5,8,5,2,-,-
"S00135310",101,-,15,15,-,-,7,7,3,12,-,2,1,7,7,2,3,8,5,3,-,-
"S00135311",92,4,15,7,-,-,7,5,3,4,4,3,1,13,6,6,8,11,4,-,-,-
"S00135312",88,-,4,6,-,-,8,10,8,6,5,2,2,7,12,9,1,11,-,2,-,-
"S00135313",61,-,7,3,-,2,7,8,5,3,1,1,-,6,1,1,6,7,1,3,-,-
"S00135314",109,-,27,12,-,-,7,5,6,6,1,-,-,15,3,7,11,6,2,4,-,-
"S00135315",50,-,-,6,-,1,1,4,1,7,-,-,1,7,5,4,3,6,-,1,-,-
"S00135316",61,-,11,1,-,-,5,13,3,8,-,1,4,4,7,3,5,3,-,1,-,-
"S00135317",65,-,9,8,-,-,9,6,7,5,-,2,-,2,3,8,3,6,1,2,-,1
"S00135318",44,-,4,7,-,-,5,2,6,-,1,2,-,3,1,-,6,6,-,-,-,-
"S00135319",54,-,10,4,-,-,4,4,-,6,1,-,-,2,6,6,3,3,-,-,-,-
"S00135320",52,-,8,6,-,-,5,2,4,5,-,-,1,3,6,2,6,7,2,2,-,-
"S00135321",42,-,2,4,-,-,8,-,7,4,-,1,-,4,2,-,1,7,1,2,-,-
"S00135322",76,-,6,5,-,1,3,10,9,7,1,-,-,5,3,3,7,10,-,4,-,-
"S00135323",50,-,7,2,1,-,3,6,4,5,-,1,-,4,6,2,3,5,-,1,-,-
"S00135324",33,-,3,-,-,-,2,7,2,6,-,2,-,-,4,-,2,4,-,2,-,-
"S00135325",47,-,6,7,-,-,4,4,4,1,-,-,-,6,-,5,2,7,-,2,-,-
"S00135326",28,-,2,-,-,-,2,1,3,-,2,4,-,3,4,1,1,6,-,1,-,-
"S00135327",47,-,3,5,-,-,2,4,5,6,-,-,1,3,2,3,1,5,2,3,-,-
"S00135328",52,-,7,10,-,-,2,11,5,2,-,1,-,3,3,3,1,2,1,1,-,-
"S00135329",61,2,7,1,-,1,10,8,1,6,-,-,-,1,13,2,4,2,-,-,-,-
"S00135330",48,-,6,9,1,-,2,6,4,3,-,-,-,-,4,3,6,1,1,2,-,-
"S00135331",26,-,4,5,-,4,-,4,-,1,1,-,-,1,-,-,-,6,2,-,-,-
"S00135332",41,-,3,2,-,-,4,8,3,-,-,-,-,-,2,2,4,8,1,2,-,-
"S00135333",47,1,3,7,-,-,3,8,7,4,-,-,4,-,2,6,2,6,-,-,-,-
"S00135334",38,-,4,3,-,-,2,1,3,5,2,-,2,4,4,-,2,9,-,1,-,-
"S00135335",70,-,5,5,1,-,2,4,8,9,-,-,-,6,6,5,5,14,-,-,-,-
"S00135336",38,2,9,1,-,-,4,3,2,1,-,-,-,1,5,3,2,4,-,1,-,-
"S00135337",67,-,3,5,-,-,7,11,4,6,-,1,2,3,1,2,3,14,3,3,-,-
"S00135338",67,-,4,5,-,-,3,14,-,3,-,-,-,3,11,5,5,8,1,4,-,-
"S00135339",49,-,7,5,-,-,3,3,1,3,-,-,1,1,6,2,5,11,-,-,-,-
"S00135340",62,-,5,4,2,1,6,3,4,5,2,1,-,5,4,5,2,8,3,5,2,-
"S00135341",42,-,2,6,-,-,2,10,2,3,-,1,-,-,3,5,-,2,-,1,-,-
"S00135342",48,-,4,3,-,-,3,5,4,6,2,2,-,5,2,-,3,3,5,2,-,-
"S00135343",112,-,18,6,-,-,5,8,4,5,3,2,2,13,3,13,10,13,-,5,-,-
"S00135344",59,-,8,8,-,-,4,1,6,4,-,1,4,2,3,5,5,9,1,1,-,-
"S00135345",110,-,6,8,-,-,2,10,7,8,4,2,-,5,9,5,6,20,2,9,-,1
"S00135346",50,-,2,5,-,2,2,2,5,3,1,-,-,4,2,5,10,6,-,-,-,-
"S00135347",59,-,10,4,2,-,3,7,1,4,1,1,-,4,3,2,2,8,4,3,-,-
"S00135348",58,-,8,2,-,-,3,6,-,1,3,-,2,3,4,7,6,10,1,2,-,-
"S00135349",66,-,7,6,-,1,5,3,5,5,3,2,2,9,2,7,3,6,-,3,2,-
"S00135350",81,-,11,8,-,-,5,6,5,3,2,1,-,9,6,6,8,8,-,2,-,-
"S00135351",139,-,20,17,-,2,5,6,9,-,3,4,4,12,9,15,15,18,1,3,-,-
"S00135352",78,-,7,8,-,2,6,7,6,2,2,-,-,7,3,6,11,12,-,4,-,-
"S00135353",128,-,24,10,-,-,11,7,6,4,4,4,-,8,6,7,13,17,1,2,-,-
"S00135354",70,-,9,10,1,-,4,2,2,2,4,2,1,9,4,4,6,6,1,2,-,-
"S00135355",81,1,20,5,-,-,3,7,3,4,2,2,-,11,3,4,9,7,2,1,-,-
"S00135356",89,-,12,7,2,1,4,11,10,5,1,3,-,3,8,3,4,11,3,3,-,-
"S00135357",132,-,26,9,1,-,11,6,4,12,2,2,1,8,6,10,10,12,3,10,-,-
"S00135358",104,-,19,8,2,-,1,4,13,7,4,2,-,11,1,8,11,10,2,2,-,-
"S00135359",52,2,12,8,-,-,-,2,3,4,-,1,1,5,-,2,7,7,-,2,-,-
"S00135360",90,2,11,8,-,-,6,5,6,4,3,2,1,6,8,9,8,8,1,2,-,-
"S00135361",47,4,5,4,-,-,4,3,1,4,1,-,-,2,5,5,1,5,-,-,-,-
"S00135362",57,-,8,2,-,1,8,5,2,2,1,-,-,4,7,1,3,6,2,1,-,-
"S00135363",99,-,9,9,-,-,3,12,7,4,4,2,-,4,11,8,11,10,2,4,-,2
"S00135364",60,-,7,8,-,-,2,2,4,1,-,-,-,4,5,6,8,7,-,6,-,-
"S00135365",49,-,3,1,-,-,6,5,3,4,-,1,-,2,4,5,2,5,2,2,-,-
