Scotland's Census 2022 - National Records of Scotland
Table UV702 - Method of travel to work or study
All occupied households
,"All occupied households","No person working or studying in the household","One person working or studying in the household - Total","One person working or studying in the household - Driving a car or van","One person working or studying in the household - Other method of travel to place of work or study","One person working or studying in the household - Works or studies at home","Two people working or studying in the household - Total","Two people working or studying in the household - Both driving cars or vans","Two people working or studying in the household - Both other method of travel to place of work or study","Two people working or studying in the household - Both working or studying at home","Two people working or studying in the household - One driving a car or van, one other method","Two people working or studying in the household - One driving a car or van, one working at home","Two people working or studying in the household - One other method, one working at home","Three or more people working or studying in the household - Total","Three or more people working or studying in the household - All driving cars or vans","Three or more people working or studying in the household - All other method of travel to work","Three or more people working or studying in the household - All working at home","Three or more people working or studying in the household - Mixture of driving a car or van and other method","Three or more people working or studying in the household - Mixture of driving a car or van and working at home","Three or more people working or studying in the household - Mixture of other method and working at home","Three or more people working or studying in the household - Mixture of driving a car or van, other and working at home"
"S00135307",62,17,19,8,3,6,16,4,1,1,4,2,1,14,-,-,1,2,1,5,6
"S00135308",33,4,9,4,1,5,13,7,-,1,3,2,-,2,-,-,1,-,-,2,-
"S00135309",71,20,28,12,6,10,15,6,4,1,6,1,1,7,-,-,3,1,2,-,3
"S00135310",65,13,14,7,2,4,22,2,6,1,2,5,2,18,2,-,2,7,2,3,2
"S00135311",64,7,20,10,-,8,21,8,1,2,3,5,2,17,-,-,-,10,2,2,6
"S00135312",64,8,16,8,1,4,20,6,4,-,6,4,-,21,1,1,1,8,1,2,9
"S00135313",64,26,12,6,3,1,18,3,-,3,8,1,2,13,-,2,2,5,1,1,2
"S00135314",77,8,25,13,2,13,24,8,3,1,6,2,3,20,-,3,-,7,2,2,7
"S00135315",52,25,9,5,-,1,11,2,2,-,3,2,2,11,-,-,-,6,2,1,2
"S00135316",63,27,16,7,6,4,14,1,-,2,3,3,2,9,-,2,-,4,-,-,2
"S00135317",70,25,18,7,7,4,20,1,3,4,6,3,2,7,-,1,-,1,1,1,3
"S00135318",42,13,13,4,1,4,11,3,1,1,4,-,1,8,2,1,-,3,-,2,1
"S00135319",73,36,14,9,-,3,13,3,1,4,4,2,1,10,-,1,-,5,-,3,1
"S00135320",59,20,18,8,5,5,10,2,1,-,5,2,-,15,2,-,2,6,2,-,1
"S00135321",45,18,12,8,1,3,10,3,2,-,-,1,1,5,1,-,1,2,-,1,1
"S00135322",70,17,23,8,7,6,17,2,2,1,5,1,3,16,-,4,-,5,1,-,4
"S00135323",53,22,14,11,1,2,7,4,-,-,1,2,-,10,1,1,-,2,-,-,3
"S00135324",29,10,8,5,1,2,7,1,-,-,1,4,2,6,-,-,5,-,-,-,3
"S00135325",29,14,3,2,-,1,9,3,2,-,3,-,2,10,-,1,-,3,1,1,6
"S00135326",55,31,7,3,-,3,9,-,1,1,-,4,-,2,-,-,-,-,-,1,3
"S00135327",43,15,8,1,5,3,11,1,-,-,4,3,4,9,-,1,-,3,-,-,5
"S00135328",58,26,10,2,5,3,14,-,1,4,5,4,-,11,-,1,-,4,-,-,1
"S00135329",56,18,9,2,2,5,11,-,1,1,4,3,2,14,1,-,-,5,2,1,5
"S00135330",58,25,17,8,4,5,10,2,1,1,2,2,1,6,-,-,1,2,1,-,2
"S00135331",31,13,7,5,3,-,8,3,-,-,3,-,-,7,-,2,2,1,2,1,-
"S00135332",47,18,13,10,5,-,7,2,-,-,3,-,2,9,-,-,-,3,2,-,1
"S00135333",49,17,18,9,5,1,7,2,1,1,1,1,-,10,-,-,-,1,-,3,3
"S00135334",33,10,9,5,-,4,7,2,-,1,2,1,1,7,-,-,-,4,-,1,2
"S00135335",48,12,6,4,-,3,13,2,-,1,4,2,1,20,1,-,1,11,2,2,2
"S00135336",33,8,9,5,1,2,10,2,-,1,2,4,2,7,-,-,-,4,-,-,3
"S00135337",77,31,24,17,5,2,18,7,-,3,1,3,2,5,-,1,-,1,-,2,1
"S00135338",80,33,31,13,7,11,10,2,2,-,3,-,-,10,2,1,-,4,2,2,-
"S00135339",81,39,18,5,1,9,15,3,3,1,3,2,5,8,-,1,-,3,-,1,3
"S00135340",55,29,5,2,1,2,10,2,-,-,6,1,1,14,1,-,-,4,-,2,7
"S00135341",45,17,9,6,3,3,8,5,1,1,1,-,-,8,-,1,2,2,-,3,1
"S00135342",45,16,10,2,4,4,14,5,2,-,4,3,1,5,-,1,-,1,-,1,2
"S00135343",69,4,18,7,3,6,31,10,1,6,3,7,3,19,1,-,3,5,-,1,7
"S00135344",59,22,17,7,5,3,10,3,-,1,2,1,-,13,-,2,1,4,-,2,4
