Scotland's Census 2022 - National Records of Scotland
Table UV704 - Distance travelled to place of study
All people aged 4 and over studying the week before the census
,"All people aged 4 and over studying the week before the census","Mainly study from home","Less than 2km","2km to less than 5km","5km to less than 10km","10km to less than 20km","20km to less than 30km","30km to less than 40km","40km to less than 60km","60km and over","Other - No fixed place of study or studying outside the UK"
"S00135307",29,4,4,10,5,7,-,-,-,-,-
"S00135308",7,5,1,-,-,1,-,-,-,-,-
"S00135309",14,2,2,6,1,3,-,-,-,-,-
"S00135310",25,5,15,-,3,-,-,-,-,2,-
"S00135311",26,1,2,13,13,-,-,-,-,-,-
"S00135312",54,13,31,3,6,2,-,-,-,1,-
"S00135313",30,8,18,-,3,2,-,-,-,-,-
"S00135314",36,4,28,-,6,-,-,-,-,-,-
"S00135315",17,4,8,-,4,-,-,-,-,-,-
"S00135316",18,1,3,10,4,4,-,-,1,-,-
"S00135317",22,5,13,2,2,1,-,-,-,-,-
"S00135318",16,1,14,-,1,-,-,-,-,-,-
"S00135319",23,6,11,1,4,-,-,-,-,-,-
"S00135320",21,7,13,-,-,1,-,-,-,-,-
"S00135321",8,-,4,-,1,-,-,-,-,-,-
"S00135322",38,6,27,-,3,1,-,-,-,-,-
"S00135323",15,2,8,1,-,2,-,-,-,-,-
"S00135324",11,7,2,1,2,1,-,-,-,-,-
"S00135325",11,-,7,1,3,-,-,-,-,1,-
"S00135326",13,2,4,2,3,-,-,-,-,-,-
"S00135327",17,1,11,1,1,-,-,-,-,-,-
"S00135328",12,-,8,2,1,-,-,-,-,-,-
"S00135329",21,4,13,-,4,-,-,-,-,-,-
"S00135330",10,1,5,1,3,2,-,-,-,-,-
"S00135331",10,3,6,-,-,2,-,-,-,-,-
"S00135332",17,2,13,-,2,1,-,-,-,-,-
"S00135333",23,2,10,-,5,1,1,-,-,-,-
"S00135334",11,-,9,-,2,-,-,-,-,-,-
"S00135335",32,6,24,-,3,1,-,-,-,-,-
"S00135336",16,4,8,-,-,1,-,-,-,-,-
"S00135337",9,2,5,-,2,-,-,-,-,-,-
"S00135338",22,6,8,-,6,1,-,-,-,1,-
"S00135339",32,5,24,-,1,-,-,-,-,-,-
"S00135340",29,1,21,-,7,2,-,-,-,-,-
"S00135341",15,5,10,-,3,-,-,-,-,-,-
"S00135342",8,-,3,-,4,1,-,-,-,-,-
"S00135343",36,10,12,8,3,2,-,-,-,-,-
"S00135344",20,1,10,-,5,4,-,-,-,-,-
"S00135345",29,6,8,13,2,-,-,-,-,-,-
"S00135346",19,5,10,1,2,1,-,-,-,-,-
"S00135347",15,-,3,7,2,3,-,-,-,-,-
"S00135348",30,-,20,1,4,4,-,-,-,1,-
"S00135349",24,5,16,1,4,-,-,-,-,-,-
"S00135350",23,5,8,10,3,-,-,-,-,-,-
"S00135351",50,4,22,19,5,-,-,-,-,-,-
"S00135352",16,4,11,3,4,-,-,-,-,-,-
"S00135353",55,8,22,10,8,2,-,-,-,-,-
"S00135354",25,-,13,8,1,2,-,-,-,-,-
"S00135355",20,1,12,6,-,-,-,-,-,-,-
"S00135356",15,8,7,-,1,-,-,-,-,-,-
"S00135357",69,6,21,19,15,3,-,-,-,2,2
"S00135358",17,-,12,-,3,1,-,-,-,-,-
