Scotland's Census 2022 - National Records of Scotland
Table UV901 - UK Armed Forces veterans
All people aged 16 and over
,"All people aged 16 and over","UK Armed Forces veteran","Not a UK Armed Forces veteran"
"S00135307",118,6,112
"S00135308",52,2,47
"S00135309",147,4,143
"S00135310",132,2,129
"S00135311",118,3,115
"S00135312",132,4,130
"S00135313",154,7,147
"S00135314",138,4,134
"S00135315",89,4,87
"S00135316",111,12,100
"S00135317",136,3,130
"S00135318",69,3,66
"S00135319",113,2,108
"S00135320",101,4,97
"S00135321",72,5,67
"S00135322",121,7,114
"S00135323",100,6,93
"S00135324",53,-,52
"S00135325",64,2,62
"S00135326",71,5,66
"S00135327",78,3,76
"S00135328",106,1,104
"S00135329",101,5,95
"S00135330",95,3,92
"S00135331",54,4,50
"S00135332",76,8,68
"S00135333",82,1,80
"S00135334",58,4,54
"S00135335",99,4,95
"S00135336",63,1,62
"S00135337",130,8,122
"S00135338",124,9,116
"S00135339",108,7,101
"S00135340",105,5,100
"S00135341",70,7,63
"S00135342",80,5,75
"S00135343",124,2,122
"S00135344",105,5,98
"S00135345",139,4,130
"S00135346",118,9,109
"S00135347",68,3,69
"S00135348",110,7,103
"S00135349",107,8,99
"S00135350",99,-,97
"S00135351",151,-,149
"S00135352",139,8,134
"S00135353",142,-,141
"S00135354",72,5,67
"S00135355",90,3,87
"S00135356",111,1,109
"S00135357",164,1,163
"S00135358",116,4,113
"S00135359",111,3,110
"S00135360",119,2,117
"S00135361",96,3,94
"S00135362",113,6,107
"S00135363",117,1,116
"S00135364",148,7,141
"S00135365",101,6,95
"S00135366",100,4,96
"S00135367",73,4,71
"S00135368",102,-,102
"S00135369",102,2,100
"S00135370",59,3,56
"S00135371",125,4,121
"S00135372",104,-,103
"S00135373",192,6,186
"S00135374",114,2,113
"S00135375",78,2,76
"S00135376",56,5,53
"S00135377",103,1,102
"S00135378",92,1,90
"S00135379",54,-,54
"S00135380",113,4,112
"S00135381",105,2,104
"S00135382",84,2,84
"S00135383",110,2,108
"S00135384",51,1,50
"S00135385",61,-,61
"S00135386",109,5,100
"S00135387",151,6,145
"S00135388",149,-,144
"S00135389",116,4,111
"S00135390",72,4,68
"S00135391",156,1,155
"S00135392",59,2,56
"S00135393",162,5,157
"S00135394",131,5,126
"S00135395",64,1,63
"S00135396",110,6,104
"S00135397",86,2,84
"S00135398",105,1,104
"S00135399",213,9,204
"S00135400",141,8,132
"S00135401",88,3,84
"S00135402",68,5,63
"S00135403",107,2,105
"S00135404",71,1,70
"S00135405",145,2,144
"S00135406",157,8,146
"S00135407",120,1,119
"S00135408",132,8,124
"S00135409",62,-,65
"S00135410",99,-,99
"S00135411",161,4,158
"S00135412",97,4,90
"S00135413",126,1,121
"S00135414",84,-,84
"S00135415",87,5,82
"S00135416",162,2,160
"S00135417",98,1,94
"S00135418",129,2,127
"S00135419",69,3,69
"S00135420",129,6,123
"S00135421",102,-,102
"S00135422",92,5,87
"S00135423",150,5,145
"S00135424",104,9,95
"S00135425",102,1,96
"S00135426",118,4,113
"S00135427",118,2,116
"S00135428",55,1,54
"S00135429",74,4,70
"S00135430",98,5,93
"S00135431",86,2,84
"S00135432",105,5,102
"S00135433",110,8,102
"S00135434",103,8,95
"S00135435",71,1,69
"S00135436",90,10,85
"S00135437",102,3,98
"S00135438",66,-,66
"S00135439",80,7,75
"S00135440",113,2,107
"S00135441",110,2,108
"S00135442",67,6,61
"S00135443",84,7,80
"S00135444",71,2,69
"S00135445",120,6,114
"S00135446",129,6,123
"S00135447",111,1,106
"S00135448",109,1,108
"S00135449",95,13,82
"S00135450",85,10,75
"S00135451",68,3,65
"S00135452",57,2,52
"S00135453",93,5,88
"S00135454",95,-,98
"S00135455",95,3,94
"S00135456",72,1,71
"S00135457",61,5,53
"S00135458",65,1,64
"S00135459",113,8,105
"S00135460",106,6,100
"S00135461",104,4,100
"S00135462",132,6,126
"S00135463",129,4,125
"S00135464",91,3,85
"S00135465",96,2,91
"S00135466",87,4,86
"S00135467",80,5,75
"S00135468",68,-,68
"S00135469",113,4,110
"S00135470",112,4,108
"S00135471",124,2,122
"S00135472",130,11,115
"S00135473",103,-,102
