Scotland's Census 2022 - National Records of Scotland
Table UV902 - UK Armed Forces veterans - Households
All households
,"Total","Household contains no UK Armed Forces veterans","Household contains at least one UK Armed Forces veteran"
"S00135307",62,57,5
"S00135308",33,27,2
"S00135309",71,71,3
"S00135310",65,62,3
"S00135311",64,61,3
"S00135312",64,65,2
"S00135313",64,57,7
"S00135314",77,73,4
"S00135315",52,48,4
"S00135316",63,56,10
"S00135317",70,67,3
"S00135318",42,41,3
"S00135319",73,69,4
"S00135320",59,53,4
"S00135321",45,40,4
"S00135322",70,64,4
"S00135323",53,47,8
"S00135324",29,28,1
"S00135325",29,32,1
"S00135326",55,49,5
"S00135327",43,44,3
"S00135328",58,56,-
"S00135329",56,47,5
"S00135330",58,55,3
"S00135331",31,27,4
"S00135332",47,41,6
"S00135333",49,48,2
"S00135334",33,33,4
"S00135335",48,44,4
"S00135336",33,33,2
"S00135337",77,71,8
"S00135338",80,72,8
"S00135339",81,75,7
"S00135340",55,50,3
"S00135341",45,38,7
"S00135342",45,39,5
"S00135343",69,67,-
"S00135344",59,53,6
"S00135345",72,68,2
"S00135346",67,54,9
"S00135347",41,35,3
"S00135348",56,49,10
"S00135349",61,53,10
"S00135350",55,51,2
"S00135351",77,75,3
"S00135352",73,66,5
"S00135353",80,75,1
"S00135354",41,37,4
"S00135355",49,46,3
"S00135356",73,71,2
"S00135357",72,71,-
"S00135358",70,67,5
"S00135359",54,51,3
"S00135360",76,71,2
"S00135361",51,48,3
"S00135362",62,56,6
"S00135363",61,60,1
"S00135364",79,73,7
"S00135365",50,44,6
"S00135366",55,53,4
"S00135367",37,35,2
"S00135368",48,48,-
"S00135369",45,45,2
"S00135370",33,30,3
"S00135371",65,61,4
"S00135372",57,57,1
"S00135373",89,84,4
"S00135374",64,58,1
"S00135375",53,49,4
"S00135376",31,28,3
"S00135377",51,51,1
"S00135378",41,39,2
"S00135379",26,26,-
"S00135380",52,48,4
"S00135381",53,52,1
"S00135382",41,40,2
"S00135383",53,51,4
"S00135384",26,25,1
"S00135385",51,51,-
"S00135386",78,69,5
"S00135387",75,72,6
"S00135388",80,71,4
"S00135389",58,55,4
"S00135390",42,38,6
"S00135391",79,78,1
"S00135392",39,37,2
"S00135393",129,125,5
"S00135394",60,58,6
"S00135395",30,29,1
"S00135396",67,61,6
"S00135397",43,41,2
"S00135398",50,49,-
"S00135399",51,50,1
"S00135400",73,66,7
"S00135401",45,42,2
"S00135402",52,47,5
"S00135403",58,56,4
"S00135404",43,42,1
"S00135405",76,75,1
"S00135406",71,64,7
"S00135407",60,59,1
"S00135408",73,65,8
"S00135409",36,35,1
"S00135410",59,59,-
"S00135411",95,92,1
"S00135412",51,48,5
"S00135413",56,56,3
"S00135414",39,39,-
"S00135415",40,35,5
"S00135416",80,78,2
"S00135417",64,63,-
"S00135418",67,65,2
"S00135419",57,54,3
"S00135420",75,68,6
"S00135421",56,56,-
"S00135422",61,56,5
"S00135423",70,66,3
"S00135424",62,54,8
"S00135425",63,60,5
"S00135426",55,48,1
"S00135427",67,65,2
"S00135428",27,26,1
"S00135429",37,33,4
"S00135430",47,43,4
"S00135431",46,47,2
"S00135432",59,52,1
"S00135433",59,51,8
"S00135434",59,55,6
"S00135435",41,39,2
"S00135436",49,41,10
"S00135437",60,57,4
"S00135438",41,41,-
"S00135439",47,40,7
"S00135440",61,56,4
"S00135441",62,56,2
"S00135442",52,46,6
"S00135443",52,45,10
"S00135444",34,32,2
"S00135445",64,58,6
"S00135446",77,67,6
"S00135447",57,56,1
"S00135448",61,60,1
"S00135449",72,59,13
"S00135450",47,37,10
"S00135451",38,38,3
"S00135452",44,42,-
"S00135453",60,58,5
"S00135454",64,63,2
"S00135455",60,58,3
"S00135456",41,40,2
"S00135457",39,32,4
"S00135458",28,27,1
"S00135459",73,68,8
"S00135460",55,49,6
"S00135461",51,47,4
"S00135462",64,58,6
"S00135463",74,70,4
"S00135464",56,53,3
"S00135465",64,56,2
"S00135466",46,41,4
"S00135467",42,37,5
"S00135468",45,45,-
"S00135469",59,55,4
"S00135470",53,46,4
"S00135471",69,67,3
"S00135472",69,60,9
"S00135473",53,54,1
"S00135474",49,47,2
"S00135475",40,35,5
"S00135476",49,46,2
"S00135477",47,45,1
"S00135478",72,64,8
"S00135479",50,50,-
"S00135480",69,66,3
"S00135481",60,54,6
"S00135482",41,40,1
"S00135483",57,55,5
"S00135484",37,30,6
"S00135485",78,74,4
"S00135486",44,42,2
"S00135487",71,65,6
