Scotland's Census 2022 - National Records of Scotland
Table UV211b - British Sign Language (BSL) skills by age (6)
All people aged 3 and over

,"All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","BSL User","BSL User","BSL User","BSL User","BSL User","BSL User","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user"
,"All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over"
"S00135307",140,22,10,39,33,34,1,-,-,1,-,-,141,22,10,38,33,34
"S00135308",60,7,1,19,22,10,3,1,-,1,1,-,57,7,1,17,19,10
"S00135309",154,7,15,33,53,47,8,-,2,-,1,1,148,6,12,33,54,46
"S00135310",149,14,26,47,39,20,2,1,1,-,-,-,147,18,25,47,39,20
"S00135311",143,25,8,69,30,13,9,2,2,4,1,-,134,23,6,63,29,13
"S00135312",179,46,20,77,24,10,7,4,-,2,1,-,168,43,19,72,24,10
"S00135313",181,21,14,37,26,76,2,-,-,1,-,-,177,21,14,36,26,76
"S00135314",169,31,18,70,38,12,2,2,-,-,-,-,167,29,18,70,38,12
"S00135315",107,18,5,36,17,27,3,-,-,-,2,-,104,18,5,37,16,27
"S00135316",127,16,6,36,29,42,5,2,-,4,1,-,122,17,6,34,28,42
"S00135317",150,16,13,46,31,44,1,1,1,2,-,-,147,17,11,44,31,44
"S00135318",83,11,8,34,18,15,1,1,-,-,-,-,82,13,8,34,18,15
"S00135319",135,23,6,42,20,45,3,-,-,-,-,3,133,23,6,42,20,39
"S00135320",122,21,1,38,34,26,3,2,-,-,1,-,119,19,1,38,33,26
"S00135321",81,9,8,29,11,27,3,-,1,-,1,-,78,8,4,29,10,27
"S00135322",153,32,4,49,34,28,2,-,-,-,2,-,153,32,4,49,36,28
"S00135323",112,10,10,28,23,39,5,-,-,1,-,1,107,10,10,27,22,38
"S00135324",59,6,9,16,13,14,1,-,-,1,-,-,62,6,9,15,13,14
