OA_Code,Latitude,Longitude
S00177307,55.76226772470239,-4.188562247891909
S00177308,55.76335174673376,-4.0361393563696515
S00177309,55.76403150121212,-4.0675451484286995
S00177310,55.760531244294,-4.217235487985548
S00177311,55.76125346319979,-4.207075086852935
S00177312,55.76435003931462,-4.053375074465808
S00177313,55.759338127592144,-4.218108151792674
S00177314,55.763178088261284,-4.056278272482533
S00177315,55.76163271913472,-4.203972314921742
S00177316,55.76203284080246,-4.201205400415922
S00177317,55.76401803698423,-4.071545445436941
S00177318,55.76423004147914,-4.054102019014369
S00177319,55.76138149885542,-4.221412161628873
S00177320,55.76196996258846,-4.2112121529508775
S00177321,55.76255199146277,-4.160316423007603
S00177322,55.76353635256121,-4.088846805990443
S00177323,55.761267325311294,-4.189223468628043
S00177324,55.76202246905477,-4.18870790277685
S00177325,55.76226491328869,-4.154657820260216
S00177326,55.75904929231417,-4.234046536100766
S00177327,55.761030951910755,-4.195920759032126
S00177328,55.761532529268266,-4.15388419323276
S00177329,55.7619479175063,-4.152233429042137
S00177330,55.761648481928994,-4.201088097598127
S00177331,55.763736129822256,-4.043300541471016
S00177332,55.76227216803008,-4.158340335784125
S00177333,55.76100326390179,-4.209993829581453
S00177334,55.76159415433285,-4.186516094370726
S00177335,55.76127546982006,-4.048049161863573
S00177336,55.76100646547531,-4.1927633567058855
S00177337,55.76375323830214,-4.006272800383906
S00177338,55.76266395507935,-4.04184175849464
S00177339,55.76343517919706,-4.0457236075693
S00177340,55.76114070839315,-4.161864181263702
S00177341,55.76231020976908,-4.147965566177572
S00177342,55.759921740278,-4.212658224931261
S00177343,55.76198467336898,-4.160890752890199
S00177344,55.76415349729789,-4.001017191759449
S00177345,55.75988412849715,-4.202247851279152
S00177346,55.761964604539244,-4.06325959799792
S00177347,55.76179522743648,-4.159397877435479
S00177348,55.760691869488205,-4.157232890410616
S00177349,55.76083684937074,-4.201743691752098
S00177350,55.76839948300568,-3.6889289388695463
S00177351,55.761360564062244,-4.07883216319168
S00177352,55.76316359837729,-4.046920809648358
S00177353,55.76107843677119,-4.162848978800393
S00177354,55.76270105598618,-4.071300250809772
S00177355,55.76003369301408,-4.2119313644480805
S00177356,55.76811834039643,-3.6845330949467567
S00177357,55.763660173843306,-3.9976445405680647
S00177358,55.75893337743074,-4.238439026189109
S00177359,55.76130676131024,-4.160088147287303
S00177360,55.759063005839934,-4.1670567369355345
S00177361,55.76241440536209,-4.058947791865375
S00177362,55.76333443867232,-4.0544534109122
S00177363,55.760518188222875,-4.058943462540191
S00177364,55.76224325243722,-4.074463883877525
S00177365,55.76077319212397,-4.1932443815267595
S00177366,55.760661476039886,-4.190942838068588
S00177367,55.76791865876658,-3.6820536915201294
S00177368,55.76005315440643,-4.038868209616002
S00177369,55.7596933372744,-4.19734381776346
S00177370,55.76139069258797,-4.147612143060252
S00177371,55.73945718212486,-3.790230129165826
S00177372,55.7611878490207,-4.152526271304922
S00177373,55.76223173470499,-4.05321588124255
S00177374,55.76282856485265,-4.045452736356038
S00177375,55.75971830183006,-4.2089807153184005
S00177376,55.762255841393255,-4.043685338683622
S00177377,55.76298349857808,-4.0000168079401766
S00177378,55.762081821937116,-4.056268371192635
S00177379,55.7599553010913,-4.193246268979893
S00177380,55.7595461246144,-4.200045155957538
S00177381,55.758931125840476,-4.235107678929935
S00177382,55.76010863695213,-4.188680345692444
S00177383,55.7590019068057,-4.22774798044963
S00177384,55.759011110572274,-4.215810332051043
S00177385,55.760337155836815,-4.152861924509658
S00177386,55.76160129950086,-4.058665837411071
S00177387,55.76005117246328,-4.155332641051563
S00177388,55.76052874849574,-4.161399948790553
S00177389,55.75926164178462,-4.1867839827672
S00177390,55.75993699932117,-4.161319384369967
S00177391,55.75855187207901,-4.212867515056661
S00177392,55.76111030359879,-4.076093253039075
S00177393,55.76082430187067,-4.0346368519656455
S00177394,55.75936744246314,-4.190934002884784
S00177395,55.756279090298385,-4.148000474103297
S00177396,55.761254778359465,-4.06164412588116
S00177397,55.75984091254076,-4.158094406775626
S00177398,55.76148454230739,-4.034384342992853
S00177399,55.75912071221461,-4.1972000307541535
S00177400,55.76608148032249,-3.6901995190212307
S00177401,55.75990538937635,-4.153395986942072
S00177402,55.759484917200574,-4.159429531336358
S00177403,55.761435401218826,-4.06426768914457
S00177404,55.75923250909444,-4.184885638564341
S00177405,55.76118127468995,-4.063345728962751
S00177406,55.759279685067156,-4.194339985696645
S00177407,55.76680896182925,-3.6823725177123636
S00177408,55.75946624038427,-4.1894253516437825
S00177409,55.761660554982896,-4.003439717921847
S00177410,55.76080115489273,-4.059755325899392
S00177411,55.75837741336477,-4.2265010291357115
S00177412,55.75825194222993,-4.21952874728449
S00177413,55.76101262325803,-4.035746448265478
S00177414,55.7606444707002,-4.066409513525194
S00177415,55.75969937323554,-4.1625654049355285
S00177416,55.760464808778636,-4.078656975094182
S00177417,55.75849451583702,-4.199045548753046
S00177418,55.75688699166926,-4.225921994691868
S00177419,55.75857169601853,-4.18969397759117
S00177420,55.75800516879614,-4.203783557379608
S00177421,55.75831903039137,-4.205825451559306
S00177422,55.764740009521844,-3.6890735308291136
S00177423,55.7560742085949,-4.2291110187760586
S00177424,55.76061873140925,-4.0658024743668415
S00177425,55.758237276544385,-3.6644571578972442
S00177426,55.76098356648114,-4.045611133761345
S00177427,55.756922188416,-4.24030008413121
S00177428,55.75865657795394,-4.180374697819147
S00177429,55.75888892177778,-4.158567777086747
S00177430,55.75860765885042,-4.200757345413536
S00177431,55.75868535689001,-4.162987414819141
S00177432,55.76012783332799,-4.073602407379247
S00177433,55.7653402113928,-3.6898645870077074
S00177434,55.75724890160129,-4.2188342267856775
S00177435,55.75902149372965,-4.1561365026650785
S00177436,55.75976978623609,-4.037530528116324
S00177437,55.76015449354316,-4.057585442859937
S00177438,55.75634904497386,-4.211419891993905
S00177439,55.7584480342661,-4.196620280967921
S00177440,55.7597711409574,-4.056863953968239
S00177441,55.75786687810999,-4.199966508071012
S00177442,55.7576384226674,-4.1886056794654785
S00177443,55.757843421112064,-4.187692750053373
S00177444,55.757799914562426,-4.184582367816775
S00177445,55.758395281597934,-4.182942133442203
S00177446,55.75713577866764,-4.234494923620638
S00177447,55.76020180583628,-4.061731993131213
S00177448,55.75809761613274,-4.193094139642404
S00177449,55.75857008607072,-4.178664453200642
S00177450,55.75611220061772,-4.230483826032832
S00177451,55.758210530297355,-4.159837222487396
S00177452,55.75999882773553,-4.052923175549939
S00177453,55.75899967424385,-4.0368209549047585
S00177454,55.76509152792267,-3.6857255121269876
S00177455,55.75812148651371,-4.157744393544326
S00177456,55.75829290904911,-4.175541014662772
S00177457,55.75799113999691,-4.1970408583047
S00177458,55.75770102370512,-4.193661584191339
S00177459,55.75665783659996,-4.161249504259589
S00177460,55.757434343190624,-4.205042337231436
S00177461,55.75836999891785,-4.156387428140909
S00177462,55.75794399893926,-4.173927761306633
S00177463,55.759123284015196,-4.081454478319429
S00177464,55.764984882739064,-3.6921763655049475
S00177465,55.757530389922366,-4.185587329871058
S00177466,55.755997267733676,-4.232357902797564
S00177467,55.75810416138018,-4.177570600081114
S00177468,55.7594079397813,-4.062981096530547
S00177469,55.756412798165,-4.239155220402124
S00177470,55.75790424856441,-4.172618618617289
S00177471,55.75689768559746,-4.203896389791288
S00177472,55.75676789999692,-4.21710154962597
S00177473,55.75430908806538,-4.168052012185254
S00177474,55.75946590161625,-4.047699263198016
S00177475,55.764949314784964,-3.6947570068617663
S00177476,55.75663596918702,-4.200949073437139
S00177477,55.75692699918216,-4.1987501069131445
S00177478,55.75943859682487,-4.045562096200544
S00177479,55.75714060841876,-4.190315020091124
S00177480,55.75895483029351,-4.056773152716508
S00177481,55.75713660423934,-4.175875058788462
S00177482,55.75717803635049,-4.155684111875199
S00177483,55.76300428095276,-3.696346163518987
S00177484,55.75724549478062,-4.196520777395078
S00177485,55.75683254992651,-4.1747743549130005
S00177486,55.764062114177996,-3.699133624620867
S00177487,55.75865235130957,-4.060343285850359
S00177488,55.764596351734056,-3.696239981013489
S00177489,55.758559643520336,-4.055684497467085
S00177490,55.75562164710852,-4.23373893435536
S00177491,55.75820312862912,-4.049051530608579
S00177492,55.75858144961786,-4.0436046517225686
S00177493,55.75901286546525,-4.039276113230138
S00177494,55.756513724062785,-4.1846379358121455
S00177495,55.75803049021576,-4.062589590529351
S00177496,55.7551371400392,-4.196816588876582
S00177497,55.75721211038283,-4.153741578253364
S00177498,55.76399985537044,-3.6997365991587667
S00177499,55.75529634732778,-4.238278416355484
S00177500,55.75845876387489,-4.06544916753919
S00177501,55.75585343395634,-4.199980609675274
S00177502,55.75605136397924,-4.1964536287617555
S00177503,55.75834518444915,-4.041058170438861
S00177504,55.75696575251194,-4.1784155905545814
S00177505,55.75444933894731,-4.241847589023883
S00177506,55.75540858502933,-4.216227531015337
S00177507,55.75656275973184,-4.1528451472984385
S00177508,55.75623001040396,-4.172764559265519
S00177509,55.75644199158328,-4.190180220075973
S00177510,55.76430667558523,-3.693135207123993
S00177511,55.758307069380685,-4.052515502697888
S00177512,55.7565935087139,-4.177613885584688
S00177513,55.75655273847217,-4.157514298056965
S00177514,55.75764408431951,-4.066330474047413
S00177515,55.75546805885154,-4.1903646718597205
S00177516,55.75529756972137,-4.219886808254593
S00177517,55.754041302301275,-4.208309080023459
S00177518,55.757622060629,-4.07456908477752
S00177519,55.755646736029654,-4.2059932939502405
S00177520,55.755170855692434,-4.203464282153182
S00177521,55.75832917416268,-4.044723041275828
S00177522,55.75538252913873,-4.202185304183152
S00177523,55.754927092424985,-4.198510041220891
S00177524,55.75626820097329,-4.15067736096476
S00177525,55.75769283553114,-4.07090717082061
S00177526,55.75586431986461,-4.183756935101629
S00177527,55.75590095391966,-4.182707115005588
S00177528,55.75556019851146,-4.181652153227628
S00177529,55.75803995418266,-4.061490381354965
S00177530,55.75465192832572,-4.221794435947392
S00177531,55.75512887633821,-4.192752157162566
S00177532,55.754781815185716,-4.174357383864272
S00177533,55.75467572047882,-4.209014297934877
S00177534,55.757198616891124,-4.067167533535429
S00177535,55.76320061095491,-3.6951433499527866
S00177536,55.75665489600418,-4.056189873874558
S00177537,55.75479653597874,-4.2262172387765595
S00177538,55.75414917857288,-4.217287594575749
S00177539,55.75426730224004,-4.221692875662166
S00177540,55.754364605926696,-4.224758299310848
S00177541,55.756499764270345,-4.05847665982143
S00177542,55.7572906429594,-4.059012399270608
S00177543,55.75688082143851,-4.045348467556512
S00177544,55.762533426449295,-3.693998705080169
S00177545,55.75524296177601,-4.1944160265797015
S00177546,55.75746724838416,-4.063484229063091
S00177547,55.756528494306345,-4.035719939467542
S00177548,55.754590177741534,-4.228675718784183
S00177549,55.75715747848607,-4.062129119206159
S00177550,55.76189047054017,-3.695006800219855
S00177551,55.75303158135936,-4.233829881099845
S00177552,55.75722093166345,-4.040569116745453
S00177553,55.756105930435986,-4.074408880867579
S00177554,55.755153339284,-4.0362698039857845
S00177555,55.7542444917166,-4.204001691049669
S00177556,55.75450483510624,-4.188940093643899
S00177557,55.7544450125886,-4.1756135787388535
S00177558,55.75688512942282,-4.047787097337821
S00177559,55.75385697178459,-4.231932794920841
S00177560,55.757156170729495,-4.042302907534306
S00177561,55.755567882177175,-4.157300531147156
S00177562,55.75384090791232,-4.187867014347154
S00177563,55.75319005524867,-4.223113700665245
S00177564,55.75482709873258,-4.184973908711107
S00177565,55.755402160976104,-4.149322840897613
S00177566,55.755641422075186,-4.151057218933943
S00177567,55.75701401582449,-4.0438254582283335
S00177568,55.7560058478037,-4.069686209117045
S00177569,55.75517878451961,-4.154378510063801
S00177570,55.75605909497067,-4.072924248589093
S00177571,55.7551757019464,-4.158649455058529
S00177572,55.75372422054359,-4.2059484754207315
S00177573,55.75427025379956,-4.180400795607916
S00177574,55.75380169848775,-4.194096016872814
S00177575,55.75634505870354,-4.067154238702014
