OA_Code,Latitude,Longitude,Constituency
S00135307,57.21753245,-2.214670898,Gordon
S00135308,57.21356117,-2.274944788,Gordon
S00135309,57.20797945,-2.093940583,Gordon
S00135310,57.21110475,-2.189850876,Gordon
S00135311,57.19734739,-2.167786936,Gordon
S00135312,57.21250838,-2.188334985,Gordon
S00135313,57.21223398,-2.185601947,Gordon
S00135314,57.21260434,-2.190222808,Gordon
S00135315,57.21245052,-2.184957372,Gordon
S00135316,57.20089983,-2.190046689,Gordon
S00135317,57.2109837,-2.180579552,Gordon
S00135318,57.21075956,-2.186422274,Gordon
S00135319,57.20927222,-2.183832333,Gordon
S00135320,57.20962833,-2.186002708,Gordon
S00135321,57.21035289,-2.181967049,Gordon
S00135322,57.2090498,-2.17606742,Gordon
S00135323,57.21018605,-2.179300958,Gordon
S00135324,57.20989339,-2.182908382,Gordon
S00135325,57.20945378,-2.188600829,Gordon
S00135326,57.20943149,-2.179297295,Gordon
S00135327,57.20887539,-2.18490636,Gordon
S00135328,57.20906858,-2.181795181,Gordon
S00135329,57.20859646,-2.179028381,Gordon
S00135330,57.20784822,-2.187003502,Gordon
S00135331,57.20886028,-2.176695564,Gordon
S00135332,57.20791551,-2.184024222,Gordon
S00135333,57.20756114,-2.174272568,Gordon
S00135334,57.20799562,-2.178313668,Gordon
S00135335,57.20775916,-2.180348592,Gordon
S00135336,57.20743469,-2.187216601,Gordon
S00135337,57.20737815,-2.176655366,Gordon
S00135338,57.20685507,-2.184333445,Gordon
S00135339,57.20631525,-2.190902187,Gordon
S00135340,57.20477365,-2.176262213,Gordon
S00135341,57.20714636,-2.181702955,Gordon
S00135342,57.20656226,-2.187940504,Gordon
S00135343,57.20487113,-2.10550256,Gordon
S00135344,57.2053591,-2.187570232,Gordon
S00135345,57.19914751,-2.096201927,Gordon
S00135346,57.20514946,-2.183546979,Gordon
S00135347,57.20416366,-2.102885361,Gordon
S00135348,57.20370717,-2.186949436,Gordon
S00135349,57.20358791,-2.188603984,Gordon
S00135350,57.20388358,-2.10482112,Gordon
S00135351,57.20188564,-2.09834411,Gordon
